,Unnamed: 0,Field1,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
0,0,61583,149.375,-37,61584,528,107,2.250000001,0.3125,Cell 71,NSW1
1,1,62158,148.75,-36.5,62159,527,108,2.249999999,0.3125,Cell 86,NSW1
2,2,62159,149.375,-36.5,62160,528,108,2.250000001,0.3125,Cell 87,NSW1
3,3,62160,150,-36.5,62161,529,108,2.249999999,0.3125,Cell 88,NSW1
4,4,62730,146.25,-36,62731,523,109,2.250000001,0.3125,Cell 101,NSW1
5,5,62731,146.875,-36,62732,524,109,2.249999999,0.3125,Cell 102,NSW1
6,6,62733,148.125,-36,62734,526,109,2.250000001,0.3125,Cell 104,NSW1
7,7,62734,148.75,-36,62735,527,109,2.249999999,0.3125,Cell 105,NSW1
8,8,62735,149.375,-36,62736,528,109,2.250000001,0.3125,Cell 106,NSW1
9,9,62736,150,-36,62737,529,109,2.249999999,0.3125,Cell 107,NSW1
10,10,63303,144.375,-35.5,63304,520,110,2.250000001,0.3125,Cell 117,NSW1
11,11,63304,145,-35.5,63305,521,110,2.250000003,0.312500001,Cell 118,NSW1
12,12,63305,145.625,-35.5,63306,522,110,2.250000001,0.3125,Cell 119,NSW1
13,13,63306,146.25,-35.5,63307,523,110,2.250000003,0.312500001,Cell 120,NSW1
14,14,63307,146.875,-35.5,63308,524,110,2.250000001,0.3125,Cell 121,NSW1
15,15,63308,147.5,-35.5,63309,525,110,2.250000001,0.3125,Cell 122,NSW1
16,16,63309,148.125,-35.5,63310,526,110,2.250000003,0.312500001,Cell 123,NSW1
17,17,63310,148.75,-35.5,63311,527,110,2.250000001,0.3125,Cell 124,NSW1
18,18,63311,149.375,-35.5,63312,528,110,2.250000003,0.312500001,Cell 125,NSW1
19,19,63312,150,-35.5,63313,529,110,2.250000001,0.3125,Cell 126,NSW1
20,20,63878,143.75,-35,63879,519,111,2.249999999,0.3125,Cell 138,NSW1
21,21,63879,144.375,-35,63880,520,111,2.249999999,0.3125,Cell 139,NSW1
22,22,63880,145,-35,63881,521,111,2.250000001,0.3125,Cell 140,NSW1
23,23,63881,145.625,-35,63882,522,111,2.249999999,0.3125,Cell 141,NSW1
24,24,63882,146.25,-35,63883,523,111,2.250000001,0.3125,Cell 142,NSW1
