,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,New_Energy,New_Emissions,New_Intensity_Index,Total_Energy,Sum_Emissions,Rooftop_PV
0,2021-01-01 00:00:00,2021-01-01 01:00:00,QLD1,5641.973,4573.336,5276.077,2021-01-01 00:00:00,-361.47,-302.40000000000003,-361.47,-313.32441962465674,0.8668061516160587,4914.607,4260.011580375343,0.0
1,2021-01-01 01:00:00,2021-01-01 02:00:00,QLD1,5670.592,4659.39,5307.139,2021-01-01 01:00:00,108.655,106.65,108.655,84.93270856176271,0.8760160945120444,5415.794,4744.322708561763,0.0
2,2021-01-01 02:00:00,2021-01-01 03:00:00,QLD1,5577.208,4540.085,5222.255,2021-01-01 02:00:00,118.875,124.3,118.875,92.03831908710347,0.867255303482054,5341.13,4632.1233190871035,0.0
3,2021-01-01 03:00:00,2021-01-01 04:00:00,QLD1,5484.147,4465.584,5133.252,2021-01-01 03:00:00,100.91,103.885,100.91,77.70595778084021,0.8680071342424709,5234.162,4543.28995778084,0.0
4,2021-01-01 04:00:00,2021-01-01 05:00:00,QLD1,5536.416,4531.964,5184.098,2021-01-01 04:00:00,106.96,105.14,106.96,84.42649754726096,0.8724891122998956,5291.058,4616.390497547261,0.0
5,2021-01-01 05:00:00,2021-01-01 06:00:00,QLD1,5506.236,4449.372,5158.356,2021-01-01 05:00:00,4.170000000000002,-0.2449999999999974,4.170000000000002,3.2303702016105404,0.8624852194839524,5162.526,4452.602370201611,11.85
6,2021-01-01 06:00:00,2021-01-01 07:00:00,QLD1,5369.897,4166.185,5031.4,2021-01-01 06:00:00,46.42,38.4,46.42,34.50560419627966,0.8272626056449973,5077.82,4200.69060419628,208.192
7,2021-01-01 07:00:00,2021-01-01 08:00:00,QLD1,5600.946,4146.5,5255.774,2021-01-01 07:00:00,31.5,34.26,31.5,22.698230600145926,0.7885345511884092,5287.274,4169.1982306001455,577.7105
8,2021-01-01 08:00:00,2021-01-01 09:00:00,QLD1,5751.481,4148.821,5403.153,2021-01-01 08:00:00,23.955,20.395,23.955,16.912958631829458,0.7675789681413802,5427.108,4165.733958631829,1024.007
9,2021-01-01 09:00:00,2021-01-01 10:00:00,QLD1,5854.686,4276.578,5508.031,2021-01-01 09:00:00,-34.03,-53.295,-34.03,-26.421773831701387,0.7764259133617804,5474.001,4250.156226168299,1217.103
10,2021-01-01 10:00:00,2021-01-01 11:00:00,QLD1,5946.299,4253.69,5601.49,2021-01-01 10:00:00,-50.085,-70.34,-50.085,-38.03382022461881,0.7593854492286873,5551.405,4215.656179775381,1496.2325
11,2021-01-01 11:00:00,2021-01-01 12:00:00,QLD1,6112.649,4292.461,5762.51,2021-01-01 11:00:00,-174.45000000000002,-188.38,-174.45000000000002,-129.94681509446406,0.7448943255629925,5588.06,4162.514184905536,1726.4295
12,2021-01-01 12:00:00,2021-01-01 13:00:00,QLD1,6226.781,4529.903,5865.444,2021-01-01 12:00:00,-308.275,-334.74,-308.275,-238.08186512819827,0.7723035118910009,5557.169000000001,4291.821134871802,1700.629
13,2021-01-01 13:00:00,2021-01-01 14:00:00,QLD1,6249.508,4549.781,5886.408,2021-01-01 13:00:00,-281.995,-266.515,-281.995,-217.96237928036928,0.7729299430144834,5604.4130000000005,4331.81862071963,1789.721
14,2021-01-01 14:00:00,2021-01-01 15:00:00,QLD1,6565.68,4675.063,6189.275,2021-01-01 14:00:00,-208.99,-225.475,-208.99,-157.86039824858324,0.7553490513832396,5980.285,4517.202601751417,1621.607
15,2021-01-01 15:00:00,2021-01-01 16:00:00,QLD1,6921.11,5010.55,6511.49,2021-01-01 15:00:00,-346.39,-381.35,-346.39,-266.54489440972804,0.7694936182041285,6165.099999999999,4744.005105590272,1290.9675000000002
16,2021-01-01 16:00:00,2021-01-01 17:00:00,QLD1,7270.498,5221.357,6838.702,2021-01-01 16:00:00,-521.485,-533.4300000000001,-521.485,-398.1544092936057,0.7635011731758453,6317.217000000001,4823.202590706394,979.494
17,2021-01-01 17:00:00,2021-01-01 18:00:00,QLD1,7216.736,5296.952,6779.352,2021-01-01 17:00:00,-316.04,-287.045,-316.04,-246.93343996299356,0.7813360332963977,6463.312,5050.018560037007,492.898
18,2021-01-01 18:00:00,2021-01-01 19:00:00,QLD1,7056.065,5427.378,6609.069,2021-01-01 18:00:00,91.89,89.86000000000001,91.89,74.66698902522738,0.8210832194354907,6700.959000000001,5502.044989025227,134.5525
19,2021-01-01 19:00:00,2021-01-01 20:00:00,QLD1,7146.432,5449.719,6696.271,2021-01-01 19:00:00,266.16,249.685,266.16,223.97795371879096,0.8149017137432013,6962.431,5673.696953718791,1.7525
20,2021-01-01 20:00:00,2021-01-01 21:00:00,QLD1,7062.883,5369.562,6619.674,2021-01-01 20:00:00,142.255,127.025,142.255,118.25089878345248,0.8115750548080958,6761.929,5487.8128987834525,0.0
21,2021-01-01 21:00:00,2021-01-01 22:00:00,QLD1,6871.542,5332.198,6433.445,2021-01-01 21:00:00,4.17,-13.86,4.17,3.415505882669966,0.8288183598868013,6437.615,5335.61350588267,0.0
