,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,New_Energy,New_Emissions,New_Intensity_Index
0,2022-01-01 00:00:00,2022-01-01 01:00:00,QLD1,5793.974,4620.428,5401.902,2022-01-01 00:00:00,-365.8225,-381.32,-365.8225,-312.9002566188724,0.8553335473320324
1,2022-01-01 01:00:00,2022-01-01 02:00:00,QLD1,5940.32,4841.515,5532.7,2022-01-01 01:00:00,-152.23166666666663,-152.53750000000002,-152.23166666666663,-133.21378307908734,0.8750727492905815
2,2022-01-01 02:00:00,2022-01-01 03:00:00,QLD1,5711.298,4735.285,5317.769,2022-01-01 02:00:00,-59.27666666666667,-65.41166666666666,-59.27666666666667,-52.783772765734405,0.8904645914480301
3,2022-01-01 03:00:00,2022-01-01 04:00:00,QLD1,5510.388,4652.236,5127.846,2022-01-01 03:00:00,68.96166666666667,70.9025,68.96166666666667,56.73382249261041,0.9061274006149693
4,2022-01-01 04:00:00,2022-01-01 05:00:00,QLD1,5444.025,4612.38,5065.788,2022-01-01 04:00:00,92.24000000000001,94.11333333333334,92.24000000000001,76.3635937334982,0.9090186392422646
5,2022-01-01 05:00:00,2022-01-01 06:00:00,QLD1,5363.58,4558.508,4990.324,2022-01-01 05:00:00,144.24666666666667,145.4325,144.24666666666667,115.08322742318255,0.9102204509062197
6,2022-01-01 06:00:00,2022-01-01 07:00:00,QLD1,5429.219,4253.27,5074.277,2022-01-01 06:00:00,269.8175,280.84083333333336,269.8175,177.16790561268732,0.8290343491517016
7,2022-01-01 07:00:00,2022-01-01 08:00:00,QLD1,5716.89,4026.288,5372.569,2022-01-01 07:00:00,74.54833333333332,83.65749999999997,74.54833333333332,45.02821961242514,0.7474258347067779
8,2022-01-01 08:00:00,2022-01-01 09:00:00,QLD1,6099.348,4231.388,5737.949,2022-01-01 08:00:00,59.49666666666668,60.55333333333333,59.49666666666668,36.35287934193108,0.7361415914391374
9,2022-01-01 09:00:00,2022-01-01 10:00:00,QLD1,6177.914,4267.884,5818.24,2022-01-01 09:00:00,103.44999999999999,115.74249999999999,103.44999999999999,61.71475354405345,0.7311424194012274
10,2022-01-01 10:00:00,2022-01-01 11:00:00,QLD1,6141.247,4163.336,5780.895,2022-01-01 10:00:00,89.16000000000001,104.54583333333335,89.16000000000001,52.29432746762065,0.7181585738920029
11,2022-01-01 11:00:00,2022-01-01 12:00:00,QLD1,6293.024,4247.968,5922.418,2022-01-01 11:00:00,-44.291666666666664,-11.055000000000001,-44.291666666666664,-31.769048160171515,0.7172691964667135
12,2022-01-01 12:00:00,2022-01-01 13:00:00,QLD1,6509.945,4408.072,6135.396,2022-01-01 12:00:00,-472.28749999999997,-422.3299999999999,-472.28749999999997,-339.32240147172246,0.7184657681427573
13,2022-01-01 13:00:00,2022-01-01 14:00:00,QLD1,6384.984,4434.938,6010.74,2022-01-01 13:00:00,-431.02833333333336,-421.47249999999997,-431.02833333333336,-318.0280522159779,0.737835607595737
14,2022-01-01 14:00:00,2022-01-01 15:00:00,QLD1,6509.563,4643.002,6117.947,2022-01-01 14:00:00,-459.1025,-435.3733333333333,-459.1025,-348.4197927352101,0.7589150412711978
15,2022-01-01 15:00:00,2022-01-01 16:00:00,QLD1,6642.253,4731.538,6241.032,2022-01-01 15:00:00,-512.0341666666667,-463.44999999999993,-512.0341666666667,-388.1904654361116,0.7581339111864831
16,2022-01-01 16:00:00,2022-01-01 17:00:00,QLD1,6783.507,4712.154,6386.723,2022-01-01 16:00:00,-416.7325,-365.3766666666666,-416.7325,-307.4671810261695,0.7378046613263172
17,2022-01-01 17:00:00,2022-01-01 18:00:00,QLD1,7016.172,4923.615,6603.17,2022-01-01 17:00:00,-233.5733333333333,-223.7075,-233.5733333333333,-174.1625866969955,0.7456441375884614
18,2022-01-01 18:00:00,2022-01-01 19:00:00,QLD1,7248.777,5533.205,6789.373,2022-01-01 18:00:00,-152.91,-156.89749999999998,-152.91,-124.61863216971582,0.8149802640096515
19,2022-01-01 19:00:00,2022-01-01 20:00:00,QLD1,7347.627,5643.98,6882.188,2022-01-01 19:00:00,-137.8733333333333,-142.58166666666668,-137.8733333333333,-113.0678696755547,0.8200851240913499
20,2022-01-01 20:00:00,2022-01-01 21:00:00,QLD1,6988.713,5412.057,6544.93,2022-01-01 20:00:00,-29.636666666666667,-29.589166666666667,-29.636666666666667,-24.506805923058,0.8269083091797772
21,2022-01-01 21:00:00,2022-01-01 22:00:00,QLD1,6590.492,5193.225,6163.699,2022-01-01 21:00:00,64.67166666666667,43.865833333333335,64.67166666666667,54.75596922906966,0.8425929107455824
22,2022-01-01 22:00:00,2022-01-01 23:00:00,QLD1,6364.803,5147.875,5936.566,2022-01-01 22:00:00,40.62583333333334,40.58333333333333,40.62583333333334,34.754362473083276,0.8670675974578614
23,2022-01-01 23:00:00,2022-01-02 00:00:00,QLD1,5937.108,4979.432,5521.722,2022-01-01 23:00:00,212.16333333333333,172.19666666666666,212.16333333333333,182.92231720956966,0.9003239543697834
24,2022-01-02 00:00:00,2022-01-02 01:00:00,QLD1,5639.926,4762.682,5244.165,2022-01-02 00:00:00,174.87333333333333,178.73666666666668,174.87333333333333,150.56217006834927,0.9066634830475794
25,2022-01-02 01:00:00,2022-01-02 02:00:00,QLD1,5583.701,4767.848,5187.371,2022-01-02 01:00:00,44.935833333333335,38.64416666666667,44.935833333333335,38.225324172259526,0.9185381280689278
26,2022-01-02 02:00:00,2022-01-02 03:00:00,QLD1,5384.698,4627.269,5002.979,2022-01-02 02:00:00,127.43666666666665,126.01333333333335,127.43666666666665,107.3408631833054,0.9228511237296053
27,2022-01-02 03:00:00,2022-01-02 04:00:00,QLD1,5350.569,4615.641,4970.935,2022-01-02 03:00:00,119.61416666666666,118.32416666666668,119.61416666666666,101.07373519323151,0.9265630447258354
28,2022-01-02 04:00:00,2022-01-02 05:00:00,QLD1,5296.139,4577.948,4921.166,2022-01-02 04:00:00,102.24666666666666,122.47666666666667,102.24666666666666,87.45273121921534,0.9287313308295227
29,2022-01-02 05:00:00,2022-01-02 06:00:00,QLD1,5387.778,4642.118,5006.934,2022-01-02 05:00:00,-9.156666666666668,-21.65583333333333,-9.156666666666668,-8.489492202879715,0.9271378452362264
30,2022-01-02 06:00:00,2022-01-02 07:00:00,QLD1,5562.965,4374.388,5201.699,2022-01-02 06:00:00,-203.34999999999997,-214.1933333333333,-203.34999999999997,-171.0079340999931,0.8409536960904507
31,2022-01-02 07:00:00,2022-01-02 08:00:00,QLD1,5887.334,4184.332,5534.138,2022-01-02 07:00:00,-676.8483333333334,-674.6583333333333,-676.8483333333334,-511.7613872862104,0.7560946257574351
