date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO2e,Imports Emissions Vol - tCO2e,Coal (Black) Emissions Vol - tCO2e,Bioenergy (Biogas) Emissions Vol - tCO2e,Distillate Emissions Vol - tCO2e,Gas (CCGT) Emissions Vol - tCO2e,Gas (OCGT) Emissions Vol - tCO2e,Emissions Intensity - kgCO2e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/12/1998,0,-10.7,0,0,3893,0,0.08,62.73,0,0,22.15,0,0,0,32.6,21.9,13.9,0,0,3635423,0,59.72,36870,1.45,0,20.16,0,207117,0,0,55894034,0,0,955080,0,0,251785,0,0,0
1/01/1999,0,-0.89,0,0,4872,0,0,83.73,0,0,19.33,0,0,0,31.1,23.44,18.3,0,0,4554632,0,0,49209,0,0,23.13,0,40824,0,0,107041867,0,0,1817606,0,0,428129,0,0,0
1/02/1999,0,-1.15,0,0,4537,0,0.02,78.63,0,0,9.64,0,0,0,30.2,22.51,15.5,0,0,4219415,0,10.7,46212,0,0,20.9,0,17220,0,0,90979009,0,232.3,1552569,0,0,166701,0,0,0
1/03/1999,0,-5.57,0,0,4899,0,0.01,87.62,0,0,14.69,0,0,0,30.4,22.21,11.5,0,0,4561270,0,6.79,51496,0,0,19.84,0,117050,0,0,93449881,0,147.6,1641229,0,0,281083,0,0,0
1/04/1999,0,-1.64,0,0,4628,0,0.03,81.38,0,0,14.13,0,0,0,27.1,17.19,10.5,0,0,4305645,0,20.27,47829,0,0,28.43,0,53900,0,0,125086550,0,498.4,2267626,0,0,401418,0,0,0
1/05/1999,0,-20.57,0,0,5289,0,0,85.72,0,0,15.91,0,0,0,23.5,16.01,6.8,0,0,4903280,0,0,50378,0,0,28.45,0,540349,0,0,144089585,0,0,2322919,0,0,380089,0,0,0
1/06/1999,0,-13.26,0,0,5602,0,0,83.88,0,0,12.3,0,0,0,21.5,13.36,6.5,0,0,5202889,0,0,49296,0,0,31.01,0,400829,0,0,164239183,0,0,2444208,0,0,361186,0,0,0
1/07/1999,0,-14.6,0,0,5483,0,0,87.34,0,0,7.99,0,0,0,21.2,13.12,7,0,0,5098006,0,0,51332,0,0,24.93,0,431426,0,0,132150441,0,0,2100270,0,0,138525,0,0,0
1/08/1999,0,-0.06,0,0,5406,0,0,85.43,0,0,0,0,0,0,25,13.94,6.3,0,0,5028821,0,0,50211,0,0,25.34,0,1458,0,0,132739079,0,0,2071413,0,0,0,0,0,0
1/09/1999,0,0,0,0,4917,0,0,85.01,0,0,3.49,0,0,0,27.3,16.21,7.7,0,0,4610325,0,0,49963,0,0,19.94,0,0,0,0,95417569,0,0,1613875,0,0,54982,0,0,0
