date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO2e,Imports Emissions Vol - tCO2e,Coal (Black) Emissions Vol - tCO2e,Bioenergy (Biomass) Emissions Vol - tCO2e,Distillate Emissions Vol - tCO2e,Gas (CCGT) Emissions Vol - tCO2e,Gas (OCGT) Emissions Vol - tCO2e,Gas (Waste Coal Mine) Emissions Vol - tCO2e,Emissions Intensity - kgCO2e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/12/1998,0,-2.78,0,0,2560,0,6.62,10.99,0.41,0,0,45.23,0,0,0,0,0,0,0,0,2514855,0,6611,10918,357.2,0,0,33.18,0,129392,0,0,58819820,0,217118,205433,0,0,0,1099228,0,0,0
1/01/1999,0,-20.19,0,0,3217,0,1.84,10.85,0,0,0,84.34,0,0,0,0,0,0,0,0,3168515,0,1847,11597,0,0,0,111.89,0,6869989,0,0,309789820,0,58359,905648,0,0,0,9559595,0,0,0
1/02/1999,0,-9.67,0,0,2947,0,0.57,10.16,5.12,0,0,82.54,0,0,0,0,0,0,0,0,2895123,0,568.5,11170,3876,0,0,57.79,0,1667730,0,0,146489239,0,11906,351764,159655,0,0,3912489,0,0,0
1/03/1999,0,-26.56,0,0,3230,0,5.73,14.53,10.89,0,0,114.3,0,0,0,0,0,0,0,0,3180330,0,5768,14660,8240,0,0,52.57,0,3010354,0,0,147962756,0,238045,485555,359980,0,0,5335858,0,0,0
1/04/1999,0,-7.57,0,0,2992,0,0.55,13.76,4.06,0,0,98.52,0,0,0,0,0,0,0,0,2927742,0,549.6,15016,3073,0,0,39.09,0,168136,0,0,103827063,0,10127,322234,96692,0,0,3488793,0,0,0
1/05/1999,0,-9.87,0,0,3132,0,1.69,15.49,3.25,0,0,94.08,0,0,0,0,0,0,0,0,3058922,0,1683,16988,2476,0,0,28.78,0,209078,0,0,85680815,0,30501,387995,119291,0,0,2597149,0,0,0
1/06/1999,0,-7.97,0,0,3186,0,0.11,15.8,3.7,0,0,77.05,0,0,0,0,0,0,0,0,3100579,0,112.5,17290,2801,0,0,34.13,0,173906,0,0,101295108,0,1673,460460,119190,0,0,2428412,0,0,0
1/07/1999,0,-3.41,0,0,3270,0,0,15.99,1.13,0,0,49.27,0,0,0,0,0,0,0,0,3203440,0,0,17537,856.5,0,0,28.7,0,67539,0,0,88251940,0,0,355006,21259,0,0,1274005,0,0,0
1/08/1999,0,-16.76,0,0,3182,0,3.31,12.36,8.45,0,0,60.91,0,0,0,0,0,0,0,0,3142263,0,3311,13325,6392,0,0,63.55,0,775602,0,0,186886849,0,143051,746478,803577,0,0,3914368,0,0,0
1/09/1999,0,-1.73,0,0,3023,0,0,16.15,2.04,0,0,42.85,0,0,0,0,0,0,0,0,2973615,0,0,17739,1622,0,0,34.73,0,47298,0,0,97704488,0,0,473746,38735,0,0,1469349,0,0,0
