date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO2e,Imports Emissions Vol - tCO2e,Distillate Emissions Vol - tCO2e,Gas (Steam) Emissions Vol - tCO2e,Gas (CCGT) Emissions Vol - tCO2e,Gas (OCGT) Emissions Vol - tCO2e,Emissions Intensity - kgCO2e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/12/1998,0,0,0,0,0,0,0,0,0,0,38.2,16.53,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/1999,0,0,0,0,0,0,0,0,0,0,29.2,17.15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/02/1999,0,0,0,0,0,0,0,0,0,0,32.6,18.53,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/03/1999,0,0,0,0,0,0,0,0,0,0,26.9,15.82,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/04/1999,0,0,0,0,0,0,0,0,0,0,22.2,12.43,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/05/1999,0,0,0,0,0,0,0,0,0,0,20.9,13.14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/06/1999,0,0,0,0,0,0,0,0,0,0,18,9.09,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/07/1999,0,0,0,0,0,0,0,0,0,0,16.5,8.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/08/1999,0,0,0,0,0,0,0,0,0,0,21.5,10.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/09/1999,0,0,0,0,0,0,0,0,0,0,26.3,12.35,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1999,0,0,0,0,0,0,0,0,0,0,27.2,13.79,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
