,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,MWLOSSES,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW.1,MWFLOW,MWLOSSES,SETTLEMENTDATE,METEREDMWFLOW.2,New_Energy_T_V,New_Emissions_T_V,New_Energy_V_N,New_Emissions_V_N,New_Energy_V_S,New_Emissions_V_S,New_Intensity_Index
0,2023-01-01 00:00:00,2023-01-01 01:00:00,VIC1,4473.864,4757.785,4111.912,VIC1-NSW1,2023-01-01 00:00:00,471.2758333,476.7441667,19.39583333,T-V-MNSP1,2023-01-01 00:00:00,194.35,179.4441667,3.325,2023-01-01 00:00:00,-40.27499999999999,194.35,0.0,-471.2758333,-545.3008455767634,40.27499999999999,5.473685594363861,1.0884318910586936
1,2023-01-01 01:00:00,2023-01-01 02:00:00,VIC1,4851.268,5076.026,4465.024,VIC1-NSW1,2023-01-01 01:00:00,647.1916667,644.3558333,39.505,T-V-MNSP1,2023-01-01 01:00:00,55.81666667,45.38333333,0.699166667,2023-01-01 01:00:00,-75.7425,55.81666667,0.0,-647.1916667,-735.7545507375849,75.7425,8.890866905198667,1.1012233950978652
2,2023-01-01 02:00:00,2023-01-01 03:00:00,VIC1,4901.424,4999.866,4520.272,VIC1-NSW1,2023-01-01 02:00:00,620.5808333,629.5241667,41.76666667,T-V-MNSP1,2023-01-01 02:00:00,-225.65,-229.15,6.553333333,2023-01-01 02:00:00,5.090833329999999,-225.65,-249.59112259173784,-620.5808333,-686.4235180246538,-5.090833329999999,-5.630963021325658,1.1060984825691904
3,2023-01-01 03:00:00,2023-01-01 04:00:00,VIC1,5004.066,4971.06,4624.646,VIC1-NSW1,2023-01-01 03:00:00,645.9591667,667.965,49.275,T-V-MNSP1,2023-01-01 03:00:00,-406.5916667,-401.385,18.455,2023-01-01 03:00:00,-11.8825,-406.5916667,-437.04784553578855,-645.9591667,-694.3454212961818,11.8825,1.0160688955690789,1.071625763144648
4,2023-01-01 04:00:00,2023-01-01 05:00:00,VIC1,5109.439,4918.153,4733.361,VIC1-NSW1,2023-01-01 04:00:00,731.6808333,742.7133333,60.97916667,T-V-MNSP1,2023-01-01 04:00:00,-442.9583333,-438.1608333,21.67583333,2023-01-01 04:00:00,36.038333333,-442.9583333,-460.2515751058064,-731.6808333,-760.2458982817695,-36.038333333,-37.44528194589298,1.0390403351867732
5,2023-01-01 05:00:00,2023-01-01 06:00:00,VIC1,5168.93,4878.131,4795.235,VIC1-NSW1,2023-01-01 05:00:00,671.2266667,691.3266667,54.05416667,T-V-MNSP1,2023-01-01 05:00:00,-431.5666667,-426.4491667,20.5875,2023-01-01 05:00:00,207.7158333,-431.5666667,-439.0272291964706,-671.2266667,-682.8302702278278,-207.7158333,-211.306650375125,1.017287161108893
6,2023-01-01 06:00:00,2023-01-01 07:00:00,VIC1,4860.348,4155.212,4539.896,VIC1-NSW1,2023-01-01 06:00:00,397.4883333,369.4725,23.48083333,T-V-MNSP1,2023-01-01 06:00:00,-424.0333333,-423.6875,20.34583333,2023-01-01 06:00:00,297.8833333,-424.0333333,-388.10325058727335,-397.4883333,-363.8075172621047,-297.8833333,-272.64245725632475,0.9152659003642375
7,2023-01-01 07:00:00,2023-01-01 08:00:00,VIC1,4348.795,3804.472,4054.472,VIC1-NSW1,2023-01-01 07:00:00,108.0766667,159.8533333,7.923333333,T-V-MNSP1,2023-01-01 07:00:00,-409.7083333,-399.6183333,18.35916667,2023-01-01 07:00:00,244.28416663,-409.7083333,-384.44559050019774,-108.0766667,-101.41262593834226,-244.28416663,-229.22152921198352,0.9383396901002151
8,2023-01-01 08:00:00,2023-01-01 09:00:00,VIC1,3948.471,3441.219,3682.213,VIC1-NSW1,2023-01-01 08:00:00,10.08416667,-46.6425,1.326666667,T-V-MNSP1,2023-01-01 08:00:00,-425.725,-442.5591667,22.10666667,2023-01-01 08:00:00,55.014166700000004,-425.725,-397.8620896659156,-10.08416667,-9.424176695908338,-55.014166700000004,-51.41359169532216,0.9345518578094204
9,2023-01-01 09:00:00,2023-01-01 10:00:00,VIC1,3828.0,3330.152,3570.252,VIC1-NSW1,2023-01-01 09:00:00,-215.3908333,-223.8833333,-4.6575,T-V-MNSP1,2023-01-01 09:00:00,-445.7,-444.7725,22.31083333,2023-01-01 09:00:00,-29.345,-445.7,-415.72660596506915,215.3908333,114.25765960124868,29.345,2.4036914124362796,0.8996223816472996
