date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO2e,Imports Emissions Vol - tCO2e,Coal (Brown) Emissions Vol - tCO2e,Gas (Steam) Emissions Vol - tCO2e,Gas (OCGT) Emissions Vol - tCO2e,Emissions Intensity - kgCO2e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/12/1998,0,0,0,2987,7.83,5.36,0,85.59,0,0,0,0,0,0,0,0,3840163,4464,4717,0,20.57,0,0,0,44471765,0,6170,0,1215209,0,0,0
1/01/1999,0,0,0,3955,2.05,3.63,0,106.5,0,0,0,0,0,0,0,0,5091677,1170,3195,0,22.95,0,0,0,86133046,41385,100787,0,2202030,0,0,0
1/02/1999,0,0,0,3786,9,1.12,0,69.63,0,0,0,0,0,0,0,0,4913884,5132,988.5,0,20.81,0,0,0,74133563,172159,20034,0,1370755,0,0,0
1/03/1999,0,0,0,4233,9.7,0.44,0,44.05,0,0,0,0,0,0,0,0,5475046,5528,383.8,0,19.35,0,0,0,77766781,172090,7171,0,776438,0,0,0
1/04/1999,0,0,0,4024,0,2.12,0,31.35,0,0,0,0,0,0,0,0,5204967,2.24,1864,0,35.63,0,0,0,123048904,121.1,48990,0,972941,0,0,0
1/05/1999,0,0,0,4113,5.84,6.52,0,15.33,0,0,0,0,0,0,0,0,5318701,3331,5736,0,29.04,0,0,0,114167643,162834,176878,0,411677,0,0,0
1/06/1999,0,0,0,4082,17.55,10.85,0,31.54,0,0,0,0,0,0,0,0,5265252,10006,9543,0,30.47,0,0,0,119249947,482193,318228,0,923476,0,0,0
1/07/1999,0,0,0,4465,66.66,12.04,0,19.07,0,0,0,0,0,0,0,0,5791125,37997,10586,0,23.64,0,0,0,102425219,1542726,224961,0,425849,0,0,0
1/08/1999,0,0,0,4281,151.6,8.89,0,25.77,0,0,0,0,0,0,0,0,5575621,86440,7818,0,24.67,0,0,0,102021509,3846434,214392,0,626520,0,0,0
1/09/1999,0,0,0,4121,29.5,3.19,0,28.54,0,0,0,0,0,0,0,0,5353908,16817,2802,0,18.82,0,0,0,75548164,568679,49685,0,518703,0,0,0
1/10/1999,0,0,0,4142,54.01,3.03,0,29.91,0,0,0,0,0,0,0,0,5364127,30785,2664,0,20.65,0,0,0,83038743,1065633,53620,0,596973,0,0,0
1/11/1999,0,0,0,4001,54.62,0.91,0,25.3,0,0,0,0,0,0,0,0,5160943,31138,801.7,0,21,0,0,0,81222063,1080652,16002,0,521183,0,0,0
1/12/1999,0,0,0,4161,30.63,2.29,0,38.07,0,0,0,0,0,0,0,0,5379865,17461,2018,0,17.1,0,0,0,69336780,584306,36750,0,599408,0,0,0
1/01/2000,0,0,0,3565,183.9,53.89,0,57.46,0,0,0,0,0,0,0,0,4580710,104806,47392,0,33.35,0,0,0,113273764,5070370,1551969,0,1839171,0,0,0
1/02/2000,0,0,0,3674,201.1,75.22,0,64.42,0,0,0,0,0,0,0,0,4731294,114636,66151,0,55.52,0,0,0,212302619,15524778,6421276,0,5847589,0,0,0
1/03/2000,0,0,0,4219,49.22,5.17,0,52.19,0,0,0,0,0,0,0,0,5448352,28055,4544,0,36.45,0,0,0,155121998,2247383,151930,0,2031794,0,0,0
1/04/2000,0,0,0,3982,2.72,0.03,0,22.35,0,0,0,0,0,0,0,0,5143068,1549,29.04,0,26.57,0,0,0,98332414,58636,457.6,0,555197,0,0,0
1/05/2000,0,0,0,4069,169.4,14.78,0,31.9,0,0,0,0,0,0,0,0,5290085,96564,12994,0,55.91,0,0,0,207660109,10207489,844755,0,2096674,0,0,0
1/06/2000,0,0,0,3839,276.8,35.99,0,28.43,0,0,0,0,0,0,0,0,5029493,157811,31646,0,46.13,0,0,0,165079448,12825531,1861787,0,1469429,0,0,0
1/07/2000,0,0,0,4015,10.95,13.67,0,20.69,0,0,0,0,0,0,0,0,5225909,6244,12023,0,49.47,0,0,0,190052372,363975,825374,0,991417,0,0,0
1/08/2000,0,0,0,3756,15.12,11.18,0,36.24,0,0,0,0,0,0,0,0,4898282,8617,9832,0,61.56,0,0,0,215021330,835941,662696,0,2194665,0,0,0
1/09/2000,0,0,0,3761,0,3.83,0,64.1,0,0,0,0,0,0,0,0,4873374,0,3364,0,25.52,0,0,0,92726189,0,155444,0,1489365,0,0,0
1/10/2000,0,0,0,3984,0,0.74,0,109,0,0,0,0,0,0,0,0,5148367,0,651,0,29.55,0,0,0,112411554,0,17604,0,3026263,0,0,0
1/11/2000,0,0,0,3898,12.9,5.23,0,77.66,0,0,0,0,0,0,0,0,5034945,7351,4603,0,33.77,0,0,0,123880340,443543,142459,0,2274151,0,0,0
1/12/2000,0,0,0,4307,4.81,3.28,0,63.91,0,0,0,0,0,0,0,0,5565182,2740,2887,0,25.96,0,0,0,103453155,81664,63271,0,1589405,0,0,0
1/01/2001,0,0,0,4268,106.1,18.68,0,76.84,0,0,0,0,0,0,0,0,5536453,60509,16423,0,61.21,0,0,0,226612008,8401396,1414349,0,3514086,0,0,0
1/02/2001,0,0,0,3941,126.2,13.98,0,55.91,0,0,0,0,0,0,0,0,5126423,71913,12294,0,49.34,0,0,0,170490476,4909408,340824,0,1918422,0,0,0
1/03/2001,0,0,0,4128,120.9,3.74,0,51.12,0,0,0,0,0,0,0,0,5388097,68932,3290,0,31.34,0,0,0,125335374,3547775,82534,0,1437757,0,0,0
1/04/2001,0,0,0,4037,51.31,1.61,0,34.05,0,0,0,0,0,0,0,0,5226359,29249,1419,0,29.29,0,0,0,112154676,1852165,40214,0,810783,0,0,0
1/05/2001,0,0,0,4054,213.3,4.86,0,13.06,0,0,0,0,0,0,0,0,5228442,121573,3247,0,35.05,0,0,0,138002111,7492682,170027,0,420891,0,0,0
1/06/2001,0,0,0,4182,133.3,13.71,0,18.33,0,0,0,0,0,0,0,0,5418582,76014,8527,0,29.99,0,0,0,121421480,3651967,382556,0,467442,0,0,0
