country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,ninja,Kevan,10.0,-32.94,137.45,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2018,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,152.0,7.636,114,,
2018,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,148.7,7.242,109,,
2018,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,147.1,6.92,102,,
2018,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,145.6,6.5760000000000005,94,,
2018,1,1,4,0,13.6,-116,86.8,11.1,6,6.0,0,1.0000000000000004,0,1001.2,147.8,6.301,84,,
2018,1,1,5,0,13.8,-107,88.2,11.8,29,297.0,0,61.81329049202722,0,1001.7,148.8,6.1370000000000005,73,,
2018,1,1,6,0,14.2,-98,82.3,12.5,78,658.0,0,259.6066200616267,0,1002.3,146.7,5.626,62,,
2018,1,1,7,0,14.8,-88,90.4,13.2,52,814.0,0,492.966627542802,0,1003,142.4,4.99,51,,
2018,1,1,8,0,15.4,-76,88.5,13.9,95,888.0,0,710.2001209685022,0,1003.7,140.6,4.581,40,,
2018,1,1,9,0,15.9,-60,80.8,13.5,179,921.0,0,888.4066467247219,0,1004,174.9,4.27,30,,
2018,1,1,10,0,16.4,-33,59.9,12.3,405,940.0,7,1020.9903470415464,0,1004.1,171.5,4.088,21,,
2018,1,1,11,0,16.9,6,25.9,10.9,426,946.0,353,1096.1687446174165,0,1004.2,171.5,4.283,19,,
2018,1,1,12,0,17.1,42,5.9,9.7,228,940.0,734,1110.7003029580374,0,1004.4,172.9,4.83,23,,
2018,1,1,13,0,17.2,65,7.9,8.6,236,921.0,628,1060.5163669689746,0,1004.7,174.0,5.619,32,,
2018,1,1,14,0,17.2,80,4.1,7.6,155,886.0,606,948.1858938022996,0,1005,177.1,6.485,43,,
2018,1,1,15,0,16.9,91,0,7,74,824.0000000000001,544,775.4662277078978,0,1005.3,178.2,7.273,54,,
2018,1,1,16,0,16.3,100,0.2,6.8,65,719.0,349,553.0794551516204,0,1005.7,180.9,8.053,66,,
2018,1,1,17,0,15.6,109,12.4,6.7,75,529.0,117,299.36882654563726,0,1006.1,184.1,8.887,77,,
2018,1,1,18,0,14.7,118,6.9,6.7,30,200.0,10,66.43985076271889,0,1006.5,184.2,9.589,87,,
2018,1,1,19,0,13.5,129,0.6,6.8,0,0.0,0,0.0,0,1006.9,178.1,9.873,96,,
2018,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,171.1,9.98,104,,
2018,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,170.5,9.844,111,,
2018,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,172.7,9.577,115,,
2018,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,171.9,9.059,116,,
2018,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,168.5,8.613,114,,
2018,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,168.5,8.324,109,,
2018,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,167.7,8.017,102,,
2018,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,167.5,7.574,94,,
2018,1,2,4,0,12.9,-116,34.1,10,36,6.0,0,1.0000000000000004,0,1006.8,168.4,7.234,84,,
2018,1,2,5,0,14.1,-107,62.1,10.9,84,313.0,0,61.75759565163554,0,1007.1,166.9,7.388,74,,
2018,1,2,6,0,15.5,-98,66.4,11.7,147,477.0,0,229.71507076400167,0,1007,165.7,7.486,62,,
