,Solar
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,172.9
8,327.03
9,566.48
10,769.23
11,769.23
12,769.23
13,769.04
14,602.66
15,374.41
16,208.79
17,129.71
18,38.37
19,-0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,769.23
32,769.23
33,769.23
34,769.23
35,769.23
36,769.23
37,735.95
38,753.7
39,674.13
40,585.65
41,297.05
42,56.54
43,-0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,569.45
56,581.55
57,698.77
58,685.29
59,580.13
60,489.99
61,436.35
62,337.74
63,171.39
64,86.18
65,79.87
66,18.41
67,-0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,125.47
80,177.32
81,122.47
82,123.42
83,132.24
84,116.63
85,100.03
86,98.86
87,93.51
88,92.8
89,51.35
90,14.42
91,-0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,769.23
104,769.23
105,769.23
106,769.23
107,769.23
108,769.23
109,769.23
110,769.23
111,636.6
112,397.49
113,157.2
114,34.77
115,-0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,511.49
128,647.33
129,623.24
130,651.74
131,545.9
132,363.23
133,325.39
134,332.4
135,279.13
136,187.5
137,73.72
138,11.54
139,-0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,340.63
152,744.84
153,769.23
154,769.23
155,747.45
156,728.41
157,671.57
158,615.01
159,495.61
160,314.06
161,183.47
162,37.79
163,-0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,147.35
176,438.99
177,562.08
178,567.97
179,588.88
180,576.27
181,456.03
182,462.95
183,338.01
184,210.4
185,123.68
186,12.14
187,-0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,140.01
200,209.04
201,232.96
202,289.31
203,248.99
204,228.13
205,207.09
206,189.39
207,191.75
208,205.9
209,107.25
210,12.76
211,-0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,585.02
224,532.45
225,558.88
226,617.75
227,681.08
228,646.9
229,367.83
230,317.21
231,349.55
232,201.98
233,89.17
234,22.11
235,-0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,222.02
248,463.49
249,589.56
250,627.09
251,642.87
252,581.77
253,447.37
254,457.72
255,355.54
256,214.16
257,134.42
258,31.2
259,-0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,769.23
272,769.23
273,769.23
274,769.23
275,769.23
276,769.23
277,628.67
278,532.62
279,417.87
280,308.23
281,170.28
282,34.77
283,-0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,273.79
296,716.27
297,769.23
298,727.8
299,686.98
300,695.99
301,629.11
302,668.54
303,616.19
304,470.01
305,343.77
306,84.03
307,-0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,402.99
320,769.23
321,769.23
322,769.23
323,769.23
324,769.23
325,769.23
326,769.23
327,769.23
328,738.98
329,462.97
330,99.63
331,-0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,769.23
344,769.23
345,769.23
346,769.23
347,769.23
348,769.23
349,769.23
350,769.23
351,745.38
352,610.33
353,430.19
354,97.63
355,-0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,654.27
368,769.23
369,769.23
370,769.23
371,769.23
372,769.23
373,769.23
374,717.35
375,473.95
376,284.97
377,114.76
378,23.2
379,-0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,406.66
392,768.47
393,769.23
394,769.23
395,769.23
396,769.23
397,769.23
398,769.23
399,557.55
400,432.13
401,238.93
402,29.08
403,-0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,280.83
416,706.66
417,769.23
418,769.23
419,769.23
420,769.23
421,769.23
422,735.13
423,694.98
424,452.48
425,240.03
426,46.41
427,-0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,265.22
440,600.41
441,741.3
442,744.14
443,710.47
444,627.51
445,457.74
446,297.65
447,241.66
448,233.25
449,158.44
450,29.06
451,-0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,550.19
464,641.05
465,769.23
466,769.23
467,769.23
468,769.23
469,769.23
470,769.23
471,734.67
472,581.02
473,358.06
474,56.78
475,-0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,326.48
488,765.78
489,769.23
490,769.23
491,769.23
492,769.23
493,705.6
494,638.39
495,642.2
496,456.47
497,222.25
498,22.58
499,-0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,330.8
512,769.23
513,769.23
514,769.23
515,769.23
516,758.73
517,706.14
518,669.45
519,533.1
520,233.52
521,81.29
522,9.18
523,-0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,336.02
536,769.23
537,769.23
538,769.23
539,769.23
540,769.23
541,769.23
542,680.98
543,637.38
544,446.66
545,216.37
546,42.03
547,-0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,622.08
560,769.23
561,769.23
562,769.23
563,769.23
564,769.23
565,750.28
566,667.05
567,702.03
