,Wind
0,187632.09
1,226751.78
2,220640.82
3,205122.26
4,190989.01
5,155493.88
6,117719.58
7,119143.17
8,89212.85
9,87341.7
10,101067.92
11,102523.89
12,135562.37
13,90616.0
14,50953.55
15,29905.86
16,15699.87
17,9400.76
18,16393.59
19,44165.36
20,132466.2
21,189065.41
22,212252.68
23,166836.68
24,138415.94
25,81694.26
26,70275.6
27,75912.77
28,58670.6
29,84516.45
30,143975.14
31,111578.92
32,61874.65
33,49841.31
34,41335.72
35,27147.03
36,18187.62
37,17898.57
38,25470.56
39,39815.69
40,61169.21
41,100560.75
42,161196.14
43,198154.75
44,198412.98
45,178860.21
46,134908.28
47,119364.65
48,102449.87
49,99415.97
50,114761.55
51,95925.89
52,84523.85
53,64543.25
54,42268.14
55,9603.39
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,1482.57
64,11272.16
65,20850.01
66,31793.51
67,37778.95
68,43529.58
69,50584.07
70,59889.5
71,78619.48
72,111229.18
73,146095.58
74,213483.59
75,282607.25
76,282880.07
77,282880.07
78,282880.07
79,282880.07
80,282880.07
81,282880.07
82,282880.07
83,282880.07
84,282880.07
85,282880.07
86,282880.07
87,282880.07
88,282880.07
89,282880.07
90,282880.07
91,282880.07
92,282880.07
93,282880.07
94,282880.07
95,282880.07
96,249509.86
97,282880.07
98,282880.07
99,278432.6
100,222510.32
101,223924.61
102,217308.21
103,276407.41
104,282880.07
105,282880.07
106,282880.07
107,282880.07
108,282880.07
109,282880.07
110,282880.07
111,282880.07
112,282880.07
113,282880.07
114,269280.5
115,280843.74
116,242466.64
117,245940.08
118,254095.48
119,282636.83
120,268715.15
121,279108.92
122,282880.07
123,282880.07
124,266835.99
125,209683.32
126,232967.1
127,241238.07
128,253463.36
129,227225.11
130,215519.5
131,197226.59
132,198645.37
133,199173.31
134,223699.58
135,269934.6
136,282880.07
137,282880.07
138,281879.89
139,249133.86
140,221604.3
141,181405.1
142,158012.77
143,138725.99
144,125838.32
145,114532.56
146,105578.41
147,86733.27
148,77449.39
149,68931.13
150,55728.7
151,46977.54
152,44026.98
153,42294.61
154,43137.3
155,48219.32
156,54520.58
157,70687.45
158,105146.84
159,152224.83
160,196735.54
161,220189.12
162,251844.95
163,282789.55
164,225719.02
165,200133.27
166,184129.6
167,183187.43
168,169160.28
169,174535.73
170,159195.66
171,176578.43
172,132056.75
173,133788.34
174,99179.22
175,49171.69
176,21842.43
177,1267.7
178,0.0
179,0.0
180,14775.16
181,27465.79
182,44707.16
183,66114.39
184,78754.76
185,82754.68
186,87693.47
187,80019.09
188,91292.5
189,109195.93
190,111838.48
191,108140.26
192,92823.01
193,99740.86
194,82355.61
195,58537.14
196,38955.86
197,18224.32
198,579.6
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,17450.43
208,43077.93
209,79958.68
210,94366.72
211,87717.8
212,55682.4
213,30782.71
214,16067.54
215,5851.44
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,5853.73
233,33860.46
234,130235.92
235,174983.93
236,110638.2
237,72218.3
238,51695.49
239,52292.27
240,70413.01
241,86325.06
242,140152.57
243,254397.96
244,282880.07
245,282880.07
246,282880.07
247,282880.07
248,282880.07
249,282880.07
250,282880.07
251,282880.07
252,282880.07
253,282880.07
254,282880.07
255,282880.07
256,282880.07
257,282880.07
258,282880.07
259,282880.07
260,282880.07
261,282880.07
262,282880.07
263,202989.29
264,148545.28
265,180760.65
266,231978.32
267,187196.38
268,213319.65
269,206785.17
270,194254.16
271,192414.83
272,157239.73
273,121907.83
274,100966.71
275,93481.82
276,87662.66
277,87003.04
278,90158.26
279,94771.55
280,97633.35
281,95119.1
282,77726.74
283,73685.89
284,76333.03
285,81470.7
286,73722.84
287,64587.74
288,54654.18
289,44738.96
290,26527.26
291,12187.94
292,2850.35
293,0.0
294,0.0
295,0.0
296,0.0
297,2211.17
298,19826.38
299,55109.55
300,109658.66
301,186143.44
302,225633.98
303,215408.31
304,244565.21
305,282880.07
306,282880.07
307,282880.07
308,160885.19
309,107814.09
310,146572.34
311,195513.63
312,222461.52
313,274959.17
314,282880.07
315,257098.39
316,216802.84
317,165299.86
318,132460.17
319,84053.01
320,66597.02
321,44094.6
322,29082.11
323,17936.09
324,13103.39
325,14425.15
326,19556.19
327,27245.64
328,39893.56
329,60105.14
330,102536.75
331,150623.0
332,149212.63
333,117926.95
334,119495.38
335,133284.77
336,89576.57
337,68011.08
338,102299.29
339,143893.0
340,176680.21
341,196730.26
342,204687.93
343,228344.49
344,282880.07
345,282880.07
346,282880.07
347,282880.07
348,282880.07
349,282880.07
350,282880.07
351,282880.07
352,282880.07
353,282880.07
354,282880.07
355,282880.07
356,282880.07
357,282880.07
358,282880.07
359,282880.07
360,282880.07
361,282880.07
362,282880.07
363,282880.07
364,282880.07
365,282880.07
366,282880.07
367,282880.07
368,282880.07
369,282880.07
370,282880.07
371,282880.07
372,282880.07
373,282880.07
374,282880.07
375,282880.07
376,282880.07
377,282880.07
378,282880.07
379,282880.07
380,282880.07
381,282880.07
382,282184.13
383,257171.78
384,237017.94
385,253436.99
386,238271.06
387,210484.59
388,168487.62
389,188154.92
390,183182.64
391,168241.19
392,144297.16
393,122433.63
394,74537.4
395,52238.78
396,51226.92
397,54796.39
398,53219.93
399,59620.11
400,88280.68
401,99107.05
402,130315.56
403,146446.95
404,167785.48
405,184322.54
406,166020.41
407,156839.98
408,137073.04
409,129629.88
410,136074.81
411,145087.83
412,152783.9
413,165354.4
414,145365.66
415,183000.87
416,267772.83
417,253757.88
418,245109.26
419,214249.21
420,209773.91
421,225748.63
422,281422.4
423,282880.07
424,282880.07
425,282880.07
426,282880.07
427,282880.07
428,282880.07
429,282880.07
430,274623.95
431,269349.02
432,282880.07
433,282880.07
434,276288.16
435,278755.3
436,282542.71
437,282880.07
438,282880.07
439,280861.05
440,282880.07
441,267279.35
442,269949.2
443,270862.38
444,240771.33
445,202346.67
446,197197.97
447,192482.28
448,220125.91
449,255315.44
450,239587.61
