,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,5.772144161,97580213.64,60,1,4419.157655,0,0,0,0,0,0,-14098866.5,0,14658.56234,28759.36071,20083.31026,16888.91506,Pipeline,0,0,1576800,790.6154941,0,0,1,24
1,QLD1,2021,5.326907501,90998921,60,1,5348.070697,0,0,0,0,0,0,-7131755.591,0,19049.46186,17532.91161,16595.01516,100000,Salt Cavern,0,0,1576800,5330.172042,0,0,1,24
2,QLD1,2021,5.617139684,96849071.89,60,1,5348.070697,0,0,0,0,0,0,-7131755.591,0,19049.46186,17532.91161,16595.01516,100000,Lined Rock,0,0,1576800,5330.172042,0,0,1,24
3,TAS1,2021,5.14187241,87705459.1,60,1,5330.558206,0,0,0,0,0,0,-17826897.41,0,19112.04509,14401.74714,16649.53479,18057.19478,Pipeline,0,0,1576800,1351.845616,0,0,1,24
4,TAS1,2021,4.41103284,74737238.26,60,1,5156.009377,0,0,0,0,0,0,-26157.9841,0,19819.13124,0,17213.17938,100000,Salt Cavern,0,0,1576800,19575.28078,0,0,1,24
5,TAS1,2021,4.701265023,80587389.15,60,1,5156.009377,0,0,0,0,0,0,-26211.09221,0,19819.13124,0,17213.17938,100000,Lined Rock,0,0,1576800,19575.28078,0,0,1,24
6,SA1,2021,5.149106592,88011843.04,60,1,5522.752976,0,0,0,0,0,0,-16431538.36,0,18446.93565,16145.35219,16070.12203,19290.60189,Pipeline,0,0,1576800,533.6662993,0,0,1,24
7,SA1,2021,4.766745457,81219835.86,60,1,5551.790467,0,0,0,0,0,0,-5222824.44,0,18350.45277,10535.38321,15986.07059,100000,Salt Cavern,0,0,1576800,27494.82946,0,0,1,24
8,SA1,2021,5.056977639,87069986.75,60,1,5551.790467,0,0,0,0,0,0,-5222824.44,0,18350.45277,10535.38321,15986.07059,100000,Lined Rock,0,0,1576800,27494.82946,0,0,1,24
9,NSW1,2021,7.20736262,125026111.9,60,1,4468.918121,0,0,0,0,0,0,-27405926.93,0,22796.98711,27245.99933,19859.68682,40252.52571,Pipeline,0,0,1576800,2264.150545,0,0,1,24
10,NSW1,2021,5.692378459,97124089.66,60,1,4830.428128,0,0,0,0,0,0,-6005600.208,0,21090.85697,17103.27533,18373.3847,106054.8973,Salt Cavern,0,0,1576800,69124.61797,0,0,1,24
11,NSW1,2021,5.984198723,103012490.9,60,1,4839.902853,0,0,0,0,0,0,-6080380.972,0,21056.10476,17226.40648,18337.41647,106029.2547,Lined Rock,0,0,1576800,69065.70353,0,0,1,24
12,VIC1,2021,6.224876591,106537306.9,60,1,4477.045863,0,0,0,0,0,0,-19219611.62,0,23498.70677,17683.21679,19823.63304,21419.77852,Pipeline,0,0,1576800,1884.239294,0,0,1,24
13,VIC1,2021,5.494560739,93684237.55,60,1,4880.483916,0,0,0,0,0,0,-5047304.11,0,20874.54247,14414.42174,18184.94146,100000,Salt Cavern,0,0,1576800,85953.07956,0,0,1,24
14,VIC1,2021,5.784792922,99534388.44,60,1,4880.483916,0,0,0,0,0,0,-5047304.11,0,20874.54247,14414.42174,18184.94146,100000,Lined Rock,0,0,1576800,85953.07956,0,0,1,24
