,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,135960.81626363442,386375.3570429511,2376867.126964377,-2688436.8241318264,4104.65014852286,2.84181404364145,-1.1549188154966943,1.5582974558128933,193.85642576933373
1,2,119977.05307567902,372859.32567398745,1618471.221457338,-2132310.9433850953,29341.18358093471,3.107755325835479,0.7626613752971897,2.912315329919579,-112.96526457135961
2,3,132946.3465182006,78946.63806103187,2631775.814417449,-2395742.931350193,-24422.648153273516,0.5938232988615745,-4.182216235587683,-1.2072716903413432,686.4325541610921
3,4,129515.7841424871,2639287.074524845,1014416.5720811257,-4784618.228548218,170637.35958063067,20.378111378465093,17.953500365151477,19.794785194498928,-2870.693429500027
4,5,135294.77825766997,1294179.3070605914,1996972.577160078,-3861413.843678059,-238758.5842411,9.565626432350676,6.816089561180021,9.370798175356434,-1138.495463906506
5,6,130266.03800598418,403519.41550350573,2981802.845115146,-3185660.356381649,-343269.5383114071,3.0976563168749234,-2.456417496394803,1.0641538637634311,395.04663573324683
6,7,133094.51057713784,-13339.690292499494,3146289.6193152308,-2772042.23310226,-216924.38048910047,0.0,-5.449262865495672,-1.9120865430233187,895.3913260361953
7,8,132704.67315921455,573490.1309534794,2685914.3726572013,-3164196.3956948807,-34257.07000896126,4.321551888873013,-0.7116206703783189,2.4507936904032013,116.58689935295796
8,9,130468.82561470143,-559260.4778705427,3397984.0067916964,-2093629.6236766016,-124722.94825301065,0.0,-10.541560123169559,-6.798259862763112,1697.9567523662959
9,10,133736.41555843392,-6999.419421088416,3287157.683898096,-3125447.895811644,-65751.44569050368,0.0,-4.538241371207051,-0.822234209281174,749.2939924990409
10,11,130091.42892036549,-111144.642646491,2763624.8797308067,-2687519.808171787,-45667.56298220479,0.0,-3.6197667152957775,-0.3978082882909432,581.3587954953155
11,12,132743.3299064903,1425138.3955388232,1979045.7635764126,-3907407.6193544245,108359.56614899368,10.736045242670555,7.28438160761869,9.87835745007128,-1193.7692233393802
