,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,5105.860317455552,81816.41730117387,24832.240998083755,-118424.76595650705,3517.9845129367586,16.024021852197116,11.315668323111923,13.381201006630118,-71.32866895859998
1,2,4733.997319371866,128841.47037508812,6485.55913528489,-204195.50281812128,7607.652284240232,27.216211096668626,27.260294949021457,30.487608917281953,-159.32118915302962
2,3,4887.810532450125,89386.85832631736,4375.982462844985,-132737.9549072967,4995.724052222344,18.287709339975212,17.136478869350984,19.17100494430957,-103.40723692187993
3,4,4593.148156699446,-53835.57618015515,81514.93251024513,-22161.86976558449,-4958.681480519299,0.0,-11.201639615311242,-9.433123932744376,63.51949426059052
4,5,3147.698911135496,-65101.36394819284,95772.16185381525,-32176.211973641643,-4935.481053190482,0.0,-17.921826246696707,-14.748883143902551,69.64507773121825
5,6,3617.554505409945,20461.874370590514,54433.70505768366,-94326.39376807588,-352.9226618642115,5.656272584142241,4.961654229555583,8.05009647125862,-22.15932668199396
6,7,4153.930257514953,78012.50516514204,19617.43498648877,-106617.71166732446,4075.357182882787,18.780408030204203,13.056184292131565,15.289183505696217,-66.95614688737871
7,8,4936.795859303065,-193807.92483476276,288705.2623660089,-546.0754558928577,-10643.133807451937,0.0,-47.29628374801379,-42.60986527283326,288.2618490958239
8,9,4874.647607600369,-251252.4070051641,387769.72187868855,0.0,-13662.900948150593,0.0,-64.43408837020647,-58.07022779043299,387.76972187868853
9,10,4776.352873626918,-138147.41699620383,218887.32626747206,-4599.108142617917,-7981.216513376983,0.0,-36.48679515103647,-32.75101387397248,215.1528504556663
10,11,4733.019985295352,-143445.39968949638,214819.2162493007,-9006.75614913046,-7847.692717146196,0.0,-35.51213433066434,-31.743600563678736,207.50573025620676
11,12,4320.000000354235,-26153.173525510523,123623.99380253286,-53790.41538201226,-3120.1232080515865,0.0,-14.989908094834389,-11.80058153768515,79.94617651233891
12,13,3481.8911483044726,-195626.88030706404,476563.5757113622,0.0,-37294.2552345457,0.0,-110.86403333262626,-99.91449917631749,476.5635757113622
13,14,3133.752444588453,-258402.96525387606,431480.5590406962,-2540.6371254185024,-28956.0699456051,0.0,-110.994161511859,-99.92051016629513,429.4175616948564
14,15,4874.64760733882,-322884.51179997553,404289.57131161017,-3581.6150961806866,-16293.562127197676,0.0,-66.69586790066123,-60.00778550574141,401.38129985351145
15,16,5327.866993535323,-248740.30433528364,309250.11798403977,-1.3581724300180783e-06,-14061.38782596459,0.0,-47.01554972564429,-42.372038641595054,309.2501179829369
16,17,4781.841806149714,-186922.6425569444,276814.63521775196,-18380.25203753054,-9152.211929330077,0.0,-44.361734192762825,-39.45281073057208,261.88987056327716
17,18,3226.112587665514,-134909.14089686476,170698.43586695998,-12631.286856452734,-7826.014767437564,0.0,-40.283120793081764,-35.76720143582103,160.44183093952034
18,19,3456.633301176623,55042.200247907334,30315.986192099776,-124863.28632100494,3339.5304985855837,15.923644613726081,16.65468299569245,19.96726961769616,-71.07300230055624
19,20,4679.652182734862,122024.02927519349,0.0,-177881.54025886976,7577.067169102538,26.07544845435088,25.00105608077252,27.748541839937875,-144.43981069020225
20,21,4577.840304866228,80488.68243054884,19096.468597950436,-129511.99330489464,4272.530467719375,17.582239018908034,15.228685150517203,17.607283712013334,-86.06726996562404
21,22,3618.945298910467,61990.48710933705,32855.11008563539,-113681.76191120074,2360.620982622241,17.129434680319743,13.307227741013094,16.30404743902222,-59.45448058625961
22,23,4569.570414051529,-38152.225092334105,129011.59604394161,-54803.6508377567,-3660.421710494266,0.0,-14.980387512157822,-11.854899934124115,84.51103156368316
23,24,4070.429584995818,-22040.129413283557,86744.00043501216,-36867.30340100127,-18662.132623418824,0.0,-11.30452611907806,-8.944999065710494,56.80775007339913
24,25,4329.0743435650065,100544.95229731218,9423.46612351099,-180103.6078503558,7325.243715711629,23.225508346089775,25.60010029858429,28.781326808536875,-136.82066345097792
25,26,4310.9256559374535,-272489.1259136162,476757.8224074676,-5.9032729413825835e-06,-21463.32717992355,0.0,-89.58025885097031,-80.73282587784703,476.75782240267415
26,27,4410.395453459953,-365927.0635869887,518387.1568007327,0.0,-29938.37659775795,0.0,-95.20543031559386,-85.80242485232532,518.3871568007327
27,28,4410.3954553098065,-393502.4941335493,503157.8696497492,0.0,-19066.893685668918,0.0,-92.40846507893659,-83.28170309583173,503.1578696497492
28,29,4178.2693775747575,-403901.3802459749,521522.6810535684,0.0,-20037.676722336008,0.0,-101.10247412975284,-91.11704458607355,521.5226810535684
29,30,4874.6476073686645,-349366.90954595566,491871.0634206397,0.0,-16865.271384455074,0.0,-81.7321770641351,-73.65986328002299,491.8710634206397
30,31,5106.773684127076,-378723.04763132206,478613.0167408236,0.0,-15074.977310540897,0.0,-75.91418134800983,-68.41648442474958,478.6130167408236
