,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,135300.48157787786,-3624722.605993908,6887690.670252,-1633429.7009941328,-266783.020568404,0.0,-33.293969152455645,-28.34883115586323,5561.345753044764
1,2,120813.11188695123,-4208302.484774069,6681293.207483532,-1054042.827033514,-305732.66379831,0.0,-39.05687368007298,-34.0020442613249,5825.410431932319
2,3,132804.6854328901,-4391611.684259282,7692549.739780852,-1728685.9390008536,-403697.9404247942,0.0,-38.3568844489073,-32.78213084409137,6288.856757312158
3,4,129833.62609632211,-638986.1972862927,4096469.061543574,-2821961.7119260607,-212454.69795472317,0.0,-11.261175757331047,-7.166020030362076,1805.0361514596125
4,5,135235.0546337718,-2979151.417684494,7135650.178240835,-2126335.9078723365,-889761.1267903046,0.0,-32.397982926204584,-27.040321958473946,5409.065421048498
5,6,129973.85669843381,-1611374.5297368434,5619372.3836934995,-2243841.1163566867,-2003047.1863473796,0.0,-23.665316471129067,-18.958718989721003,3797.37339721187
6,7,132103.0592779794,-306612.5879555831,4468709.496994632,-3302312.3421422387,-555219.2607031009,0.0,-10.958548778538187,-6.445497384360584,1787.2318751751343
7,8,133696.12439579575,-3264931.8339989865,7828742.570101647,-1829917.0011712317,-447707.3155186232,0.0,-38.42825283822179,-32.75444733427823,6342.849965150606
8,9,130816.26885296064,211149.45390027805,3501209.0894529107,-3592866.267679104,-119951.90927994614,1.6140917009153737,-3.6148360217373297,0.511478738017889,583.801680097478
9,10,132703.7311471512,-192076.0573114184,3530327.0414282037,-3594553.580329309,-345909.2524402354,0.0,-3.73278971450597,0.3533086296256225,611.5495342008043
10,11,129863.46916521754,1272549.5813571666,2004306.3889085406,-3982781.031696303,-97051.93907989844,9.799134348845847,7.670105931669966,11.121576364155088,-1229.7118088288576
11,12,133656.53083464777,831242.9692271071,2603062.198047132,-3594484.4251951454,-280804.1103181037,6.219246931191663,1.9129923103981488,5.4149110507246165,-315.6591552113262
