,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,5679.89318934416,-27903.623088402543,192489.95971142664,-59318.72950459042,-4010.7912626737616,0.0,-20.581681503414796,-5.861520004314249,144.32315135369922
1,2,5000.923135808532,-134843.94813194522,223667.04198195512,-5056.332444349172,-6529.722457364754,0.0,-35.56236482753559,-10.928517775661721,219.56130003714358
2,3,2279.183674876708,47063.28619166378,37791.85125995812,-94486.72434607716,-257.1516106009518,20.649185368620916,13.835834805214478,6.218769653260386,-38.93136890905654
3,4,5122.741206478172,-105379.74893022465,148257.65319663088,-18401.465593951558,-2646.4766756258664,0.0,-21.079668635663165,-6.337241252713702,133.3156631343422
4,5,4692.085681352561,-117321.52221082084,229057.21265772663,-7.714240770793149e-06,-5728.1032466592815,0.0,-39.54240285616466,-12.204445325899473,229.05721265146266
5,6,5185.98943650461,-111289.51635205444,184627.8975185267,-16242.867303891479,-3645.5081434133353,0.0,-26.77701912182977,-8.117304917233296,171.43868926776685
6,7,4320.000002148103,-66056.64271874838,180807.9306101144,-84154.47347103842,-4319.2721456835125,0.0,-21.088968392944444,-5.593371359433763,112.47449815163118
7,8,4319.999999996422,-70780.63753514434,240243.87979541346,-16434.88698878542,-8741.167094351787,0.0,-42.54351591763269,-12.951909305949851,226.8987515605197
8,9,4319.999999974696,-162006.01851620292,304099.9354478563,0.0,-14192.661875118447,0.0,-57.01873789680704,-17.59837589407625,304.0999354478563
9,10,2469.51877966523,-51421.39334361324,174616.18112751277,-90227.70624516593,-9541.758635838532,0.0,-33.24313240203163,-8.543008012049478,101.35128365643803
10,11,4182.283438443418,7126.814138076973,105385.45635574407,-134595.67829351968,647.732785936314,1.7040485760882491,0.7565364532631202,1.7460690055865278,-3.9062344185939146
11,12,5185.989436747379,-198966.7028339224,351813.0816272921,0.0,-12251.755776471919,0.0,-54.94970624098247,-16.95978587684644,351.8130816272921
12,13,4247.1947356537885,-143028.15776182967,279382.30969388166,-2.9158083835647005e-06,-16255.263765734604,0.0,-53.28215091020335,-16.44510830558605,279.382309691514
13,14,3474.1972830150694,24855.5861034434,133346.46893624848,-161005.2846250791,-3714.095994219345,7.154339284346158,-0.6085561246307227,1.9903026106239874,2.610177820684243
14,15,5679.514161564664,16332.845154260225,67742.87134793351,-164543.95768145967,1112.2356274863814,2.875746884265299,9.393783435822158,4.260975656536534,-65.86682228941173
15,16,5001.302164932609,21639.41372649133,80334.34452889995,-88385.64358068157,-1015.0114660830723,4.326755915333285,-1.3872014414902991,0.4024601386932052,8.565201941386505
16,17,4263.032244064069,-29341.25379108597,195805.60093579238,-114353.41708537441,-6859.560044487529,0.0,-19.561195529007144,-4.7766577395604735,102.95062626246835
17,18,3510.978318760126,-293010.7970981817,388994.6147382401,-2.5619216519792165e-06,-13622.804615137065,0.0,-89.74297455860093,-27.698448937805498,388.9946147361598
18,19,5185.989437180389,-124542.63300058804,240480.80889409973,-4.553996449256388e-06,-8427.534069149544,0.0,-37.56071190671999,-11.592812316847612,240.48080889040187
19,20,4319.999999691566,-118161.4878294275,231069.45625810436,-34026.106301228894,-9389.589611202664,0.0,-38.1450483667559,-11.402971641837022,203.44025794150647
20,21,4320.000000305576,34491.3710529192,88582.89130657708,-143416.64414004894,1502.1161655545534,7.984113669092466,5.225891949969597,3.1732495850459026,-27.87142373514267
21,22,3641.9137861236304,23196.60101603096,91043.74629549876,-94336.93309051736,-12991.472529024562,6.369343806109395,-3.212087807138936,0.22606155639695905,14.442156625998658
22,23,4137.759120892615,25187.451391065035,121941.71087324522,-124558.36836736751,-4775.322092590109,6.087220317849602,-4.071830977224474,0.1580962918376588,20.800315758942787
23,24,3406.526487868384,-184760.0204027873,303875.63460870157,-2.0273799484176084e-06,-50124.1939998951,0.0,-72.25520333051489,-22.30098868222971,303.87563460705536
24,25,4052.984278658237,-194505.95775234283,333713.02978686924,-25874.516529023967,-25878.220008272147,0.0,-62.49453481713166,-18.988385600138383,312.70292236530173
25,26,4445.133803042468,-159002.6583901718,273242.94375741866,-3.906847704451265e-06,-12940.15906084577,0.0,-49.79080366252476,-15.367531994565098,273.2429437542463
26,27,5926.8450710423,-70195.27665908316,118403.11209774455,-19561.936198516465,-2675.1601092033,0.0,-14.010868029671865,-4.169215439009518,102.51881990454918
27,28,3932.64388990115,-63653.99045131451,159226.464117887,-69092.10218125868,-4364.180601693479,0.0,-21.2402090876656,-5.729883283361178,103.12367714670494
28,29,2975.377236006082,-91392.2162196037,235029.0751394271,-74232.63297056386,-9958.418700312635,0.0,-47.5735519491779,-13.5105928941555,174.75217716732925
29,30,4517.426351314532,-12759.847636721297,93683.83868551764,-39068.69564972021,-2818.963434789462,0.0,-11.109787504987464,-3.0224700298603033,61.96005781794482
30,31,4939.037559531326,-154028.33876742172,254585.64178003947,-4.5694518587171105e-06,-9788.266164091621,0.0,-41.751933925036724,-12.886399359535751,254.58564177632908
31,32,3503.5360891343917,-135368.84511768713,246658.38592425827,-17666.083763073133,-11866.463736167909,0.0,-53.709723889983486,-16.34008444149933,232.31352590864287
32,33,5499.090980737843,125688.54861290072,11323.113106897355,-194001.01764978332,2680.2415411317697,22.856240977492686,21.535673464369324,8.304913720411617,-146.2057132247267
33,34,3756.630850268353,-94973.74841563994,262482.41387608444,-55383.70059647522,-11264.250025641904,0.0,-46.89941458334377,-13.782210811638256,217.51084899174654
34,35,3704.278168983548,-228907.09057023976,444009.59245257196,0.0,-19119.23279588175,0.0,-97.08983868921229,-29.96599959543589,444.00959245257195
35,36,4997.607404384937,-152481.7792726574,242270.7808848034,-5.986207788131277e-06,-6664.63681876607,0.0,-39.266656348510224,-12.119338379113525,242.27078087994258
36,37,5679.893193017081,-146298.08948961738,168436.0421291121,-68086.54478057922,-2387.173255726134,0.0,-16.13609777102416,-4.416874311646545,113.14976776728177
37,38,3704.278170696618,-264349.7948693793,336836.1923246881,-604.4795590460857,-11536.173153950547,0.0,-73.54732148427912,-22.692120925573676,336.3453549227426
38,39,4939.037558393896,-211174.07168704507,288949.10517631087,-2.5674497815262144e-06,-5994.142485702905,0.0,-47.387526906604954,-14.62577990942154,288.9491051742261
39,40,4319.999999988064,-225207.47380022227,314949.4468317137,0.0,-11869.520723204236,0.0,-59.053021281109494,-18.226241136144903,314.9494468317137
40,41,2300.975815989681,43163.142883591034,31094.284258313746,-83489.22591343752,702.1319220203211,18.758625181388958,12.91893778803858,5.692687129850167,-36.69896718339752
41,42,4298.207857682066,-3782.7264409352792,164201.54478723998,-132242.01675391063,-3903.2260140528524,0.0,-10.707958652121263,-1.8588868367666878,56.82102718306454
42,43,5154.3046103800725,-170159.27493189034,293744.7020246912,-2.1138814641658125e-06,-10082.36446619829,0.0,-46.16203865007206,-14.247542793212844,293.7447020229747
43,44,4243.730094114666,-65679.20904687863,161255.46352057776,-78376.88358664133,-7192.332759527503,0.0,-18.631458604946296,-4.882413472105293,97.613434048225
44,45,5158.39471846977,28959.82565812514,38092.71218614385,-135558.88702161104,1010.5938552577028,5.614115871054557,11.302875697417258,4.723667931347273,-71.98110407540432
45,46,4764.386903386576,98502.14882049963,63325.63959480168,-156243.2928986866,525.750153204855,20.674674584149173,10.80318865307706,4.875635374922957,-63.543914238931855
46,47,3106.958643051431,-38453.25523254346,129112.15649645607,-62049.530859584804,-8383.360297212066,0.0,-20.524775721679177,-5.396163365969943,78.72793743847319
47,48,3704.2781728002537,71627.14751771605,16807.235908426646,-135246.00963521813,3119.1338211488683,19.336330636197715,20.338684314978597,7.993377400519137,-93.01252391537048
