,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,134736.4639108886,-2484459.0206476874,6063342.645072283,-1671375.1026204596,-264200.5006115569,0,-28.2923464024868,-8.149181400063615,4706.18606174447
1,2,120143.53608917177,-1814778.3207239793,4620726.540875595,-2105720.8884337917,-147660.29529838642,0,-19.62497386141993,-5.233335338521958,2910.8811794673557
2,3,135043.24978830162,-1037706.7251602118,4081119.274513469,-2565224.2146361107,-713269.1368444355,0,-11.985103620082263,-2.8063140183861965,1998.1572122289472
3,4,128476.75021165893,-949029.3553922544,4970864.028533481,-2722868.101595612,-315846.43750795734,0,-17.400152569610896,-4.374324387942585,2759.895130037844
4,5,135960.816326497,-963146.9905612861,4742586.47007015,-2765344.0486891647,-438681.3134736574,0,-14.876881499414703,-3.635684300086918,2497.1271025345477
5,6,129599.99999995081,-2666508.6052327575,7595313.174277475,-1019415.6621288777,-835150.0903471658,0,-42.29717285394622,-12.684987484859361,6767.547656628826
6,7,133654.36033126994,-748838.8533948989,5117456.186134402,-2858059.6668230398,-526859.6174262488,0,-16.949215132908872,-4.226193058182537,2796.711736674093
7,8,132406.75553555856,-912551.2449905736,4755332.670453442,-2750024.6978042955,-295469.5732343321,0,-15.430279297786798,-3.7862644631274316,2522.312615836354
8,9,129587.12627721866,-533076.6230308472,3113779.889006713,-2890321.3446557014,-130904.02376395016,0,-4.7932196131868805,-0.4310971135222546,766.8389571462833
9,10,134644.60929071985,-814618.4318172727,3746408.026449418,-3306284.333455655,-213052.78823407667,0,-6.3870449337242645,-0.8171951616040267,1061.7051476834263
10,11,129116.92026589903,-1266563.1682021143,5011471.513923481,-2705547.6614601547,-270657.920087188,0,-17.656857936880044,-4.4647979670568825,2814.5668128178354
11,12,133429.41197286523,-2305104.3933168277,6068073.335053459,-2446043.2743041012,-929322.3492456382,0,-24.77960271375847,-6.786416141678622,4081.8861963185286
