,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,4131.269294923315,13254.909612274645,6810.507960259352,-133103.23826294622,6167.073684208818,3.208435148142693,19.85543535573794,3.668395002704304,-101.26932150925299
1,2,4508.730705080086,6704.676876881507,119576.66889796693,-30529.810666483092,-3355.992612980549,1.4870430982553915,-17.02852526749659,-2.3699847444289217,94.78646263678266
2,3,4159.779965636932,3033.325951032146,36887.87686407185,-107781.8060627245,3770.5532596649455,0.7292034617431244,9.858951570145727,2.045125360984259,-50.63094965886045
3,4,4301.649160672667,602.9835218745976,85535.97237849067,-27649.78164184581,-3123.9439434478413,0.1401749653103524,-11.878775171221115,-1.61480925778502,63.08434968531187
4,5,4309.840168633198,8024.895410008043,1002.6023072927992,-231350.46722075835,10617.012418040322,1.861993738981977,35.11771098451871,6.413635473257476,-186.853977075963
5,6,4331.5520366568035,4196.669510491485,11055.610542872377,-172109.8129478262,7183.902378638133,0.9688604627108616,24.06643640665494,4.461796632024563,-128.6975575707625
6,7,4497.178668069659,-11645.654040997302,126931.86153307187,0.0,-4692.089255051178,0.0,-22.862068739181275,-3.3869731465453734,126.93186153307188
7,8,4320.000000350659,-4111.397157176236,67580.56628387768,-77725.14607997442,1009.256351472314,0.0,-0.8377026874829605,0.2817938832020361,4.4677476669384415
8,9,4301.649161800221,4580.8570813596225,29614.34399041835,-105261.16579155071,3934.6444907652294,1.0649071807247419,10.518002196451825,2.1102647553751086,-55.85772263232083
9,10,4149.62013319226,29146.21959235992,25048.85740800564,-131050.97042857294,5385.536351171658,7.023828364245484,15.88224166415353,3.0654019293767294,-81.3645305799956
10,11,4508.730704998904,81184.56678390449,0.0,-235687.11307453987,9690.8791946954,18.00608022428437,34.381323293386636,6.272819429554212,-191.3779358165264
11,12,4319.999999886244,19515.85395084582,41497.302684010036,-55638.24182784497,63.882948445766345,4.517558785036972,0.690178065055689,0.39280386511686943,-3.6809496802000794
12,13,4131.269295022043,-33957.7397121614,152584.10626702337,-3838.553235659053,-8184.543859584699,0.0,-29.30538393805802,-4.3205768225449175,149.4672010396682
13,14,4320.000000161745,-21495.908358497298,125270.81249401058,-6083.053847136488,-4563.151779603658,0.0,-22.562132393555704,-3.3107710734003213,120.33137277013574
14,15,4319.999999846028,-4097.505053232537,121887.03683268068,-12295.189264370729,-24078.624295485646,0.0,-20.981876841375012,-3.0442179881171105,111.90334315001164
15,16,4508.730705089358,-43719.2533199974,112809.24574787193,-1507.9601446656147,-2138.9471768442127,0.0,-20.046367685566953,-2.962286981856916,111.58478211040345
16,17,4301.649162218606,-59884.902222621095,148205.50684190582,0.0,-5093.973031203846,0.0,-27.907078428504132,-4.134381989408019,148.20550684190582
17,18,4149.620134243931,-52117.183442318405,148032.23030412168,-6754.656088045655,-6558.627394403431,0.0,-27.825061188437402,-4.085508638736652,142.54744956062862
18,19,4331.552035469584,32454.439392884266,14957.757695693545,-165933.6706398147,6670.33015078276,7.492565973379996,22.398925217849538,4.1825907676832195,-119.78038286383598
19,20,4497.1786680144805,-25186.57574003676,130502.82934744545,0.0,-5187.63479535413,0.0,-23.50524619429918,-3.48225869545173,130.50282934744544
20,21,4320.000000026474,-4449.563830496557,45139.06165574909,-55136.98535186015,1144.6388471848068,0.0,-0.06896804063182191,0.27772010266804986,0.36782955003863754
21,22,4320.00000000064,67213.85162844752,0.0,-193245.49304338498,9005.388102879686,15.558761951027213,29.421626315851004,5.3679303623154535,-156.9153403512286
22,23,4309.149086735277,32119.284382157377,33467.59597163354,-88955.72912013183,3166.2314381875976,7.453741733148477,7.286637985333389,1.5452182887606947,-38.764456073913514
23,24,4142.120208199118,49571.10241968187,22305.743920944777,-140481.1534605339,4922.914292755162,11.967567315298666,17.94482244406268,3.4236208588731984,-91.76495268900877
