,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,133920.0000000185,96664.9392320624,2031262.8068955103,-2466373.066527055,9903.222290816795,0.7218110755081321,-0.17278957787623464,0.38988374518950236,28.567876875541405
1,2,120771.2692949229,75271.373886977,1902305.4097362566,-2095193.9298176828,-11451.961337829001,0.6232556329532701,-1.3481387694045381,0.1916566957100302,201.00793872429804
2,3,133919.9999999886,362422.0683031926,1862860.7592613087,-2467845.4046715978,26952.574707842774,2.706257977174608,0.8530022741857313,0.5421009367476171,-141.02970933202886
3,4,129599.99999999424,538095.7875735064,1619276.549061324,-2866965.931621732,39823.62114481966,4.151973669548845,4.429373671347213,1.155267946815244,-708.6997874155226
4,5,133919.99999999764,-359775.96031572943,2592742.113204006,-2214004.0425299974,-76926.09860612285,0.0,-4.808291314534246,-0.33937103106990624,794.970830669648
5,6,129611.552036798,-153538.90108376427,2066947.3109770985,-2217111.409992713,-5966.567325454278,0.0,-1.6664317486895088,0.13902843997082734,266.65284606301555
6,7,134097.17866827387,-232442.165384452,2700021.2783043785,-1625155.651687292,-64766.361999063236,0.0,-8.338131132234757,-0.9618686722196248,1380.3948891342973
7,8,133920.00000001866,199532.5733779529,2216317.855661746,-2384585.1336053205,10325.256466574952,1.489938570623694,-1.6937584304890327,0.15077713077379115,280.03472717422574
8,9,129429.62013412543,695272.2413040381,1273611.3495605916,-3430531.6862952085,52496.19944206136,5.371817058441033,9.462317097870397,1.9997774863275735,-1511.9803797111178
9,10,134090.37986588402,575744.4247875839,1308767.1731544852,-3245904.0470186183,37618.01492181232,4.293704181936379,8.0154489876526,1.7335801799964827,-1326.906913024633
10,11,129599.99999999724,-55727.300394468446,2276861.1718583135,-1965023.0116142612,1902.2723345246804,0.0,-4.257890540172174,-0.28873903726301753,681.2624864275332
11,12,133919.99999998082,87714.66544042915,2010634.8290591708,-2407524.1802738225,24331.87981679604,0.6549780872195469,-0.3370475484485969,0.3556356193680184,55.72519467682671
