,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,4336.7085472728,86083.01355263733,66854.86790444425,-129428.65955122106,564.011979461174,19.849849860621102,7.14260011245362,11.398805075808127,-38.24120365114725
1,2,5067.466068488289,120121.23579853671,20444.50981944362,-218142.69273748802,5725.756239305547,23.70439864323964,25.04540873056358,30.82044603642441,-156.68735668339664
2,3,3555.8253842389136,67162.71702326792,46846.198401416514,-116705.9960807696,840.6646494918828,18.888080759242172,10.915734841519567,15.520795934275501,-47.9190704161684
3,4,5280.000000000001,-140990.72771174088,184007.0962467491,0.0,-1921.6905820698573,0.0,-28.228361356035368,-27.531364779343136,184.00709624674911
4,5,4743.3804448146275,-129469.49502435999,180620.35397828714,0.0,-2582.1011453844776,0.0,-30.843506740503525,-30.08193867283677,180.62035397828714
5,6,4892.240033623464,15017.191120493768,37469.880341922944,-53475.40203689113,-156.6280134853688,3.069594095400753,0.9854868766885863,2.5845751745872025,-5.952146112032657
6,7,4404.9025219905225,58327.64367138402,103686.30673466329,-139937.9700719521,-1586.6745009085446,13.241528814813924,1.8284384683744423,6.5015772525010656,-9.943324963761814
7,8,4320.0,50027.287172070006,33677.49779507664,-110342.57387937012,2125.361568765392,11.580390549090279,10.485126036557231,14.019770858007373,-55.9206721949719
8,9,4320.0,119705.98332335695,14606.840677774664,-214630.79494243476,8580.488079888717,27.709718361888182,29.938755902902948,36.57845459932442,-159.6733648154824
9,10,2903.9315151022925,118563.61145727002,10920.748180537894,-159285.28682174347,5855.656830767789,40.828652755984,33.03084536371466,40.361828409863065,-118.41890471871783
10,11,4080.000000000001,-33131.82215544289,181904.18343081596,-104425.26820691026,-4590.114587135402,0.0,-19.279363032821543,-15.00204485953076,97.11086564680483
11,12,4800.283035035655,42154.7703875944,51173.14995924107,-120037.73120354449,2719.9311687242507,8.7817260107208,7.812240408847366,11.333294054940161,-46.29748777803706
12,13,3455.2624494334414,34243.47344373876,15110.094624218862,-154187.02267261813,6417.437203776185,9.91052747653182,25.80779700865813,31.798097761358452,-110.08976778594706
13,14,4320.0,79422.28186205353,46677.90418055827,-142849.57625545736,1522.762860410939,18.384787468067945,12.99674095103871,17.586949291474603,-69.31595173887312
14,15,5520.000000000001,-54501.885339661334,132057.8779492251,-28623.963898695656,-28.573386054108312,0.0,-15.96745065279388,-14.80304204708664,108.81521926348424
15,16,5160.523000428611,-115547.77383531898,176951.4824881897,-1455.8545959993098,-2293.8780043825805,0.0,-27.588900605370444,-26.86579364597647,175.76932855623826
16,17,4320.000000000001,64207.363851035436,59415.3831889265,-132797.81864488765,286.0576654951068,14.8628157062582,9.078083540760428,13.419473150511413,-48.41644555072229
17,18,3819.0317358426164,-90835.13216134255,156575.30175431177,-13507.278202504345,-4756.047685294712,0.0,-30.88269371912384,-29.59486760614487,145.60739185387826
18,19,4820.9682641573845,3192.6219914636476,33977.22563787665,-40612.86001898864,354.3051345285852,0.6622366745701154,-0.16794602881136927,1.087364793510979,0.9995833024578679
19,20,4320.0,80552.57219284515,13847.609146030827,-188564.67460765742,7258.628522856178,18.646428748343787,26.112544994135067,31.9505744709919,-139.26690663538702
20,21,4154.204042418415,120598.63693705402,3516.5622521414707,-210893.82881071657,9147.044495794991,29.030503967938515,32.704381458850335,39.436686043447224,-167.7292267421604
21,22,3844.7086309184783,33210.81781276905,73024.81429804984,-116783.59440547999,1987.1541491097453,8.63805843326941,4.593535642448118,8.991432018246694,-21.803464359199918
22,23,3659.441459221547,143927.0534512172,9067.857335410892,-203978.82574865833,7153.206941086695,39.33033361922778,34.65446578197254,42.0773680252343,-156.56294917249969
23,24,3868.5890763142274,82572.58666544505,41051.695020134925,-173234.270439955,4983.123223130386,21.34436742609932,20.857157427620272,26.99284739777722,-99.61453257710855
24,25,4032.5337906987206,-45211.11297503868,102771.535419428,-32177.2731584146,-2448.796322099341,0.0,-15.39511156265534,-13.829882173544629,76.64358961479535
25,26,4405.69816696408,14486.853843169687,85046.43664623998,-64593.646718069314,-549.7079379795474,3.2882084278488883,-5.992938999323214,-3.6674559697286133,32.59639551116769
26,27,5554.824833464532,10735.83449152152,33164.52711066128,-50354.253631805535,-57.55269122542853,1.9327044170402046,1.1261800194649554,2.4447006627271484,-7.72312683836482
27,28,5040.000000000001,-121176.6287308353,203705.4438137542,0.0,-5808.199773298164,0.0,-32.738374898639066,-31.930019962870194,203.7054438137542
28,29,2279.4769995713887,-97875.66415714545,164910.40511956267,-4614.721743423967,-6020.915677011643,0.0,-57.26850211092583,-55.553791457847815,161.1632510639024
29,30,5027.219835394502,32676.03094145207,46246.560954137414,-92434.82107646455,-247.04731969532304,6.499821374707771,4.642032158860161,7.258231525849923,-28.810513759951807
30,31,5033.506947014981,141185.9043535075,4567.235843764969,-217593.53223823788,4928.767089392757,28.049212177453125,27.69761886848336,33.434099907507836,-172.11871233368421
31,32,3743.007483914086,58887.116083582485,9373.410626681263,-102072.68101786131,3338.928478297913,15.732567016404643,15.907737670134622,19.565128823213744,-73.50960635982213
32,33,5516.788734105045,62204.857627658595,23181.153862802545,-99330.91819547497,2423.371946903816,11.275555513501047,8.438821773045495,10.904589014059885,-57.47555171192314
33,34,4169.816193411296,97522.88150046952,17225.662496234956,-127853.61349386384,2617.189861286024,23.387813029880046,16.82066757668125,20.959216721883543,-86.59147166078247
34,35,2429.6608061600937,27482.88485543542,24582.297986417285,-79374.36603007732,2420.06452339969,11.311408072170439,13.291751084935816,17.815545957997923,-39.869687230005496
35,36,4320.000000000001,-26618.591040486703,113521.11682786554,-69025.66174835837,-1062.62989597357,0.0,-10.776052404037225,-8.136900350187652,57.47227948819854
36,37,5400.523000428613,10733.88936261745,55761.790280789515,-60303.975061840436,308.86280954067377,1.9875647898852673,-1.0191456733595983,0.6644404582195909,6.794962530575082
37,38,5280.000000000001,-39763.16434309147,91162.15350762462,-40866.76878256108,-923.6388624366867,0.0,-8.89440401089202,-7.5252564266667035,57.97833725618503
38,39,4320.0,55119.435117848756,50583.08554913791,-96814.18705713956,463.57361446608076,12.759128499502026,5.255631438986141,8.454298655398448,-28.030034341259416
39,40,4183.468674151907,85885.5524589527,26726.46270622205,-133423.3285439777,3167.8109586485584,20.52974676005285,15.801900768698031,20.148477394518732,-81.61328007148784
40,41,3136.0083254194815,56643.96012466865,23722.635555933797,-116735.45752086592,3760.099972932081,18.062439332679958,18.355790019344948,23.431101491883783,-71.06655595100935
41,42,3600.0000000000005,12535.595367531372,170250.89261481148,-163475.71118684154,-2735.5412130521845,3.4821098243142696,-8.439438404496634,-1.4867759244711827,37.50861513109616
42,43,4445.330400540284,20840.340670788526,51431.56144358489,-70315.81325639902,710.5208103476446,4.688142116108084,1.0322184207359062,3.356006772929627,-5.664878920611118
43,44,4989.835751020667,64302.217850363224,484.9363528031208,-125978.75734185027,2909.433326441302,12.886640173919604,16.526786441065298,19.86841321601983,-101.8098146087793
44,45,5565.356848867662,139331.39191457105,0.0,-228721.92917941534,5362.538305391712,25.035482125987965,27.030609419141353,32.46697902013268,-185.72220649368526
45,46,4320.0,123898.68882502208,16540.65613063229,-138439.52975649742,2244.2615230930546,28.680252042829185,17.976045380933183,22.291692167692926,-95.87224203164364
46,47,3860.9435412186367,59241.61813219711,59817.21542773031,-133211.47364732338,2038.5712064944016,15.343818810025533,10.143610113111006,15.017433789041558,-48.35050117389627
47,48,3242.0771860824716,54046.79284330214,23573.427141371256,-117735.5760899817,3757.995629123366,16.67042138148752,17.995428169274913,22.944579477852685,-72.02786064369388
48,49,4296.456272270281,83572.49948278774,32236.22619319231,-145345.5018991176,2052.666954761001,19.451495415459533,16.172700451082513,20.797681192380526,-85.78432134889118
49,50,3840.0000000000005,-78532.00518736464,182216.1909483396,-38802.39592897135,-7832.049897292231,0.0,-31.790104900456257,-29.504400537838773,150.70864545401486
50,51,4320.0,61947.54809196272,29365.66689749935,-185638.27000937547,6564.33013091721,14.339710206472853,22.75736406564629,28.57762880981068,-121.37260835011352
51,52,4320.0,130244.45562662664,3745.412967672969,-209380.0278414003,6116.371629464352,30.149179543200614,31.17584430741451,37.60447818292699,-166.27116963954407
52,53,5217.712502275385,18935.30638441364,47002.74189329092,-59887.962832296274,582.4641074407347,3.629043642430695,0.25246503710539986,1.9509170996629543,-1.6262839265336588
53,54,5280.000000000001,42741.422068540385,19035.92006880184,-95697.1110353881,1926.4386273684424,8.09496630085992,9.000531934557946,11.470140315076353,-58.67013409193329
54,55,3680.921243075526,95697.34835883675,6915.335255084517,-159422.79060702812,4470.987784008844,25.99820589447836,26.964482456165275,32.73117835777705,-122.53597071782232
55,56,4360.2090762568405,24024.07441937081,70743.10786976627,-98863.46868409465,1699.0782435941537,5.509844596717145,1.7711451706397845,5.094958671658622,-9.534028701718592
56,57,4367.189701359795,105763.58889295954,34709.510381897024,-160014.8215090721,3648.772633851091,24.217768433559993,17.661299432354532,22.667024461897267,-95.22252468346953
57,58,3634.1669252885335,101309.21550204462,5687.341201005999,-193855.9113709603,6996.338128891632,27.876874558809984,33.81687362760198,40.90433199417818,-151.72365883221377
58,59,3699.8005517439246,106246.03327617704,4764.901708777909,-159372.43937799198,3357.223266174874,28.716692100090988,27.2887332794178,33.01257812427421,-124.64551906615158
59,60,4977.560675342696,-16461.010311508424,99052.84391467809,-41626.71870234726,-1308.2833034114776,0.0,-10.618469887831655,-9.114231222227732,65.25194832837211
60,61,4898.694956530599,-2526.094629741386,63964.10486915562,-40893.97808700419,-765.0491357069469,0.0,-5.085872441070834,-3.720460310271575,30.75819466250822
61,62,4366.28064340466,113993.90019025705,27459.819247858206,-144066.62716979947,3315.0265855170082,26.107781313243514,16.607509767125837,21.097905925374143,-89.52228201401897
62,63,4393.16820340281,-25577.022797996127,97822.79270947949,-45106.972464282764,-1708.1257442078754,0.0,-11.283133690869374,-9.479604710206207,61.195931068481876
63,64,5004.818521747852,-5756.710655004623,44920.93293240873,-35355.57596931858,58.57308288877482,0.0,-2.6238486353996215,-1.5098713305996527,16.21220524532204
64,65,4320.0,122872.43285533699,7191.806990079371,-167652.4665628266,3453.4819472832733,28.442692790587266,24.176624223550466,29.343500245942202,-128.94199585893583
65,66,3459.6272534714344,117321.10433028825,11044.142462058682,-189269.10478617714,6258.923201352399,33.91148691309642,33.396753968151415,40.69736706310639,-142.64237062431715
66,67,4460.372746528567,99521.4849074491,30900.057758010378,-209713.68386829755,6876.4538177059685,22.312369517750504,25.31264622620148,31.67061872509855,-139.38745354304726
67,68,5040.000000000001,120713.54550135798,24763.985503095188,-183336.4477675459,4160.927069378173,23.951100297888484,19.94548019209587,24.855604204150012,-124.1052100841521
68,69,4320.000000000001,123351.03956678175,5800.192527913425,-215889.78345179415,7670.642721892336,28.55348138119947,31.78168343155189,38.41916130320966,-169.50231163494345
69,70,2400.0000000000005,56173.28443853949,13376.225419030387,-127978.6931740669,4675.021638066672,23.405535182724783,30.55808478543028,37.72331230269952,-90.54247343831194
70,71,4199.476999571389,76197.37506003056,32639.469499374492,-200919.07940154342,6687.853362495547,18.144491580215227,25.17230755645976,31.656535286723038,-130.50682297467878
71,72,5258.1174367854,-52989.10060462089,103639.96597840181,-29977.7178670144,-1742.7745577440633,0.0,-12.215670079495458,-11.067302453323107,79.29805907038612
72,73,5143.6600068774405,62799.99178777631,5537.562192603395,-118974.96210692226,2623.8091427660597,12.209203505637666,14.341303002594401,17.42252516933264,-91.0701070382175
73,74,4598.745556765772,29294.64260259519,47684.835556366896,-86968.65237674423,1310.4764607879918,6.370137734516817,4.039428798848237,6.748408866074336,-22.933710173549414
74,75,4320.0,105240.24452053095,10780.95374739632,-198654.40861833782,6097.035919771258,24.36116771308587,28.223704884505125,34.356488275010136,-150.526426050694
75,76,3637.5149299032983,41763.15729903705,13288.301425684747,-129201.63398688856,4400.587779088084,11.481233233081824,20.402658403116074,25.17420120273854,-91.62342537166877
76,77,3051.2807158576647,62463.62621148303,6941.835074696517,-141676.3164720243,5393.645016397208,20.471281415327116,28.69629791989291,34.88379150129108,-108.09933390058723
77,78,4831.204354239039,49036.926191347186,40897.852944086175,-153074.97309565573,4434.835542484045,10.150041810655507,13.98268536508743,18.343236680100738,-83.39902520958628
78,79,5760.000000000001,-35312.48219973302,104970.23379743217,-11063.428154101026,-1655.1899568419187,0.0,-13.498133925417488,-12.879579246220763,95.98673013630214
79,80,4320.000000000001,-76814.6372657922,155279.91119334503,-665.6489565573102,-5548.877836688913,0.0,-29.01363829511634,-28.274367399782935,154.7394042406205
80,81,2456.128436522542,15072.725890226864,95701.21207879613,-68966.32688162434,-2413.564901665991,6.136782452454835,-13.092739283932708,-8.599126573229542,39.70055465091717
81,82,4143.348563048848,90289.91356560544,26670.858485008728,-165669.62006747164,5199.359247216886,21.791532185061058,21.084595179131313,26.502482226439493,-107.85287300977824
82,83,5056.750214423282,60025.14602120646,24185.28862516667,-147717.74271633115,4839.974868795921,11.870300781319544,15.339264678677974,19.299082334275447,-95.76151846049423
83,84,4320.000000000001,-94438.10240717816,188193.63040724426,-3823.481873073633,-9280.461488491328,0.0,-34.70418058618283,-33.71583734768397,185.08896312630847
84,85,3583.2497855767183,36892.698997540465,62598.219333385205,-108491.19611376281,1141.6950202956987,10.295876984641373,5.7635590828837815,10.118036370903752,-25.496631910990196
85,86,4320.000000000001,-36794.896061651394,113050.94409967816,-20255.231562098226,-4258.2096793239,0.0,-18.1131930133602,-16.96958632052966,96.6036960712544
86,87,4460.4983253290075,28469.75382175242,43367.76234086751,-70033.15667724893,-10.249795586829464,6.3826397288586545,2.451367429411818,4.722714815544183,-13.499160881058625
87,88,4179.501674670993,60102.5905695102,47220.21304040332,-120215.38385616233,2206.2583178534805,14.380324557291011,9.766640352013182,13.79738290187168,-50.394678650800486
88,89,4560.000000000001,155704.98019301315,7855.770004073753,-245231.75300013798,8350.8444023293,34.14582898969586,33.9760208070068,41.124347931335684,-191.2724134320383
89,90,4080.0,118706.9393420052,0.0,-231047.92848340087,9200.68521807442,29.09483807402088,37.24628517698589,44.73722144654086,-187.61091792852153
90,91,4320.0,108686.72580429647,10624.276634245254,-211952.74712445767,7495.171487894774,25.158964306550107,30.277753880777695,36.817011964645324,-161.48135403081437
91,92,4892.059541134808,156516.3190468441,4290.141736455327,-266340.4649176722,7602.08667186014,31.99395218532788,35.09819010487613,42.31750524956594,-211.97831577669453
92,93,4909.541776906064,-43147.44484353003,113473.62856815319,-43272.11371134965,-361.5847799356227,0.0,-12.924363900608734,-11.296206297245226,78.33667223453728
93,94,4629.584600161508,128152.453282109,16630.63668322495,-191673.81680322217,4331.155609559652,27.68119914638524,24.321164164593732,29.869658778883448,-139.00850256099145
94,95,4889.337082226235,136308.5262955866,11733.302732730059,-233601.8304270156,6222.106688393767,27.87873366127622,29.48060611712102,35.848650631115426,-177.95138357400666
95,96,4320.0,93661.2761522037,13883.423071603636,-180163.20205763134,5860.691687518245,21.680850961158264,24.826705687348692,30.407644768278214,-132.40909699919303
96,97,2920.0838879171583,97844.11030540208,7145.95257681019,-140368.41682556536,5563.5273315145905,33.50729433159965,29.634386150809643,36.04202851568981,-106.8332018855489
97,98,3919.393111654231,48536.58363411532,90537.69050811394,-133842.37256906452,1093.3096087265303,12.38369876443188,3.749375363970698,8.728570432607587,-18.142316017966454
98,99,4080.000000000001,-10157.194203685567,54681.43365203904,-36905.93763694281,-862.5710308353157,0.0,-4.906418616564117,-3.441823983315202,24.71381229084148
99,100,5520.000000000001,-57381.7653635352,129622.54999586711,-14421.96172365292,-544.2537534692938,0.0,-17.302292179668722,-16.48704071287123,117.91191707626095
100,101,4800.000000000001,-86253.15416748046,200941.74161942332,-3255.141505662692,-4189.17596026438,0.0,-33.46288313346425,-32.53591960205643,198.2985667168252
101,102,3461.74303520182,33181.68074610033,1206.5084601924773,-79433.30716057346,2681.126125251859,9.585252402816154,14.809765604080306,17.85203879804963,-63.29333695419317
102,103,5538.779965226792,55758.74184717926,52010.81983676241,-132279.61385961558,1966.6815433201589,10.066971823621838,8.101817339142373,11.44879335813397,-55.40022661724544
103,104,4320.0,-102787.71123589833,233628.9202951219,0.0,-7111.67996791226,0.0,-43.80542255533536,-42.72380718359868,233.6289202951219
104,105,4320.000000000001,-117657.7499650682,210362.08117352962,-6748.874905817805,-7860.912519885698,0.0,-38.41537401562604,-37.23482244247507,204.88199475000556
105,106,4320.000000000001,103946.71053491888,2921.657071228643,-174167.87403194813,8559.933169118294,24.061738549749734,25.969248120508734,31.315859120131567,-138.50265664271328
106,107,4320.0,124915.67550791167,16947.735591435176,-178572.93891524491,5801.772540509433,28.915665626831405,24.010029526451945,29.556460793011507,-128.05349080774369
107,108,4080.000000000001,56684.37212803686,41260.30779320747,-113610.11691901667,597.6873811328132,13.89322846275413,10.123234506734706,14.008909119948347,-50.991107145034086
108,109,4560.000000000001,40900.70860366705,61849.1252580004,-106203.43945608928,-2476.1572703984757,8.969453641155054,4.332090951771649,7.684190398353117,-24.388067580344103
109,110,4320.0,-80119.23630655068,153529.7061037263,-15714.9553124175,-11077.823097454373,0.0,-26.394217948133118,-25.20223451970693,140.76916239004328
110,111,3524.9115693616186,8673.646140858591,91592.23182007653,-69713.8388381848,-11848.837070548581,2.46067056440495,-8.039214923835143,-4.90336569175966,34.98459468347047
111,112,5040.000000000001,-83258.73330358815,184559.27545522613,0.0,-15585.890447868589,0.0,-29.66131212673277,-28.928934049529488,184.55927545522613
112,113,2354.5654302097714,-26791.96681461493,174460.88622124854,-5598.450832310511,-30809.337558654857,0.0,-58.45286904833319,-56.65645228868248,169.91494414541242
113,114,4948.118801119066,13046.245805129358,58405.28699389851,-65038.980587200436,1195.7639501410024,2.6366072298383014,-0.9156700425664037,1.0591132002577028,5.59363475709175
114,115,5040.000000000001,73157.90092349143,21420.37479673273,-141534.15885591402,5604.802684300732,14.515456532438773,15.02764749550759,18.82735900927643,-93.50536219426945
115,116,3931.881198880931,68067.01292411721,27397.671230685763,-112092.66219662427,1721.4686968303,17.311563976930444,13.106568961894224,17.017056080467203,-63.621570472973154
116,117,4320.000000000001,115957.67231673659,8757.595941672487,-222582.6229774303,12996.072411134079,26.84205377702235,32.246155109250175,39.10226188848348,-171.97949391600093
117,118,3840.000000000001,140647.13875800712,3304.017944010665,-218992.03122409974,12356.70205800203,36.626859051564345,36.812287563038076,44.37331523210165,-174.51751140995833
118,119,3840.000000000001,107801.80595525855,0.0,-219324.34285714285,13715.65283740885,28.07338696751524,37.566147599999994,45.12141428571427,-178.0913664
119,120,4320.000000000001,142412.73698633868,3562.648800158072,-218664.28680525412,9722.530596991179,32.96591133943024,32.6236410160703,39.33571620926525,-173.99275208570828
120,121,5663.556748029081,29330.7844145274,14270.997150915578,-64042.79400561449,1259.738304619391,5.178862986538365,5.396382545609167,6.94258418597031,-37.73175158164339
121,122,4810.831966743102,-17964.653510279633,53939.751366455406,-45464.273744215745,80.90801218167974,0.0,-2.866123068754357,-1.3917815812016863,17.02276108615222
