,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,135340.72678240947,689435.2432529976,2333897.586252996,-3235670.1924003595,37402.430175961825,5.094070791871978,1.7563667621115011,5.263754494253309,-293.4666099760961
1,2,119539.27321759053,1554244.9542677861,1194360.8138959715,-3409960.4490060257,60384.03460408398,13.00196088225066,10.66902025531834,14.64224823042824,-1574.5270706969216
2,3,133920.0,1399337.4469304448,1556801.7241577788,-3653518.6942705614,69665.32396277126,10.449055009934623,8.527351545906757,12.36862609310856,-1409.8554555899173
3,4,129600.00000000003,1247303.0874943573,2000741.6285655801,-3536070.5010371213,22360.01962238097,9.624252218320656,5.440922614228516,9.358871984973128,-870.5476182765625
4,5,135960.5230004286,593348.670154594,2460718.6800112664,-3060601.6713068606,-68167.14370169264,4.364124652217788,0.1459011778202722,3.4856262146183825,-24.48987708990462
5,6,128999.4769995714,347115.5169153067,2217200.8709791154,-3073460.4924154403,48592.788398433266,2.690828869922162,1.7484080929967594,5.2437817320526365,-278.4490488622221
6,7,134040.52300042863,-1078849.9702376141,4042235.8884786135,-1696996.7273343434,-92925.68719469437,0.0,-16.100074319752032,-13.82222999307492,2664.2745458831264
7,8,132554.90165289823,-713050.4890022316,3799822.96293797,-1656866.3413335648,-139803.73501955607,0.0,-14.998332352611081,-12.771581510433457,2454.447493775115
8,9,129884.57534667323,-143989.0561315025,3262436.122014161,-2196707.464059947,-70271.96005500067,0.0,-9.221686427145412,-6.482106420540364,1478.709661197484
9,10,134353.1640313464,860995.0913614237,2319545.8818557085,-3190576.6831195606,-27340.534272097117,6.408446705137083,1.6350484434220018,5.121683124916187,-271.202384837375
10,11,129099.99318502501,881837.8594726425,1875230.081706445,-3349698.1195037477,63920.73719508252,6.830657676401268,5.299977669225407,9.022694123542246,-844.7247913305986
11,12,133506.8427836286,1193763.2802496413,1963011.9579237993,-3686183.2538407426,33570.11159322004,8.941588725787975,6.250142287839194,10.196520982678173,-1030.168844194884
