,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
0,-11321.473584220072,0.0,11321.473584220072,-11321.473584220072,0.0,0.0,-1656.003526657918,1.5916157281026244e-12,0.0,1656.003526657918,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,46.87727171984191,0.03794262454545455,9984.600914400251,8551.552052708665,180.0,180.0,2021-01-01 00:00:00
1,-11034.140100411747,0.0,11034.140100411747,-11034.140100411747,0.0,0.0,-1943.3370104662426,1.8189894035458565e-12,0.0,1943.3370104662426,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,93.75454343968383,0.034325,9620.463703302874,8442.907057783093,180.0,180.0,2021-01-01 01:00:00
2,-11584.27681393161,0.0,11584.27681393161,-11584.27681393161,0.0,0.0,-1393.2002969463792,1.1368683772161603e-12,0.0,1393.2002969463792,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,140.63181515952573,0.02883583333333334,10486.94430919464,8779.425913050185,180.0,180.0,2021-01-01 02:00:00
3,-12403.632211876245,0.0,12403.632211876245,-12403.632211876245,0.0,0.0,-573.8448990017436,-1.1368683772161603e-13,0.0,573.8448990017436,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,187.50908687936763,0.026915833333333337,11252.217822911914,9400.78532780402,180.0,180.0,2021-01-01 03:00:00
4,-12843.376435825183,0.0,12843.376435825183,-12843.376435825183,0.0,0.0,-134.10067505280657,-2.842170943040401e-14,0.0,134.10067505280657,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,234.38635859920953,0.03052790333333334,11572.784740168363,9793.578609155054,180.0,180.0,2021-01-01 04:00:00
5,-11322.578788106144,0.0,11322.578788106144,-11322.578788106144,0.0,0.0,-1654.898322771846,1.8189894035458565e-12,0.0,1654.898322771846,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,281.2636303190516,0.02849319416666667,10134.864505439513,8531.55770464532,180.0,180.0,2021-01-01 05:00:00
6,-10972.778829178756,0.0,10972.778829178756,-10972.778829178756,0.0,0.0,-2004.6982816992338,1.5916157281026244e-12,0.0,2004.6982816992338,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,328.1409020388935,0.015691041666666666,9592.604015915918,7916.046688722327,180.0,180.0,2021-01-01 06:00:00
7,-10994.846782744911,0.0,10994.846782744911,-10994.846782744911,0.0,0.0,-1982.6303281330784,1.8189894035458565e-12,0.0,1982.6303281330784,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,375.01817375873543,0.017331826666666668,7773.566986662388,7561.456368774771,180.0,180.0,2021-01-01 07:00:00
8,-9378.594471830313,0.0,9378.594471830313,-9378.594471830313,0.0,0.0,-3598.8826390476765,-7.275957614183426e-12,0.0,3598.8826390476765,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,421.89544547857736,0.02182701833333333,7098.288834493558,6283.493542357223,180.0,180.0,2021-01-01 08:00:00
9,-6815.031099631102,0.0,6815.031099631102,-6815.031099631102,0.0,0.0,-6162.446011246888,-1.8189894035458565e-12,0.0,6162.446011246888,0.0,-12769.949293945387,12769.949293945387,-226.8772717198419,207.52781693260397,46.87727171984191,0.0,-46.87727171984191,468.7727171984192,0.0316309,5055.1970714331255,4636.450869179233,180.0,180.0,2021-01-01 09:00:00
