,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time,,
0,-8350.892202,0,8350.892202,-8350.892202,0,0,-1929.936369,0,0,1929.936369,0,-10131.42857,10131.42857,-180,149.4,0,0,0,-180,0.037942625,7364.794459,6307.755684,180,1/01/2021 0:00,,
1,-10826.87815,0,10826.87815,-10826.87815,0,0,-2264.799992,0,0,2264.799992,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,49.21324375,-180,0.034325,9439.755821,8284.318044,180,1/01/2021 1:00,,
2,-11468.01739,0,11468.01739,-11468.01739,0,0,-1623.660747,0,0,1623.660747,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,98.4264875,-180,0.028835833,10381.69768,8691.315884,180,1/01/2021 2:00,,
3,-12422.90895,0,12422.90895,-12422.90895,0,0,-668.7691923,0,0,668.7691923,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,147.6397312,-180,0.026915833,11269.70512,9415.395279,180,1/01/2021 3:00,,
4,-12935.3948,0,12935.3948,-12935.3948,0,0,-156.2833447,0,0,156.2833447,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,196.852975,-180,0.030527903,11655.69975,9863.74622,180,1/01/2021 4:00,,
5,-11163.0298,0,11163.0298,-11163.0298,0,0,-1928.648345,0,0,1928.648345,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,246.0662187,-180,0.028493194,9992.051861,8411.337615,180,1/01/2021 5:00,,
6,-10755.36662,0,10755.36662,-10755.36662,0,0,-2336.311524,0,0,2336.311524,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,295.2794625,-180,0.015691042,9402.538281,7759.19989,180,1/01/2021 6:00,,
7,-10781.08501,0,10781.08501,-10781.08501,0,0,-2310.593133,0,0,2310.593133,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,344.4927062,-180,0.017331827,7622.433322,7414.446558,180,1/01/2021 7:00,,
8,-8897.475421,0,8897.475421,-8897.475421,0,0,-4194.202719,0,0,4194.202719,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,393.70595,-180,0.021827018,6734.148771,5961.15223,180,1/01/2021 8:00,,
9,-5909.852443,0,5909.852443,-5909.852443,0,0,-7181.825697,0,0,7181.825697,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,442.9191937,-180,0.0316309,4383.761178,4020.633229,180,1/01/2021 9:00,,
10,-9026.698872,0,9026.698872,-9026.698872,0,0,-4064.979268,0,0,4064.979268,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,492.1324375,-180,0.02705984,8148.941307,6015.556604,180,1/01/2021 10:00,,
11,-3957.244794,0,3957.244794,-3957.244794,0,0,-9134.433346,0,0,9134.433346,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,541.3456812,-180,0.027918585,2950.965903,2589.079452,180,1/01/2021 11:00,,
12,-197.2827075,0,197.2827075,-197.2827075,0,0,-12894.39543,0,0,12894.39543,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,590.558925,-180,0.031453682,100.0886364,133.9138561,180,1/01/2021 12:00,,
13,2330.167334,-2330.167334,0,0,2330.167334,0,-15421.84547,0,0,15421.84547,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,639.7721687,-180,0.030285336,-1472.04501,-1582.619888,180,1/01/2021 13:00,,
14,2897.385122,-2897.385122,0,0,2897.385122,0,-15989.06326,0,0,15989.06326,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,688.9854125,-180,0.030889582,-2134.81731,-1923.88688,180,1/01/2021 14:00,,
15,6749.657151,-6749.657151,0,0,6749.657151,0,-19841.33529,0,0,19841.33529,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,738.1986562,-180,0.032161335,-3884.598533,-4552.130099,180,1/01/2021 15:00,,
16,6473.680826,-6473.680826,0,0,6473.680826,0,-19565.35897,0,0,19565.35897,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,787.4119,-180,0.035358961,-5145.981677,-4328.750015,180,1/01/2021 16:00,,
17,4779.12639,-4779.12639,0,0,4779.12639,0,-17870.80453,0,0,17870.80453,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,836.6251437,-180,0.036286703,-2805.298452,-3265.661356,180,1/01/2021 17:00,,
18,2898.170225,-2898.170225,0,0,2898.170225,0,-15989.84837,0,0,15989.84837,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,885.8383875,-180,0.041060705,-2362.296263,-2075.374482,180,1/01/2021 18:00,,
19,0,0,0,0,0,0,-11709.56647,0,0,11709.56647,0,-11539.40419,11539.40419,-205.0147952,170.16228,25.01479519,0,910.8531826,-180,0.041752065,0,0,180,1/01/2021 19:00,,
20,0,0,0,0,0,0,-9079.849324,0,0,9079.849324,0,-8947.901838,8947.901838,-158.9728753,131.9474865,0,-21.02712471,889.8260579,-158.9728753,0.039003963,0,0,180,1/01/2021 20:00,,
21,0,0,0,0,0,0,-8256.6048,0,0,8256.6048,0,-8136.620623,8136.620623,-144.5592497,119.9841772,0,-35.44075035,854.3853076,-144.5592497,0.037024769,0,0,180,1/01/2021 21:00,,
22,0,0,0,0,0,0,-8859.31836,0,0,8859.31836,0,-8730.575608,8730.575608,-155.1117494,128.742752,0,-24.88825062,829.497057,-155.1117494,0.036360904,0,0,180,1/01/2021 22:00,,
23,0,0,0,0,0,0,-5324.767394,0,0,5324.767394,0,-5247.388393,5247.388393,-93.22771256,77.37900143,0,-86.77228744,742.7247695,-93.22771256,0.035588642,0,0,180,1/01/2021 23:00,,
24,-4690.802076,0,4690.802076,-4690.802076,0,0,-8400.876065,0,0,8400.876065,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,791.9380133,-180,0.034987791,2415.529851,3522.187405,180,2/01/2021 0:00,,
25,-8114.794568,0,8114.794568,-8114.794568,0,0,-4976.883573,0,0,4976.883573,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,841.151257,-180,0.028842533,6007.95935,6125.169635,180,2/01/2021 1:00,,
26,-8992.395547,0,8992.395547,-8992.395547,0,0,-4099.282593,0,0,4099.282593,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,890.3645008,-180,0.026899475,7469.407199,6744.966531,180,2/01/2021 2:00,,
27,-9446.073745,0,9446.073745,-9446.073745,0,0,-3645.604396,0,0,3645.604396,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,939.5777445,-180,0.027278198,6428.085478,7124.268019,180,2/01/2021 3:00,,
28,-11036.28795,0,11036.28795,-11036.28795,0,0,-2055.390187,0,0,2055.390187,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,988.7909883,-180,0.031083653,9757.573411,8389.443514,180,2/01/2021 4:00,,
29,-10687.71802,0,10687.71802,-10687.71802,0,0,-2403.96012,0,0,2403.96012,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1038.004232,-180,0.031454086,6643.686205,8137.762556,180,2/01/2021 5:00,,
30,-13091.67814,0,13091.67814,-13091.67814,0,0,0,0,0,0,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1087.217476,-180,0.025999062,9846.039541,9678.215461,180,2/01/2021 6:00,,
31,-13091.67814,0,13091.67814,-13091.67814,0,0,0,0,0,0,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1136.43072,-180,0.029945839,5695.46882,9386.516913,180,2/01/2021 7:00,,
32,-12661.3653,0,12661.3653,-12661.3653,0,0,-430.3128406,0,0,430.3128406,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1185.643963,-180,0.033228744,7446.65573,8893.741465,180,2/01/2021 8:00,,
33,-12279.8654,0,12279.8654,-12279.8654,0,0,-811.8127371,0,0,811.8127371,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1234.857207,-180,0.033507107,7211.240728,8418.773329,180,2/01/2021 9:00,,
34,-12358.23806,0,12358.23806,-12358.23806,0,0,-733.4400851,0,0,733.4400851,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1284.070451,-180,0.028993333,5471.06644,8346.957325,180,2/01/2021 10:00,,
35,-12573.53727,0,12573.53727,-12573.53727,0,0,-518.140867,0,0,518.140867,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1333.283694,-180,0.024357813,10208.36365,8073.456527,180,2/01/2021 11:00,,
36,-11973.48282,0,11973.48282,-11973.48282,0,0,-1118.195316,0,0,1118.195316,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1382.496938,-180,0.018562346,8058.995109,7662.271721,180,2/01/2021 12:00,,
37,-11471.73355,0,11471.73355,-11471.73355,0,0,-1619.944591,0,0,1619.944591,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1431.710182,-180,0.021483533,9414.804401,7388.395609,180,2/01/2021 13:00,,
38,-10592.17664,0,10592.17664,-10592.17664,0,0,-2499.501502,0,0,2499.501502,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1480.923426,-180,0.031621923,4764.91813,7058.139854,180,2/01/2021 14:00,,
39,-9621.935745,0,9621.935745,-9621.935745,0,0,-3469.742395,0,0,3469.742395,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1530.136669,-180,0.032781285,5005.991193,6657.659719,180,2/01/2021 15:00,,
40,-8032.47478,0,8032.47478,-8032.47478,0,0,-5059.20336,0,0,5059.20336,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1579.349913,-180,0.034914178,3604.155002,5672.019901,180,2/01/2021 16:00,,
41,0,0,0,0,0,0,-5272.501134,0,0,5272.501134,0,-5195.88166,5195.88166,-92.31261833,76.61947321,0,-87.68738167,1491.662532,-92.31261833,0.040146523,0,0,180,2/01/2021 17:00,,
42,0,0,0,0,0,0,-5816.436626,0,0,5816.436626,0,-5731.912735,5731.912735,-101.8360131,84.52389084,0,-78.16398693,1413.498545,-101.8360131,0.042575332,0,0,180,2/01/2021 18:00,,
43,6504.058538,-6504.058538,0,0,6504.058538,0,-6504.058538,0,0,6504.058538,0,0,0,0,0,0,-180,1233.498545,0,0.064303671,-4373.429203,-4691.012266,180,2/01/2021 19:00,,
44,0,0,0,0,0,0,-4691.578173,0,0,4691.578173,0,-4623.400616,4623.400616,-82.1416353,68.1775573,0,-97.8583647,1135.64018,-82.1416353,0.038511146,0,0,180,2/01/2021 20:00,,
45,-9909.446261,0,9909.446261,-9909.446261,0,0,-3182.231879,0,0,3182.231879,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1184.853424,-180,0.032402664,6524.85087,7142.276598,180,2/01/2021 21:00,,
46,-10272.73631,0,10272.73631,-10272.73631,0,0,-2818.941828,0,0,2818.941828,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1234.066667,-180,0.034856782,9086.957434,7436.817811,180,2/01/2021 22:00,,
47,0,0,0,0,0,0,-2754.955909,0,0,2754.955909,0,-2714.921158,2714.921158,-48.23463987,40.03475109,0,-131.7653601,1102.301307,-48.23463987,0.03649027,0,0,180,2/01/2021 23:00,,
48,0,0,0,0,0,0,-3036.237939,0,0,3036.237939,0,-2992.115625,2992.115625,-53.15941466,44.12231417,0,-126.8405853,975.460722,-53.15941466,0.037752062,0,0,180,3/01/2021 0:00,,
49,-9313.782702,0,9313.782702,-9313.782702,0,0,-3777.895439,0,0,3777.895439,0,-12901.43115,12901.43115,-229.2132437,190.2469923,49.21324375,0,1024.673966,-180,0.034041074,6335.21572,7076.725259,180,3/01/2021 1:00,,
