,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time,,,,,,
0,-8350.89291,0,8350.89291,-8350.89291,0,0,-1929.935661,0,0,1929.935661,0,-10131.42857,10131.42857,-180,149.4,180,-180,0,0,0.037942625,7364.795083,6307.756219,180,1/01/2021 0:00,,,,,,
1,-10826.89375,0,10826.89375,-10826.89375,0,0,-2264.799162,0,0,2264.799162,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,49.21350235,0,0.034325,9439.769423,8284.329981,180,1/01/2021 1:00,,,,,,
2,-11468.03276,0,11468.03276,-11468.03276,0,0,-1623.660151,0,0,1623.660151,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,98.4270047,0,0.028835833,10381.71159,8691.327529,180,1/01/2021 2:00,,,,,,
3,-12422.92396,0,12422.92396,-12422.92396,0,0,-668.768947,0,0,668.768947,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,147.640507,0,0.026915833,11269.71874,9415.406659,180,1/01/2021 3:00,,,,,,
4,-12935.40962,0,12935.40962,-12935.40962,0,0,-156.2832873,0,0,156.2832873,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,196.8540094,0,0.030527903,11655.71311,9863.757527,180,1/01/2021 4:00,,,,,,
5,-11163.04527,0,11163.04527,-11163.04527,0,0,-1928.647637,0,0,1928.647637,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,246.0675117,0,0.028493194,9992.065715,8411.349277,180,1/01/2021 5:00,,,,,,
6,-10755.38224,0,10755.38224,-10755.38224,0,0,-2336.310667,0,0,2336.310667,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,295.2810141,0,0.015691042,9402.551943,7759.211164,180,1/01/2021 6:00,,,,,,
7,-10781.10062,0,10781.10062,-10781.10062,0,0,-2310.592286,0,0,2310.592286,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,344.4945164,0,0.017331827,7622.444365,7414.457299,180,1/01/2021 7:00,,,,,,
8,-8897.49173,0,8897.49173,-8897.49173,0,0,-4194.20118,0,0,4194.20118,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,393.7080188,0,0.021827018,6734.161115,5961.163157,180,1/01/2021 8:00,,,,,,
9,-5909.869849,0,5909.869849,-5909.869849,0,0,-7181.823062,0,0,7181.823062,0,-12901.4457,12901.4457,-229.2135023,190.2472069,229.2135023,-180,442.9215211,0,0.0316309,4383.774089,4020.64507,180,1/01/2021 9:00,,,,,,
