,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
0,-3.1403167499146346e-06,0.0,3.1403167499146346e-06,-3.1403167499146346e-06,0.0,0.0,-1924.4470784685705,-6.451909939642064e-08,0.0,1924.4470784685705,0.0,-1896.4812039566336,1896.4812039566336,-33.69382849669146,27.96587765225391,24.88287431631518,-10.1427082147069,14.740166103757446,-8.81095418037639,0.03794262454545455,2.7694989755049715e-06,2.3720041343662146e-06,18.953662395083292,2021-01-01 00:00:00
1,-10999.688410756278,0.0,10999.688410756278,-10999.688410756278,0.0,0.0,-2258.35825351968,-6.725940693286248e-08,0.0,2258.35825351968,0.0,-13065.382020771687,13065.382020771687,-232.1260765111721,192.66464350427285,189.9854275933676,-41.61661298772155,163.1089807094035,-42.14064891780464,0.034325,9590.425909072264,8416.545926684727,83.75726190552619,2021-01-01 01:00:00
2,-11639.004075078128,0.0,11639.004075078128,-11639.004075078128,0.0,0.0,-1619.0425913843685,-7.729681783530395e-08,0.0,1619.0425913843685,0.0,-13065.38202292645,13065.38202292645,-232.1260765494547,192.66464353604738,179.97414802218637,-54.68934496681429,288.39378376477555,-52.15192852726845,0.02883583333333334,10536.487474388005,8820.902298877065,106.84127349408274,2021-01-01 02:00:00
3,-12591.179645194617,0.0,12591.179645194617,-12591.179645194617,0.0,0.0,-666.8670214122038,-8.728943612368312e-08,0.0,666.8670214122038,0.0,-13065.382023068678,13065.382023068678,-232.12607655198158,192.6646435381447,173.0032594440405,-65.10632605461691,396.29071715419906,-59.12281710794117,0.026915833333333337,11422.355451614398,9542.928623355667,124.22914316255807,2021-01-01 03:00:00
4,-13102.207836166679,0.0,13102.207836166679,-13102.207836166679,0.0,0.0,-155.83883008651455,-7.317430572584271e-08,0.0,155.83883008651455,0.0,-13065.382022720189,13065.382022720189,-232.12607654579014,192.6646435330058,167.29254708394396,-74.38928025508541,489.1939839830575,-64.83352946184628,0.03052790333333334,11806.010021317417,9990.947710530247,139.2228097169317,2021-01-01 04:00:00
5,-11334.883949071385,0.0,11334.883949071385,-11334.883949071385,0.0,0.0,-1923.1627174290954,-7.72834027884528e-08,0.0,1923.1627174290954,0.0,-13065.382022963882,13065.382022963882,-232.12607655011973,192.66464353659936,162.49858325495993,-82.98422825876382,568.7083389792539,-69.6274932951599,0.02849319416666667,10145.878881354596,8540.829637550762,152.6117215539237,2021-01-01 05:00:00
6,-10928.380280707277,0.0,10928.380280707277,-10928.380280707277,0.0,-9.769389005690981e-08,-2329.6663861202796,-1.2367445378913544e-07,-4.9299132360745005e-08,2329.6663861202796,9.769389005690981e-08,-13065.382023382479,13065.382023382479,-232.12607655755673,192.66464354277207,166.4401322291891,-91.10696653313212,644.0415046753108,-65.68594432836764,0.015691041666666666,9553.789992504107,7884.016426554176,156.79291086149976,2021-01-01 06:00:00
7,-10954.025521124957,0.0,10954.025521124957,-10954.025521124957,0.0,-1.845412532659562e-07,-2304.021145592,-1.1596330296015367e-07,-6.739402384972996e-08,2304.021145592,1.845412532659562e-07,-13065.382023359072,13065.382023359072,-232.1260765571409,192.66464354242694,163.32242646751203,-98.83254111701662,708.5313900258064,-68.80365008962886,0.017331826666666668,7744.705573861185,7533.3824724525375,167.6361912066455,2021-01-01 07:00:00
8,-9075.773459467197,0.0,9075.773459467197,-9075.773459467197,0.0,-1.6833833242552296e-07,-4182.273207176331,-1.0135954653378576e-07,-5.902524675756372e-08,4182.273207176331,1.6833833242552296e-07,-13065.382023270742,13065.382023270742,-232.12607655557156,192.66464354112438,160.47150755919878,-105.99398703844734,763.0089105465581,-71.65456899637277,0.02182701833333333,6869.095535075031,6080.6087837306595,177.6485560348201,2021-01-01 08:00:00
9,-6096.648134877949,0.0,6096.648134877949,-6096.648134877949,0.0,-3.426882246139737e-07,-7161.398530813097,-8.010647434275597e-08,-5.5524028507220915e-08,7161.398530813097,3.426882246139737e-07,-13065.382022503922,13065.382022503922,-232.12607654194784,192.6646435298167,157.71840545922626,-112.5448049912872,808.1825110144968,-74.40767108272156,0.0316309,4522.320932425607,4147.71541476383,186.95247607400876,2021-01-01 09:00:00
10,-9204.629361707755,0.0,9204.629361707755,-9204.629361707755,0.0,-3.5176171062101065e-07,-4053.4173045381463,-8.624601832707413e-08,-6.136691986478958e-08,4053.4173045381463,3.5176171062101065e-07,-13065.382023059652,13065.382023059652,-232.12607655182123,192.6646435380116,155.9644894486589,-118.4496985231503,845.6973019400056,-76.16158710316233,0.027059839999999998,8309.569808840997,6134.132724193648,194.61128562631262,2021-01-01 10:00:00
11,-4149.594260523479,0.0,4149.594260523479,-4149.594260523479,0.0,-3.367310995697795e-07,-9108.452405677328,-8.925599104259163e-08,-5.936316363759294e-08,9108.452405677328,3.367310995697795e-07,-13065.3820230004,13065.3820230004,-232.12607655076854,192.6646435371379,153.87641477582653,-123.75653198642557,875.8171847294066,-78.24966177494201,0.027918585000000003,3094.4032560036726,2714.9266204112,202.00619376136757,2021-01-01 11:00:00
12,-400.3265809550125,0.0,400.3265809550125,-400.3265809550125,0.0,-4.0489346540463446e-07,-12857.720084783368,-1.0468465916346759e-07,-6.028797057887493e-08,12857.720084783368,4.0489346540463446e-07,-13065.382022611866,13065.382022611866,-232.12607654386565,192.66464353140847,151.88577248516555,-128.6626258184467,899.0403313961247,-80.2403040587001,0.031453682499999996,203.1001201697094,271.73834362792417,208.90292987714682,2021-01-01 12:00:00
13,2119.934669577123,-2119.934669577123,0.0,0.0,2119.934669577123,-4.7159732949665164e-07,-15377.981335902838,-1.33757566800341e-07,-6.276172723084489e-08,15377.981335902838,4.7159732949665164e-07,-13065.3820232564,13065.3820232564,-232.12607655531676,192.6646435409129,165.07052682574718,-133.26158305056646,930.8492751713056,-67.05554972956958,0.030285335833333336,-1339.2339708231173,-1439.8325475313127,200.31713278013603,2021-01-01 13:00:00
14,2685.539127784631,-2685.539127784631,0.0,0.0,2685.539127784631,-4.46950277031962e-07,-15943.58579412275,-1.3248609320726246e-07,-6.178185547135099e-08,15943.58579412275,4.46950277031962e-07,-13065.382023244334,13065.382023244334,-232.12607655510237,192.66464354073497,163.65152519093405,-137.1030686393351,957.3977317229048,-68.47455136416833,0.03088958166666667,-1978.727430256096,-1783.2194463632434,205.57762000350345,2021-01-01 14:00:00
15,6526.854193115219,-6526.854193115219,0.0,0.0,6526.854193115219,-2.5927123974547006e-07,-19784.900859614845,-1.355183485429734e-07,-6.133665696037367e-08,19784.900859614845,2.5927123974547006e-07,-13065.382023218544,13065.382023218544,-232.1260765546442,192.66464354035466,162.9686175791889,-140.34332531619862,980.0230239858945,-69.15745897545528,0.032161335,-3756.369791519908,-4401.8664596521185,209.5007842916539,2021-01-01 15:00:00
