,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
0,2618.674343510665,-2618.674343510665,0.0,0.0,2618.674343510665,0.0,-17690.890378807,-1.5927435015328228e-07,0.0,17690.890378807,0.0,-14853.188059094959,14853.188059094959,-263.88912795346374,219.02797620137488,131.94456397673187,-131.94456397673187,0.0,-131.94456397673187,0.03558988545454545,-2168.864359424618,-247.0792277929753,263.88912795346374,2021-01-01 00:00:00
1,-2178.5632789360575,0.0,2178.5632789360575,-2178.5632789360575,0.0,0.0,-12893.652757828528,-2.9366128728725016e-07,0.0,12893.652757828528,0.0,-14853.188060541872,14853.188060541872,-263.8891279791703,219.02797622271137,131.94456398958533,-131.94456398958533,0.0,-131.94456398958533,0.021278479166666666,1656.2391819659958,205.47621724121223,263.88912797917067,2021-01-01 01:00:00
2,-3556.3422429209218,0.0,3556.3422429209218,-3556.3422429209218,0.0,0.0,-11515.873795127385,-4.621651896741241e-07,0.0,11515.873795127385,0.0,-14853.18806180694,14853.18806180694,-263.88912800164616,219.0279762413663,131.94456400082325,-131.94456400082325,0.0,-131.94456400082325,0.008468474166666667,3885.9809749053875,338.44700191584093,263.8891280016465,2021-01-01 02:00:00
3,-7330.611794933719,0.0,7330.611794933719,-7330.611794933719,0.0,0.0,-7741.604243128376,-4.211897248751484e-07,0.0,7741.604243128376,0.0,-14853.188061820529,14853.188061820529,-263.88912800188757,219.02797624156668,131.94456400094393,-131.94456400094393,0.0,-131.94456400094393,0.008363678333333333,6854.259138193386,726.8925576352767,263.88912800188785,2021-01-01 03:00:00
4,-10274.741091064283,0.0,10274.741091064283,-10274.741091064283,0.0,0.0,-4797.474946988269,-3.9480528357671574e-07,0.0,4797.474946988269,0.0,-14853.188061811126,14853.188061811126,-263.8891280017205,219.027976241428,131.9445640008604,-131.9445640008604,0.0,-131.9445640008604,0.008770794166666667,10892.197340684306,1098.1327021598722,263.8891280017208,2021-01-01 04:00:00
5,-10278.523844603355,0.0,10278.523844603355,-10278.523844603355,0.0,-9.489314017439628e-09,-4793.692193449383,-4.4025364331901073e-07,-6.725088793503956e-09,4793.692193449383,9.489314017439628e-09,-14853.18806182066,14853.18806182066,-263.8891280018899,219.0279762415686,131.94456400094495,-131.94456400094495,0.0,-131.94456400094495,0.009432235833333334,10181.38930858217,1192.4877870237906,263.8891280018899,2021-01-01 05:00:00
6,-10255.120167789246,0.0,10255.120167789246,-10255.120167789246,0.0,-5.7399698170753836e-08,-4817.095870276792,-4.803050615009852e-07,-4.076156599167412e-08,4817.095870276792,5.7399698170753836e-08,-14853.188061880983,14853.188061880983,-263.8891280029616,219.02797624245815,131.9445640014808,-131.9445640014808,0.0,-131.9445640014808,0.0077974583333333325,9048.520843662347,1366.6674073059417,263.8891280029616,2021-01-01 06:00:00
7,-10411.616760895193,0.0,10411.616760895193,-10411.616760895193,0.0,-6.166120911234365e-08,-4660.599277275857,-5.989322744426318e-07,-4.4263263101002305e-08,4660.599277275857,6.166120911234365e-08,-14853.188061988667,14853.188061988667,-263.8891280048748,219.02797624404607,131.9445640024374,-131.9445640024374,0.0,-131.9445640024374,0.004245763333333334,9677.1664814983,1864.8770484762454,263.8891280048748,2021-01-01 07:00:00
8,-12821.827911388418,0.0,12821.827911388418,-12821.827911388418,0.0,-1.930040157243607e-07,-2250.38812664811,-5.911342668696307e-07,-1.1607188992646487e-07,2250.38812664811,1.930040157243607e-07,-14853.188061985531,14853.188061985531,-263.8891280048191,219.02797624399983,131.94456400240955,-131.94456400240955,0.0,-131.94456400240955,0.004408863333333334,13268.494993728555,2131.687588596503,263.8891280048191,2021-01-01 08:00:00
9,6333.883349274645,-6333.883349274645,0.0,0.0,6333.883349274645,-2.817457169440034e-07,-21406.099387290058,-1.4783036021981388e-06,-1.5916882696322156e-07,21406.099387290058,2.817457169440034e-07,-14853.18806205218,14853.18806205218,-263.8891280060032,219.02797624498265,131.9445640030016,-131.9445640030016,0.0,-131.9445640030016,0.009353645,-4940.08638470921,-1230.1645185625825,263.8891280060032,2021-01-01 09:00:00
10,7939.813180039866,-7939.813180039866,0.0,0.0,7939.813180039866,-4.0047758183753274e-07,-23012.029218030828,-1.0829382517840713e-05,-2.4019093027701076e-07,23012.029218030828,4.0047758183753274e-07,-14853.188062145093,14853.188062145093,-263.88912800765394,219.02797624635275,131.94456400382697,-131.94456400382697,0.0,-131.94456400382697,0.0013717166666666668,-8952.308643808157,-1671.090693545025,263.88912800765394,2021-01-01 10:00:00
