,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
0,-12193.804392091773,0.0,12193.804392091773,-12193.804392091773,0.0,0.0,-1633.2991748352722,0.0,0.0,1633.2991748352722,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.03794262454545455,10753.924352479475,9210.457649687996,242.0893048410228,2021-01-01 00:00:00
1,-11910.410344644419,0.0,11910.410344644419,-11910.410344644419,0.0,0.0,-1916.693222282627,0.0,0.0,1916.693222282627,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.034325,10384.467604124306,9113.395937046216,242.0893048410228,2021-01-01 01:00:00
2,-12453.004503276421,0.0,12453.004503276421,-12453.004503276421,0.0,0.0,-1374.0990636506249,0.0,0.0,1374.0990636506249,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.02883583333333334,11273.380876996442,9437.812319877556,242.0893048410228,2021-01-01 02:00:00
3,-13261.126269816743,0.0,13261.126269816743,-13261.126269816743,0.0,0.0,-565.9772971103035,0.0,0.0,565.9772971103035,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.026915833333333337,12030.111729872544,10050.685084654904,242.0893048410228,2021-01-01 03:00:00
4,-13694.841456138773,0.0,13694.841456138773,-13694.841456138773,0.0,0.0,-132.2621107882741,0.0,0.0,132.2621107882741,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.03052790333333334,12340.014560388076,10442.854105443284,242.0893048410228,2021-01-01 04:00:00
5,-12194.894443269859,0.0,12194.894443269859,-12194.894443269859,0.0,0.0,-1632.2091236571873,0.0,0.0,1632.2091236571873,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.02849319416666667,10915.676115277442,9188.847133844296,242.0893048410228,2021-01-01 05:00:00
6,-11849.890356577756,0.0,11849.890356577756,-11849.890356577756,0.0,0.0,-1977.2132103492895,0.0,0.0,1977.2132103492895,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.015691041666666666,10359.390961239184,8548.817649496965,242.0893048410228,2021-01-01 06:00:00
7,-11871.655751258193,0.0,11871.655751258193,-11871.655751258193,0.0,0.0,-1955.4478156688526,0.0,0.0,1955.4478156688526,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.017331826666666668,8393.487699149364,8164.4618394438585,242.0893048410228,2021-01-01 07:00:00
8,-10277.562789952717,0.0,10277.562789952717,-10277.562789952717,0.0,0.0,-3549.5407769743288,0.0,0.0,3549.5407769743288,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.02182701833333333,7778.682553857178,6885.786523322789,242.0893048410228,2021-01-01 08:00:00
9,-7749.146712904218,0.0,7749.146712904218,-7749.146712904218,0.0,0.0,-6077.956854022828,0.0,0.0,6077.956854022828,0.0,-13626.169443908997,13626.169443908997,-242.0893048410228,200.93412301804892,0.0,0.0,0.0,-242.0893048410228,0.0316309,5748.097579672012,5271.955107348956,242.0893048410228,2021-01-01 09:00:00
