,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
0,-1.4234615832189446e-06,0.0,1.4234615832189446e-06,-1.4234615832189446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4027759780602391e-06,1.4027759780602391e-06,-2.4922415853862117e-08,2.0685605158705556e-08,1.2461249075011846e-08,-1.2461249075011846e-08,0.0,-1.2461249075011846e-08,0.06065464545454545,1.2058833890294575e-07,5.678927145898988e-07,2.4922498150023693e-08,2021-01-01 00:00:00
1,3229.375423631606,-3229.375423631606,0.0,0.0,3229.375423631606,0.0,-3229.375424836547,-8.268762030638754e-08,0.0,3229.375424836547,0.0,-1.1874311371075895e-06,1.1874311371075895e-06,-2.1096492283637377e-08,1.7510088595419022e-08,1.0548246141818689e-08,-1.0548246141818689e-08,0.0,-1.0548246141818689e-08,0.06574730833333334,0.0,-1297.2417449661557,2.1096492283637377e-08,2021-01-01 01:00:00
2,2900.737160993224,-2900.737160993224,0.0,0.0,2900.737160993224,0.0,-2900.7371621595903,-8.547522156732157e-08,0.0,2900.7371621595903,0.0,-1.1494171402467884e-06,1.1494171402467884e-06,-2.042111670489218e-08,1.694952686506051e-08,1.021055835244609e-08,-1.021055835244609e-08,0.0,-1.021055835244609e-08,0.06624202583333333,0.0,-1143.055388949253,2.042111670489218e-08,2021-01-01 02:00:00
3,4055.0055292485945,-4055.0055292485945,0.0,0.0,4055.0055292485945,0.0,-4055.005529956726,-6.880190994706936e-08,0.0,4055.005529956726,0.0,-6.978410521574596e-07,6.978410521574596e-07,-1.2398191281985322e-08,1.0290498764047817e-08,6.199095640992661e-09,-6.199095640992661e-09,0.0,-6.199095640992661e-09,0.07242161916666667,0.0,-1531.7398688362007,1.2398191281985322e-08,2021-01-01 03:00:00
4,3160.057683935021,-3160.057683935021,0.0,0.0,3160.057683935021,0.0,-3160.0576861604877,-8.930510375648737e-08,0.0,3160.0576861604877,0.0,-2.1931266019141227e-06,2.1931266019141227e-06,-3.896417820659609e-08,3.234026791147475e-08,1.9482089103298044e-08,-1.9482089103298044e-08,0.0,-1.9482089103298044e-08,0.06098,0.0,-1171.8233661534869,3.896417820659609e-08,2021-01-01 04:00:00
5,-2.3578680994689855e-06,0.0,2.3578680994689855e-06,-2.3578680994689855e-06,0.0,-6.193221905575572e-09,-3420.995809294944,-6.104392014094628e-08,-3.732020568595206e-09,3420.995809294944,6.193221905575572e-09,-3371.282233545054,3371.282233545054,-59.895877245724314,49.71357811395118,29.947938622862157,-29.947938622862157,0.0,-29.947938622862157,0.05080506333333333,1.099758234026283e-08,8.976424344552212e-07,59.895877245724314,2021-01-01 05:00:00
6,-7.878361864113371e-07,0.0,7.878361864113371e-07,-7.878361864113371e-07,0.0,-2.2473300355335372e-08,-1767.87203231409,-6.482878234237432e-08,-1.1272524056845273e-08,1767.87203231409,2.2473300355335372e-08,-1742.18148883473,1742.18148883473,-30.952462999601803,25.690544289669496,15.476231499800901,-15.476231499800901,0.0,-15.476231499800901,0.05467333333333334,0.0,2.8988319503296016e-07,30.952462999601803,2021-01-01 06:00:00
7,-12165.25057086034,0.0,12165.25057086034,-12165.25057086034,0.0,-1.426536894774089e-08,0.0,0.0,-6.207732687172263e-09,0.0,1.426536894774089e-08,-11988.466333820052,11988.466333820052,-212.99305669223443,176.78423705455458,106.49652834611723,-106.49652834611723,0.0,-106.49652834611723,0.03566999999999999,0.0,4082.5758058258693,212.99305669223446,2021-01-01 07:00:00
8,-12165.250570937344,0.0,12165.250570937344,-12165.250570937344,0.0,-2.8297142930282592e-08,0.0,0.0,-1.1799371684928359e-08,0.0,2.8297142930282592e-08,-11988.466333909764,11988.466333909764,-212.9930566938283,176.78423705587747,106.49652834691419,-106.49652834691419,0.0,-106.49652834691419,0.03436,0.0,4029.0091297794793,212.99305669382838,2021-01-01 08:00:00
9,-6368.53991686722,0.0,6368.53991686722,-6368.53991686722,0.0,-6.32385367394746e-08,-5796.71065421118,-8.067490853136405e-08,-2.6769861432193684e-08,5796.71065421118,6.32385367394746e-08,-11988.466334083205,11988.466334083205,-212.99305669690975,176.78423705843508,106.49652834845487,-106.49652834845487,0.0,-106.49652834845487,0.034341666666666666,0.0,2108.122757232754,212.99305669690975,2021-01-01 09:00:00
