,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
0,-14651.453899825352,0.0,14651.453899825352,-14651.453899825352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14438.54039801703,14438.54039801703,-256.52229133532796,212.9135018083222,128.26114566766398,-128.26114566766398,0.0,-128.26114566766398,0.03721452454545454,12688.295355749278,13006.649993936173,256.52229133532796,2021-01-01 00:00:00
1,-14243.920379006666,0.0,14243.920379006666,-14243.920379006666,0.0,0.0,-407.5335211059589,-7.372631216640002e-08,0.0,407.5335211059589,0.0,-14438.54039830013,14438.54039830013,-256.52229134035764,212.91350181249683,128.26114567017882,-128.26114567017882,0.0,-128.26114567017882,0.021738875833333334,11611.543739214076,12514.27410513114,256.52229134035764,2021-01-01 01:00:00
2,-11290.199507960393,0.0,11290.199507960393,-11290.199507960393,0.0,0.0,-3361.2543922399627,-9.582026905263774e-08,0.0,3361.2543922399627,0.0,-14438.540398386585,14438.540398386585,-256.52229134189366,212.91350181377172,128.26114567094683,-128.26114567094683,0.0,-128.26114567094683,0.008949973333333333,13038.002149525388,9378.065476025546,256.52229134189366,2021-01-01 02:00:00
3,-6751.062337240386,0.0,6751.062337240386,-6751.062337240386,0.0,0.0,-7900.391562955458,-1.175212673842907e-07,0.0,7900.391562955458,0.0,-14438.540398382138,14438.540398382138,-256.52229134181465,212.91350181370615,128.26114567090733,-128.26114567090733,0.0,-128.26114567090733,0.008826541666666665,7377.716756908225,5360.490115340706,256.52229134181465,2021-01-01 03:00:00
4,-4797.854580188055,0.0,4797.854580188055,-4797.854580188055,0.0,0.0,-9853.599320003772,-1.2625787348952144e-07,0.0,9853.599320003772,0.0,-14438.540398378178,14438.540398378178,-256.5222913417443,212.91350181364774,128.26114567087217,-128.26114567087217,0.0,-128.26114567087217,0.00895,5540.591745709814,3923.7509328078286,256.52229134174434,2021-01-01 04:00:00
5,-9974.717363102094,0.0,9974.717363102094,-9974.717363102094,0.0,-4.778160766945806e-09,-4676.736537102534,-1.0904750524787232e-07,-3.943732172065442e-09,4676.736537102534,4.778160766945806e-09,-14438.540398395502,14438.540398395502,-256.5222913420521,212.91350181390322,128.26114567102604,-128.26114567102604,0.0,-128.26114567102604,0.0094284,10852.734151857541,8744.752620307707,256.5222913420521,2021-01-01 05:00:00
6,-6974.52457135751,0.0,6974.52457135751,-6974.52457135751,0.0,-1.7623122010759877e-08,-7676.929328838177,-1.2973214325029403e-07,-1.2779649788603691e-08,7676.929328838177,1.7623122010759877e-08,-14438.54039839935,14438.54039839935,-256.5222913421204,212.91350181395993,128.2611456710602,-128.2611456710602,0.0,-128.2611456710602,0.0077468166666666664,6322.471711910699,6158.831129990949,256.5222913421204,2021-01-01 06:00:00
7,1664.6345712163036,-1664.6345712163036,0.0,0.0,1664.6345712163036,-2.2336478733119466e-07,-16316.08847118903,-2.2799213184043765e-07,-9.165981660273396e-08,16316.08847118903,2.2336478733119466e-07,-14438.540398382382,14438.540398382382,-256.52229134181897,212.91350181370973,128.26114567090949,-128.26114567090949,0.0,-128.26114567090949,0.004123441666666667,-1596.7745317603008,-1389.0048050607584,256.52229134181897,2021-01-01 07:00:00
8,-6461.7689843501485,0.0,6461.7689843501485,-6461.7689843501485,0.0,-3.649495408151369e-07,-8189.684915492726,-1.415282895322889e-07,-9.434481986482836e-08,8189.684915492726,3.649495408151369e-07,-14438.540398393941,14438.540398393941,-256.52229134202435,212.9135018138802,128.26114567101217,-128.26114567101217,0.0,-128.26114567101217,0.004351433333333333,6734.35156762327,5343.49289829637,256.52229134202435,2021-01-01 08:00:00
9,-10881.150031352914,0.0,10881.150031352914,-10881.150031352914,0.0,-1.5719951456410434e-07,-3770.303868696822,-1.0492703950149007e-07,-6.21319740150522e-08,3770.303868696822,1.5719951456410434e-07,-14438.540398393068,14438.540398393068,-256.5222913420088,212.91350181386733,128.2611456710044,-128.2611456710044,0.0,-128.2611456710044,0.009054806666666667,8179.715275693246,9061.616843174466,256.5222913420088,2021-01-01 09:00:00
10,-13292.219721785787,0.0,13292.219721785787,-13292.219721785787,0.0,-3.906477025114687e-07,-1359.2341780534107,-1.2053783393639605e-07,-1.1078291822661968e-07,1359.2341780534107,3.906477025114687e-07,-14438.540398415647,14438.540398415647,-256.52229134240997,212.91350181420026,128.26114567120499,-128.26114567120499,0.0,-128.26114567120499,0.0012711516666666666,14911.018545554994,10741.897962531686,256.52229134240997,2021-01-01 10:00:00
11,-12999.798173059879,0.0,12999.798173059879,-12999.798173059879,0.0,-3.868610743620351e-07,-1651.655726786509,-1.2446184882719535e-07,-1.145695463760533e-07,1651.655726786509,3.868610743620351e-07,-14438.540398418996,14438.540398418996,-256.5222913424695,212.91350181424966,128.26114567123474,-128.26114567123474,0.0,-128.26114567123474,0.0,13913.974825210576,10325.784928159102,256.5222913424695,2021-01-01 11:00:00
12,-12756.635759744688,0.0,12756.635759744688,-12756.635759744688,0.0,-3.8917985797505616e-07,-1894.818140096968,-1.21675611808314e-07,-1.1225076276303224e-07,1894.818140096968,3.8917985797505616e-07,-14438.540398416619,14438.540398416619,-256.52229134242725,212.9135018142146,128.26114567121363,-128.26114567121363,0.0,-128.26114567121363,0.0006776899999999996,12641.573586211407,9994.115308050608,256.52229134242725,2021-01-01 12:00:00
13,-9551.79913950363,0.0,9551.79913950363,-9551.79913950363,0.0,-4.29838063568195e-07,-5099.654760207945,-8.816095942165703e-08,-7.15925571698934e-08,5099.654760207945,4.29838063568195e-07,-14438.540398328496,14438.540398328496,-256.5222913408616,212.91350181291511,128.2611456704308,-128.2611456704308,0.0,-128.2611456704308,0.017414923333333335,8544.851466318238,7834.515463171183,256.5222913408616,2021-01-01 13:00:00
14,-12792.831183120628,0.0,12792.831183120628,-12792.831183120628,0.0,-1.0239753026550333e-07,-1858.6227168222963,-6.867981028335635e-08,-3.888018697454955e-08,1858.6227168222963,1.0239753026550333e-07,-14438.540398233805,14438.540398233805,-256.5222913391793,212.91350181151878,128.26114566958964,-128.26114566958964,0.0,-128.26114566958964,0.027855853333333333,5032.549725397738,10770.504085259528,256.5222913391793,2021-01-01 14:00:00
15,-11963.825894744445,0.0,11963.825894744445,-11963.825894744445,0.0,-8.744406016654706e-08,-2687.628005184228,-6.743039193679579e-08,-3.522304097419558e-08,2687.628005184228,8.744406016654706e-08,-14438.540398205025,14438.540398205025,-256.52229133866797,212.9135018110944,128.26114566933398,-128.26114566933398,0.0,-128.26114566933398,0.029862348333333334,5019.670527177102,9430.98132712852,256.52229133866797,2021-01-01 15:00:00
16,-10107.954919100699,0.0,10107.954919100699,-10107.954919100699,0.0,-6.604127204103344e-08,-4543.498980885132,-7.166181603679433e-08,-3.079259911667366e-08,4543.498980885132,6.604127204103344e-08,-14438.540398240259,14438.540398240259,-256.52229133929393,212.91350181161394,128.26114566964696,-128.26114566964696,0.0,-128.26114566964696,0.027510325833333335,930.4556004530455,7334.734193854104,256.52229133929393,2021-01-01 16:00:00
17,-4458.87858000808,0.0,4458.87858000808,-4458.87858000808,0.0,-7.622822621890011e-08,-10192.575319912972,-7.132621249184012e-08,-3.245646808015408e-08,10192.575319912972,7.622822621890011e-08,-14438.540398186458,14438.540398186458,-256.5222913383381,212.9135018108206,128.26114566916905,-128.26114566916905,0.0,-128.26114566916905,0.0313319975,900.8636328860024,3125.7108263946993,256.5222913383381,2021-01-01 17:00:00
18,-5480.078619800266,0.0,5480.078619800266,-5480.078619800266,0.0,-8.397646149143252e-09,-9171.375280168895,-6.90524757374078e-08,-6.314844406423553e-09,9171.375280168895,8.397646149143252e-09,-14438.540398167026,14438.540398167026,-256.52229133799284,212.91350181053406,128.26114566899642,-128.26114566899642,0.0,-128.26114566899642,0.032526510833333334,0.0,3951.174415217289,256.52229133799284,2021-01-01 18:00:00
19,-8440.42871853778,0.0,8440.42871853778,-8440.42871853778,0.0,0.0,-6211.025181437468,-6.249683792702854e-08,0.0,6211.025181437468,0.0,-14438.540398164747,14438.540398164747,-256.52229133795237,212.91350181050046,128.2611456689762,-128.2611456689762,0.0,-128.2611456689762,0.031672363333333335,0.0,6267.30787242149,256.5222913379524,2021-01-01 19:00:00
20,1508.9849120257059,-1508.9849120257059,0.0,0.0,1508.9849120257059,0.0,-16160.438812069844,-5.864967533852905e-08,0.0,16160.438812069844,0.0,-14438.540398232637,14438.540398232637,-256.5222913391585,212.91350181150156,128.26114566957926,-128.26114566957926,0.0,-128.26114566957926,0.029467954166666668,0.0,-1140.6486740554492,256.5222913391585,2021-01-01 20:00:00
21,5827.702618559318,-5827.702618559318,0.0,0.0,5827.702618559318,0.0,-20479.156518557902,-5.3831172408536077e-08,0.0,20479.156518557902,0.0,-14438.540398187744,14438.540398187744,-256.52229133836096,212.9135018108396,128.26114566918048,-128.26114566918048,0.0,-128.26114566918048,0.033653972500000004,-1037.26730812306,-4800.080458396658,256.52229133836096,2021-01-01 21:00:00
22,5827.702618561679,-5827.702618561679,0.0,0.0,5827.702618561679,0.0,-20479.156518558222,-5.3511030273512006e-08,0.0,20479.156518558222,0.0,-14438.540398185733,14438.540398185733,-256.5222913383252,212.91350181080992,128.2611456691626,-128.2611456691626,0.0,-128.2611456691626,0.033974536666666666,-2254.358561539156,-4929.506075955617,256.5222913383252,2021-01-01 22:00:00
23,5827.702618573787,-5827.702618573787,0.0,0.0,5827.702618573787,0.0,-20479.15651855929,-5.244146450422704e-08,0.0,20479.15651855929,0.0,-14438.540398174857,14438.540398174857,-256.522291338132,212.91350181064954,128.261145669066,-128.261145669066,0.0,-128.261145669066,0.0351058875,-3768.3705839653817,-4856.562097626989,256.522291338132,2021-01-01 23:00:00
24,364.3756872545953,-364.3756872545953,0.0,0.0,364.3756872545953,0.0,-15015.829587115742,-5.5802956921979785e-08,0.0,15015.829587115742,0.0,-14438.540398052304,14438.540398052304,-256.52229133595466,212.91350180884237,128.26114566797733,-128.26114566797733,0.0,-128.26114566797733,0.0340268075,-155.9841760921255,-321.0556812355648,256.52229133595466,2021-01-02 00:00:00
25,-4769.156402640016,0.0,4769.156402640016,-4769.156402640016,0.0,0.0,-9882.297497461519,-8.179631549865007e-08,0.0,9882.297497461519,0.0,-14438.540398289197,14438.540398289197,-256.5222913401634,212.91350181233562,128.26114567008176,-128.26114567008176,0.0,-128.26114567008176,0.022396182499999997,3486.69204582219,4170.96047598992,256.5222913401635,2021-01-02 01:00:00
26,-11136.328598384347,0.0,11136.328598384347,-11136.328598384347,0.0,0.0,-3515.1253017243334,-7.266771717695519e-08,0.0,3515.1253017243334,0.0,-14438.540398296242,14438.540398296242,-256.5222913402886,212.9135018124395,128.2611456701443,-128.2611456701443,0.0,-128.2611456701443,0.022024164166666665,8676.11690353302,9758.301546312483,256.5222913402886,2021-01-02 02:00:00
