,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,2.8768282909418463,95981008.42,60,0.6511722413489399,6879.175894262266,-18.367633745148556,-12.044952845367863,-13.730789634749879,-13.819238926563425,61265004.35716295,-31415448.27578871,-1819526.4568162665,-35755.66035722252,36410.574255236665,0.0,12901.445703655005,2040.8314382898911,Pipeline,597.6824798994895,32187.0,-5890473.669727447,1576800.0,0.0,0,1,0,1
1,QLD1,2021,2.862854665585413,95981008.41999516,60,0.6501755334040877,6792.860256601498,-18.73312500133203,-11.988094491702451,-14.034224552331187,-14.140819525245528,62049382.025927335,-31505211.851396985,-778724.4107343673,-36467.15000259298,36307.025490055064,7.537330654171613e-07,13065.382023642132,2040.8163262541516,Pipeline,597.682566524385,32096.0,-5928120.4232238205,1576799.9999999984,2.149165468226358e-09,0,1,0,24
2,QLD1,2021,2.722626741736603,95981008.41997816,60,0.6509331008167929,6705.746074317223,-19.054668280154523,-12.381985728014607,-14.350685079645572,-14.436543681291324,62619919.63764268,-31436985.286053207,-1695280.7870973998,-37093.08758536747,36772.239604455586,1.554820918601377e-06,13235.11408009149,2.436101613978074,Pipeline,999.5197577869144,32507.0,-6264692.732146985,1576800.0000000002,1.7609770351049208e-09,0,1,0,720
3,QLD1,2021,2.588405075454952,95981008.41999857,60,0.6502257932903281,6492.760067897615,-18.586914638468006,-11.77106313406074,-13.907199678166164,-14.00944365721265,61761083.742692664,-31500685.443113144,-1704783.2758848367,-36182.527162884784,36499.14085394659,2.423840073874728e-07,13669.273676773084,0.00014972755738631245,Pipeline,999.9999704833767,32266.0,-6583405.680948165,1576800.0000000175,1.094258451897944e-05,0,1,0,8760
4,TAS1,2021,3.21768781960334,54298131.84691689,60,0.6755024743523801,8259.428571427792,-1.930899611891133e-12,1.1332251744051278,0.41940391027743573,0.41812496360710044,23730104.051608402,-29224266.073404733,0.0,-3.758817911148071e-09,18572.730136819566,0.0,10745.454545454546,398.2632242975828,Pipeline,921.4881632482723,16419.0,96638.1674828711,1576800.0,398.2632242975828,0,1,0,1
5,TAS1,2021,3.2079550213841266,54447968.79100913,60,0.6737042141097901,8064.255986798834,-1.3462331605284218e-10,1.1600924319681185,0.48420482227862033,0.4204420767824298,23861608.60673414,-29386217.49565526,-0.0011292095135615973,-2.6206672191619873e-07,18566.0432634184,6.22143219221714e-07,11005.517983432092,188.7307051114869,Pipeline,962.7944700746966,16413.0,44242.051856779275,1576799.9999999958,188.7307050811277,0,1,0,24
6,TAS1,2021,3.1589459818138277,54952211.23079796,60,0.677586371668163,7721.997314629953,-5.808754581702882e-10,1.2230924792744027,0.6134193771967584,0.41543979824108024,23577711.210786138,-29036590.159674093,-0.0021809681184324892,-1.1307708919048309e-06,18580.479158901682,1.2824057577240889e-06,11493.310690171797,0.0,Pipeline,1000.0,16426.0,-148927.60564633677,1576800.000000005,0.0,0,1,0,720
7,TAS1,2021,3.0811238690456477,55488564.77939236,60,0.6613000693960477,7403.058223493034,-7.287949987062044e-10,1.3494346897524068,0.46513591341867894,0.4364251956616796,24768708.420565475,-30503335.491560042,-0.0012787402172385158,-1.418720930814743e-06,18519.918156348216,7.324902194959983e-07,11988.46633463842,0.0,Pipeline,1000.0,16372.0,-409107.732605674,1576799.9999999986,0.0,0,1,0,8760
8,SA1,2021,2.709392537550342,85604140.25,60,0.67525154123012,6543.501614713107,-21.799353326282034,-12.03999554786384,-9.473308059090023,-5.856428182340943,66184528.956666894,-29246865.12500559,0.0,-42436.07447516236,30940.701806818448,0.0,13563.275370201336,2669.8397545788293,Pipeline,594.0790941135143,27352.0,-5006607.977430776,1576800.0,0.0,0,1,0,1
9,SA1,2021,2.683869990543875,85604140.24996969,60,0.6690405317965987,6385.049641987111,-18.330727299204682,-10.461936664428405,-9.045552924797798,-4.769191520445887,59886473.75436347,-29806228.996607002,-6691811.972803882,-35683.81580911858,30900.354626759854,4.930530070864133e-07,13899.862845560236,2040.8163265306082,Pipeline,597.6825664698852,27316.0,-5081074.046074596,1576800.000000006,2.1070278341519143e-09,0,1,0,24
