,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,SA1,Cell 30,2023,5.055939026,87733424.06,60,1,5054.079924,0,0,0,0,0,0,-2106075.285,0,AA,0,0,20218.76501,5629.0809,17560.33059,95858.34593,Lined Rock,157.8831968,0,0,1576800,84091.45364,0,1,0,1,2.357534402,0.340792798,0.750834711,1.606777115,0.224396491,0.042482282,0.436512154,0,5.055939026
1,SA1,Cell 41,2023,5.669590863,98212222.54,60,1,4739.184549,0,0,0,0,0,0,-4650115.375,0,AA,0,0,21567.74906,12405.44797,18727.12771,69703.09225,Lined Rock,199.9710023,0,0,1576800,60359.99478,0,1,0,1,2.514827703,0.751043981,0.691508572,1.712210607,0.239368093,0.093623054,0.464187326,0,5.669590863
2,SA1,Cell 56,2023,4.603206832,79845057.44,60,1,5289.271174,0,0,0,0,0,0,-597386.1532,0,AA,0,0,19316.01089,1277.337231,16779.49785,89921.06489,Lined Rock,165.2924997,0,0,1576800,81053.14881,0,1,0,1,2.252272092,0.077331866,0.737382945,1.536219928,0.214377341,0.009639975,0.417991641,0,4.603206832
3,SA1,Cell 57,2023,5.427914287,94161377.31,60,1,5031.340558,0,0,0,0,0,0,-4910157.127,0,AA,0,0,20310.52192,12277.72956,17639.69528,74493.13954,Lined Rock,190.0651268,0,0,1576800,64048.97845,0,1,0,1,2.368233377,0.743311722,0.702420564,1.613948624,0.225414849,0.092659172,0.438394599,0,5.427914287
4,SA1,Cell 72,2023,4.750588754,82366889.46,60,1,5235.831827,0,0,0,0,0,0,-1518763.832,0,AA,0,0,19514.01121,3398.939305,16950.75725,81246.4939,Lined Rock,178.071611,0,0,1576800,73626.65291,0,1,0,1,2.275359187,0.205776761,0.717757627,1.551695178,0.216574833,0.025651559,0.42205373,0,4.750588754
5,SA1,Cell 73,2023,5.005545834,86833213.65,60,1,5254.109727,0,0,0,0,0,0,-3423112.095,0,AA,0,0,19445.8358,8107.251359,16891.78927,73878.96617,Lined Rock,191.2424273,0,0,1576800,65328.18763,0,1,0,1,2.267409846,0.490824866,0.700944378,1.546366745,0.215818193,0.061184862,0.420655073,0,5.005545834
6,SA1,Cell 91,2023,4.951401801,85843647.04,60,1,5205.819439,0,0,0,0,0,0,-2902616.223,0,AA,0,0,19626.99392,6679.158525,17048.48109,72532.1368,Lined Rock,193.9689163,0,0,1576800,64330.63116,0,1,0,1,2.28853312,0.404366035,0.697976999,1.560525647,0.217828763,0.050407145,0.424371634,0,4.951401801
7,SA1,Cell 92,2023,5.01114935,86931501.18,60,1,5350.451164,0,0,0,0,0,0,-4243915.314,0,AA,0,0,19094.18643,9676.685113,16587.63188,64578.47405,Lined Rock,212.2534417,0,0,1576800,54023.60907,0,1,0,1,2.226407071,0.585840683,0.680018957,1.518882639,0.211915438,0.07302927,0.413440787,0,5.01114935
8,SA1,Cell 108,2023,4.911345588,85254861.12,60,1,5331.582717,0,0,0,0,0,0,-3285945.423,0,AA,0,0,19162.05612,7189.646992,16646.33543,81160.24332,Lined Rock,178.213232,0,0,1576800,60744.10016,0,1,0,1,2.234320765,0.435271754,0.717565891,1.524187178,0.212668685,0.054259766,0.414833172,0,4.911345588
9,SA1,Cell 109,2023,4.96770586,86209408.95,60,1,5378.341451,0,0,0,0,0,0,-4237053.374,0,AA,0,0,18994.73742,9083.629613,16501.61394,69868.44148,Lined Rock,199.5958244,0,0,1576800,56352.65517,0,1,0,1,2.214811186,0.549936235,0.691848505,1.511109933,0.21081171,0.068553521,0.411400534,0,4.96770586
10,SA1,Cell 110,2023,5.071720784,87999056.4,60,1,5371.639115,0,0,0,0,0,0,-5042225.54,0,AA,0,0,19018.54182,11001.76918,16522.20344,62394.08319,Lined Rock,218.0953536,0,0,1576800,51011.71091,0,1,0,1,2.217586811,0.666063212,0.67510033,1.51297043,0.211075902,0.083029587,0.411888894,0,5.071720784
11,SA1,Cell 129,2023,4.717785759,81848119.33,60,1,5304.790233,0,0,0,0,0,0,-1561773.207,0,AA,0,0,19259.25805,3529.787914,16730.40976,85160.49774,Lined Rock,171.9917411,0,0,1576800,56903.68254,0,1,0,1,2.245654637,0.213698528,0.726648337,1.531784257,0.213747473,0.026639064,0.416827324,0,4.717785759
12,SA1,Cell 130,2023,5.254357738,91038073.83,60,1,5023.634121,0,0,0,0,0,0,-3844864.47,0,AA,0,0,20341.80707,9681.282753,17666.75521,64554.68814,Lined Rock,212.3143772,0,0,1576800,40295.58796,0,1,0,1,2.371881266,0.586119031,0.679963642,1.616393799,0.225762065,0.073063968,0.439036431,0,5.254357738
13,SA1,Cell 131,2023,5.26667406,91380738.92,60,1,5261.928321,0,0,0,0,0,0,-5808235.719,0,AA,0,0,19416.81757,12935.44771,16866.69009,62529.30859,Lined Rock,217.7261341,0,0,1576800,45372.34277,0,1,0,1,2.264026283,0.783130942,0.675418089,1.544098747,0.215496136,0.097622925,0.420059747,0,5.26667406
14,SA1,Cell 155,2023,4.622447928,80042787.05,60,1,5177.992472,0,0,0,0,0,0,-294607.01,0,AA,0,0,19732.91969,780.6277707,17140.10106,75884.22851,Lined Rock,187.3985673,0,0,1576800,57356.02954,0,1,0,1,2.300884202,0.047260348,0.705498816,1.568804562,0.219004372,0.005891344,0.426544761,0,4.622447928
15,SA1,Cell 156,2023,4.800528258,83234957.95,60,1,5196.31928,0,0,0,0,0,0,-1497938.522,0,AA,0,0,19663.02956,3685.49839,17079.64994,82814.2113,Lined Rock,175.5690952,0,0,1576800,55378.84162,0,1,0,1,2.292734922,0.223125468,0.721325758,1.56334211,0.218228702,0.0278142,0.425110926,0,4.800528258
16,SA1,Cell 157,2023,5.317804621,92350138.93,60,1,5437.444126,0,0,0,0,0,0,-6553884.258,0,AA,0,0,18787.36538,15974.70948,16322.24851,57962.70945,Lined Rock,231.3050365,0,0,1576800,38089.14477,0,1,0,1,2.190631335,0.967132298,0.665138777,1.494902211,0.208510207,0.120560022,0.407146179,0,5.317804621
17,SA1,Cell 158,2023,5.198763109,90299575.25,60,1,5486.320558,0,0,0,0,0,0,-6842882.539,0,AA,0,0,18619.2491,14385.18258,16176.83716,62382.00585,Lined Rock,218.1283295,0,0,1576800,46836.69718,0,1,0,1,2.171028757,0.870900013,0.67507171,1.481762629,0.206644381,0.108563973,0.403697178,0,5.198763109
18,SA1,Cell 160,2023,5.23090833,90808744.73,60,1,5294.56751,0,0,0,0,0,0,-4790956.808,0,AA,0,0,19296.60491,12460.01077,16762.71275,69868.44148,Lined Rock,199.5958244,0,0,1576800,52370.81619,0,1,0,1,2.25000933,0.754347293,0.691848505,1.534703202,0.214161965,0.094034835,0.417593516,0,5.23090833
19,SA1,Cell 186,2023,4.863002747,84290947.66,60,1,5243.20249,0,0,0,0,0,0,-2289947.712,0,AA,0,0,19486.46191,5761.538443,16926.92862,70134.97897,Lined Rock,199.0250712,0,0,1576800,47679.12048,0,1,0,1,2.272146903,0.348811972,0.692501883,1.549541988,0.216269079,0.04348193,0.42148854,0,4.863002747
20,SA1,Cell 187,2023,5.04165965,87551044.32,60,1,5444.301467,0,0,0,0,0,0,-4373760.893,0,AA,0,0,18763.5967,11031.58986,16301.68991,70294.9035,Lined Rock,198.682615,0,0,1576800,44925.1126,0,1,0,1,2.187859876,0.6678686,0.69288667,1.493044505,0.208246412,0.083254642,0.406658551,0,5.04165965
21,SA1,Cell 188,2023,5.010976916,87039926.06,60,1,5670.14662,0,0,0,0,0,0,-6225182.422,0,AA,0,0,18012.90679,13470.55358,15652.38436,55974.54843,Lined Rock,237.9400211,0,0,1576800,46858.39068,0,1,0,1,2.100328452,0.815527034,0.660749121,1.434372308,0.199914935,0.101661332,0.391257721,0,5.010976916
22,SA1,Cell 189,2023,5.269795668,91553122.32,60,1,5524.325147,0,0,0,0,0,0,-7537791.898,0,AA,0,0,18490.58367,16095.86349,16065.54863,59016.00676,Lined Rock,228.0160076,0,0,1576800,49006.63673,0,1,0,1,2.1560262,0.974467139,0.667595894,1.471706434,0.205216397,0.121474363,0.401057533,0,5.269795668
23,SA1,Cell 190,2023,5.383659541,93625551.07,60,1,5389.207198,0,0,0,0,0,0,-6265461.043,0,AA,0,0,18956.27182,15609.07291,16468.34331,82344.05896,Lined Rock,176.3042333,0,0,1576800,59048.83045,0,1,0,1,2.210326046,0.944996125,0.72023382,1.50810355,0.210384803,0.117800588,0.41061139,0,5.383659541
24,SA1,Cell 191,2023,5.312684585,92368347.1,60,1,5417.53796,0,0,0,0,0,0,-5798307.705,0,AA,0,0,18856.7043,14886.12888,16382.22287,78891.27073,Lined Rock,182.0236477,0,0,1576800,56357.59644,0,1,0,1,2.198716344,0.901228035,0.712418625,1.500321582,0.20927976,0.11234458,0.408568706,0,5.312684585
25,SA1,Cell 223,2023,5.046075793,87474420.83,60,1,5187.730078,0,0,0,0,0,0,-3599697.065,0,AA,0,0,19695.7234,8215.778396,17107.92832,67346.62653,Lined Rock,205.3899591,0,0,1576800,44839.10311,0,1,0,1,2.296547066,0.497395252,0.68623609,1.565897385,0.218591552,0.062003908,0.425781658,0,5.046075793
26,SA1,Cell 224,2023,4.902160809,85099725.72,60,1,5479.487357,0,0,0,0,0,0,-4221708.612,0,AA,0,0,18642.57236,9168.545386,16197.0105,68891.07363,Lined Rock,201.8134747,0,0,1576800,46038.34337,0,1,0,1,2.17374828,0.55507716,0.689749847,1.483585521,0.206903232,0.069194375,0.404175668,0,4.902160809
27,SA1,Cell 225,2023,4.946467685,85850835.48,60,1,5392.744349,0,0,0,0,0,0,-3836526.564,0,AA,0,0,18943.78347,8840.072744,16457.54157,71345.50577,Lined Rock,196.4328954,0,0,1576800,46709.07637,0,1,0,1,2.208869888,0.535190946,0.695279363,1.507127489,0.210246202,0.066715415,0.410355184,0,4.946467685
28,SA1,Cell 226,2023,5.060381916,87863759.52,60,1,5465.373123,0,0,0,0,0,0,-4450437.537,0,AA,0,0,18690.93209,11761.07204,16238.83901,65285.31748,Lined Rock,210.4426276,0,0,1576800,40190.02024,0,1,0,1,2.179387087,0.712032519,0.681597103,1.487365206,0.207439949,0.088759993,0.405167795,0,5.060381916
29,SA1,Cell 227,2023,5.077119361,88192485.99,60,1,5664.853552,0,0,0,0,0,0,-7301399.362,0,AA,0,0,18029.81551,14587.32203,15667.00948,53826.34276,Lined Rock,245.6531214,0,0,1576800,46381.69393,0,1,0,1,2.102300031,0.883137831,0.655987644,1.435693855,0.200102595,0.110089505,0.391604613,0,5.077119361
