,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Capacity factor,Unnamed: 0,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,NSW1,Cell 71,2021,5.937809335713007,103188674.7036882,60,1.0,4993.449572444422,-0.0,0.0,0.0,-0.0,0.0,0.0,-8846525.862649187,-0.0,AA,0,0,20465.274461521694,19850.20118240581,17773.547724498378,83905.27786900598,Lined Rock,173.86308517119895,0,0.0,1576800.0,52100.14189485742,0,1,0,1,0.28066261759377964,,,,,,,,,,
1,NSW1,Cell 86,2021,6.077945387466727,105512891.6446746,60,1.0,4863.787496942759,-0.0,0.0,0.0,-0.0,0.0,0.0,-9447979.33122724,-0.0,AA,0,0,19962.991075387363,22389.679345327277,18247.366757182845,84816.84794030494,Lined Rock,172.50407127191482,0,0.0,1576800.0,74990.95477334296,0,1,0,1,0.2688755621178266,,,,,,,,,,
2,NSW1,Cell 87,2021,5.883051426961139,102375123.63906428,60,1.0,5126.083119205066,-0.0,0.0,0.0,-0.0,0.0,0.0,-9839574.543043666,-0.0,AA,0,0,19933.590781606334,20169.783574579247,17313.67053983235,96871.61077372268,Lined Rock,156.71808191400538,0,0.0,1576800.0,63460.00554278934,0,1,0,1,0.2850280382734487,,,,,,,,,,
3,NSW1,Cell 88,2021,7.487416086715244,128419343.36545935,60,1.0,3445.346056557267,-0.0,0.0,0.0,-0.0,0.0,0.0,-8229357.816112792,-0.0,AA,0,0,16070.94128545882,40684.12709888528,25759.767764633976,118997.3688296942,Lined Rock,135.97778826268305,0,0.0,1576800.0,67774.02806608212,0,1,0,1,0.1983310138534341,,,,,,,,,,
4,NSW1,Cell 101,2021,6.37696254745736,111466591.0239918,60,1.0,5144.729474597119,-0.0,0.0,0.0,-0.0,0.0,0.0,-11509260.289348874,-0.0,AA,0,0,23268.147456766917,21144.19892523341,17250.919552511914,120000.0,Lined Rock,135.20962596339757,0,0.0,1576800.0,60642.10709982254,0,1,0,1,0.2619254131064515,,,,,,,,,,
5,NSW1,Cell 102,2021,7.79943055734492,135965081.5737072,60,1.0,4327.781318005294,-0.0,0.0,0.0,-0.0,0.0,0.0,-17869446.228437357,-0.0,AA,0,0,26412.62686620565,33723.38008908804,20507.347244295925,120000.0,Lined Rock,135.20962596339757,0,0.0,1576800.0,39671.86394850488,0,1,0,1,0.20556697143464686,,,,,,,,,,
6,NSW1,Cell 104,2021,6.900399448689751,120056937.67386924,60,1.0,4517.861126177348,-0.0,0.0,0.0,-0.0,0.0,0.0,-13164271.185563708,-0.0,AA,0,0,22628.411376122604,27449.62476022862,19644.542363524903,120000.0,Lined Rock,135.20962596339757,0,0.0,1576800.0,54544.77236931427,0,1,0,1,0.23616704961380713,,,,,,,,,,
7,NSW1,Cell 105,2021,6.298693630531936,109314709.10727312,60,1.0,4684.603070527126,-0.0,0.0,0.0,-0.0,0.0,0.0,-9304571.40072091,-0.0,AA,0,0,20843.604689487143,23159.24712990612,18945.32214353137,88527.94669997747,Lined Rock,167.18720931366795,0,0.0,1576800.0,80136.78470728584,0,1,0,1,0.25846216580240594,,,,,,,,,,
8,NSW1,Cell 106,2021,6.436699178826072,111335763.44008192,60,1.0,4415.207126176373,-0.0,0.0,0.0,-0.0,0.0,0.0,-9258015.787043383,-0.0,AA,0,0,19426.047535834343,26611.44298263685,20101.279905881343,84068.22006029279,Lined Rock,173.62016286636543,0,0.0,1576800.0,68859.23020320745,0,1,0,1,0.2469316066282062,,,,,,,,,,
9,NSW1,Cell 107,2021,7.440197795615244,127188151.16826887,60,1.0,3328.1878464048527,-0.0,0.0,0.0,-0.0,0.0,0.0,-8384388.919126817,-0.0,AA,0,0,13693.084729941824,43167.89668564239,26666.558013420858,117994.73765938792,Lined Rock,136.7459505619689,0,0.0,1576800.0,74628.16040645065,0,1,0,1,0.19829367197244765,,,,,,,,,,
10,NSW1,Cell 117,2021,5.204248675475276,90512495.9045549,60,1.0,5426.526739822327,-0.0,0.0,0.0,-0.0,0.0,0.0,-5726587.99817791,-0.0,AA,0,0,18825.330792960725,12849.098779857764,16355.086511307452,88160.21993861733,Lined Rock,167.68733588975138,0,0.0,1576800.0,43101.51913610025,0,1,0,1,0.3459251340023003,,,,,,,,,,
11,NSW1,Cell 118,2021,5.457794677893525,95003825.4419861,60,1.0,5338.812151781259,-0.0,0.0,0.0,-0.0,0.0,0.0,-6550132.649265471,-0.0,AA,0,0,19135.995200178422,15619.104931417967,16623.79416292081,99351.2912592478,Lined Rock,153.9400974929035,0,0.0,1576800.0,46032.22342053261,0,1,0,1,0.31797159420348003,,,,,,,,,,
12,NSW1,Cell 119,2021,5.599826308330212,97517820.68455525,60,1.0,5293.372938231,-0.0,0.0,0.0,-0.0,0.0,0.0,-6584042.092172525,-0.0,AA,0,0,19300.97847952779,17221.59525477297,16766.49563923882,105072.24584053796,Lined Rock,148.02974926660065,0,0.0,1576800.0,51093.30813722302,0,1,0,1,0.3027013449272851,,,,,,,,,,
