,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,Cell 1375,2023,3.15343658443524,97777213.66,60,0.39354832973278225,5886.755899566068,-13.864417890871557,-5.84926162423001,-9.844481664886414,-9.533724730780879,54617072.77173233,-34024227.35324594,-3850931.299083369,-26989.40016089663,AA,0,0,35778.60884698527,0.0,15076.438670109555,1439.9999999992078,Pipeline,998.7805697526097,31629.0,-5568531.707266623,1576800.0,1031.6735487258818,0,1,1,1
1,QLD1,Cell 1375,2023,5.350185390834316,97777213.66,60,0.9349125677194583,5093.26899445566,-3.0171143659891744,-2.1939499964726648,-2.0827838936015772,-2.7191277619408605,5873315.965792259,0.0,-3434847.745597066,-5873.315965792259,AA,0,0,18086.000881191972,20343.081269679842,17425.21637524496,74906.31374713147,Lined Rock,189.27311874910592,17853.0,-649207.1300520627,1576800.0,50780.97680559483,1,1,1,1
2,QLD1,Cell 1375,2023,4.424673869449767,97777213.66,60,0.6961058430998387,5248.621196642973,-5.572988560723693,-1.0095279682812262,-3.0500563725484664,-3.243688192729399,27444582.286613695,-20438215.79031803,-1904190.633287883,-10848.751064875454,AA,0,0,21276.25135758286,15199.140168528678,16909.45316123857,61847.391978200314,Lined Rock,219.58803967412473,28468.0,-2698740.711407006,1576800.0,51362.832180057645,24,1,1,1
3,QLD1,Cell 1375,2023,3.7379151122299867,97777213.66,60,0.5392136279593026,5823.121208424265,-6.444074122033257,-0.7036731318927347,-3.7170537101325762,-2.6935701471189155,41596583.71519584,-35778472.197419256,-1112379.175248295,-12544.464290891405,AA,0,0,30372.84191860116,0.0,15241.193014721734,41794.76871612922,Lined Rock,304.1728390835909,26850.0,-4125610.491002361,1576800.0,39196.10434021477,720,1,1,1
4,QLD1,Cell 1375,2023,3.1534364755397926,97777213.66,60,0.39294382005950534,5886.7558995663385,-13.892280908058753,-5.856645470615459,-9.863978799540396,-9.558814174783969,54671514.94813944,-34024476.33060558,-3796738.1000334355,-27043.640167687703,AA,0,0,35778.60884698425,0.0,15076.438670110587,1440.0,Pipeline,998.780569752609,31629.0,-5568531.952561427,1576800.0,1031.673548726461,8760,1,1,1
5,SA1,Cell 266,2023,3.23801880511124,92068543.7,60,0.44654057579247153,5029.935483871475,-11.195004555747824,-4.438799505862967,-2.629680435940373,-2.425517849275735,49844588.00291074,-34546361.82395933,-7475967.17202938,-21792.942201855763,AA,0,0,29952.52691006341,0.0,17644.62279293711,4688.089887640172,Pipeline,996.0300009642527,26479.0,-4731608.69358218,1576800.0,4328.089887640172,0,1,1,1
6,SA1,Cell 266,2023,5.079807352685391,92068543.7,60,0.9841275271829276,5317.907222895753,-0.735820877582826,-0.396248741002265,-0.11606476442184605,-0.22710520913050183,1432397.9750279011,0.0,-4014258.984668058,-1432.397975027901,AA,0,0,19211.54782492855,12202.84838972307,16689.14303423718,109634.5882446519,Lined Rock,143.74713181341951,24052.0,-470722.4608072453,1576800.0,61946.838442876004,1,1,1,1
7,SA1,Cell 266,2023,3.867293092664118,92068543.7,60,0.6643194703669956,4827.344134575009,-3.7568670916390325,-0.7906881374819774,-1.8461364625512557,-0.31463387670060056,30329720.23002488,-28345261.442899298,-1354239.238726702,-7313.36793839065,AA,0,0,24148.22376472763,1424.8395877118116,18385.122711688735,81899.9979398262,Lined Rock,176.9985643513163,22444.0,-3232801.959865505,1576800.0,49822.41512119136,24,1,1,1
8,SA1,Cell 266,2023,3.3827221858565366,92068543.7,60,0.5570400351859729,4913.507808140095,-5.685147033518824,-0.07275544962176259,-2.294567140612151,-0.6917878870498262,40021976.816776454,-35658732.25557448,-1178220.3191145333,-11067.086225249976,AA,0,0,25455.288842575686,0.0,18062.71970071717,63852.65446288298,Lined Rock,214.11286951825016,22503.0,-4315561.361311831,1576800.0,51951.26286131803,720,1,1,1
9,SA1,Cell 266,2023,3.2381150677153054,92068543.7,60,0.43562376158133215,5034.090235607459,-11.702052247439914,-4.506151694427421,-2.667342222400809,-2.582156622667421,50827756.92705752,-34541578.676569566,-6370025.1464477675,-22779.99504168303,AA,0,0,29921.20577111488,0.0,17630.06027543058,4774.955352943786,Pipeline,995.9564409810271,26451.0,-4729830.772210132,1576800.0,4414.955352943786,8760,1,1,1
10,TAS1,Cell 20,2023,3.449963829072033,46261222.57782895,60,0.9323454225124348,7412.307692308396,9.871125127957045,2.4651015644779277,2.878507995469822,1.9083299204055646,6092975.191825931,-31168430.345955227,1.3717457392203869e-08,19215.790249089714,AA,0,0,13744.419822712889,0.0,11973.506493506491,949.0909090909078,Pipeline,999.1962846096742,12151.0,1573095.5046860687,1576800.0,657.9340638467853,0,1,1,1
11,TAS1,Cell 20,2023,4.512774095520381,78396332.02,60,0.9999693820943011,5352.368665565477,-0.0014193827196925207,-0.0003610442175712941,-2.623292793239841e-15,-0.0002102789214359305,2763.0650276681067,0.0,4.3622634393614135e-09,-2.7630650276681066,AA,0,0,19087.31597927413,0.0,16581.68931013545,104572.84273171621,Lined Rock,148.5190820337164,2764.0,-3806.8423513799976,1576800.0,35314.46493148106,1,1,1,1
12,TAS1,Cell 20,2023,4.18322166602304,78396332.02,60,0.7802718763372612,5760.6717319365325,-4.223041872022628,-0.9832005374755373,0.16787321552959686,-0.42094726694196555,19837671.32478121,-14306424.23716399,-636478.7850230781,-8220.854844204048,AA,0,0,20399.54887001388,0.0,15406.417587325144,78027.4536447915,Lined Rock,183.5150319419715,18034.0,-716159.9623317341,1576800.0,16540.896825453547,24,1,1,1
13,TAS1,Cell 20,2023,3.582284855037098,74627457.54813725,60,0.45351454533110974,7068.549649889987,-17.087886494080976,-4.680467418477098,-1.0883901776750788,-2.2504625072779816,49216511.89977801,-19645434.554146606,-6127968.3525374895,-33264.419041810965,AA,0,0,26598.39159412529,0.0,12555.802630188446,1198.3243379751575,Pipeline,998.9852271222836,23513.0,-1651298.8631294498,1576800.0,0.0,720,1,1,1
14,TAS1,Cell 20,2023,3.496365642190454,58493350.331067726,60,0.7231882234418827,7085.580257085704,-2.407592840458506,-0.6372364352320363,1.081309102439775,-1.0685106331497828e-14,24929684.73099229,-24929684.7309931,1.1888182882557885e-08,-4686.780729425892,AA,0,0,19047.94660098835,0.0,12525.624023094433,1161.4586966153336,Pipeline,999.0164459265638,16839.0,148561.58159662122,1576800.0,896.8661967170514,8760,1,1,1
15,NSW1,Cell 2127,2023,4.508747672460986,21413483.77019231,60,1.0,6022.499999999798,37.56614760000381,32.26180113898842,33.91558446930818,38.83868571428212,0.0,-90060058.28572339,1.062142018781742e-08,73128.7673280074,AA,0,0,0.0,0.0,14736.623376623376,1620.0,Pipeline,998.6281409716852,14954.0,6930858.649807896,1576800.0,1620.0,0,1,1,1
16,NSW1,Cell 2127,2023,6.407806595310693,115232529.5,60,0.9339575934924679,4101.844630675467,-3.0634236179457126,-2.2046848845457756,-1.8874811683315305,-2.571763037287753,5963464.6429343205,0.0,-1967280.7002481392,-5963.46464293432,AA,0,0,17207.745982038992,31219.33838812505,21636.927352633793,119999.99999999999,Lined Rock,135.2096259633977,28336.0,-605479.9126128375,1576800.0,73814.92235599578,1,1,1,1
17,NSW1,Cell 2127,2023,5.546811697149513,115081540.38980252,60,0.5495149528813134,5300.718293841334,-11.112322393231695,-2.7309313826791533,-4.532508508796043,-7.426946387450159,40680339.50967867,-23458561.47477952,-3192872.892500484,-21631.9875921577,AA,0,0,19274.11688013841,35337.950621993776,16743.261830914507,67863.17914408162,Lined Rock,204.145769994146,41011.0,-2388273.139229732,1576800.0,66234.81589637698,24,1,1,1
18,NSW1,Cell 2127,2023,5.129884134479625,106704894.60078911,60,0.4329737073691288,5859.986988561391,-15.427677142118345,-6.910819646441198,-6.5981580532351565,-10.851465111813935,51066420.96386661,-25903788.33400193,-7455223.144726717,-30032.544836657038,AA,0,0,18151.568961239638,43082.61009588562,15145.309103748863,1740.7964239850953,Pipeline,998.5258473514184,49187.0,-2409540.708227353,1576800.0,1740.7964239850953,720,1,1,1
19,NSW1,Cell 2127,2023,4.9147863158810345,83280905.1055232,60,0.6438266677649009,5878.058056994863,-3.0978463969780763,3.0096442092581026,2.772986379682237,1.6979714663445767e-13,32076991.06090963,-32076991.060910065,-1.6043344430727302e-10,-6030.474319450654,AA,0,0,12418.256092029336,32739.483822866703,15098.747481763769,1620.0,Pipeline,998.6281409716852,36162.0,45278.1028530137,1576800.0,1620.0,8760,1,1,1
20,VIC1,Cell 36,2023,3.3177280296890492,25149579.402900644,60,1.0,5474.99999999965,37.56614760000042,26.572247708491762,39.36398128263172,45.12141428571764,0.0,-90060058.28571528,7.73070496506989e-11,73128.76732800082,AA,0,0,0.0,0.0,16210.285714285714,3384.0,Pipeline,997.1343389186312,16450.0,3751748.300640969,1576800.0,3276.0,0,1,1,1
21,VIC1,Cell 36,2023,4.971592464012473,86904325.72,60,0.9863637948179168,5401.8524178134585,-0.6322649122203057,-0.4380906876577131,-0.4984449474869027,-0.6166534329062248,1230809.029122195,0.0,-3141721.506367301,-1230.809029122195,AA,0,0,18911.70156958106,8813.701674762691,16429.792489895368,97319.42501688474,Lined Rock,156.20483555912395,6780.0,-58401.81227579621,1576800.0,78213.50134588584,1,1,1,1
22,VIC1,Cell 36,2023,4.3223702901640335,86904325.72,60,0.7643392390642288,5168.888641129036,-3.9501573661412404,0.701122465350204,-1.5399342310026296,-2.2753722540242203,21286803.674376078,-16745275.864065431,-1366967.9480476498,-7689.639672754947,AA,0,0,19767.821813116636,7610.513867396164,17170.289485349145,63852.65446285714,Lined Rock,214.11286951832074,23329.0,-1561333.641859228,1576800.0,55564.529232557805,24,1,1,1
23,VIC1,Cell 36,2023,3.8098041706118164,86904325.72,60,0.45726480094671007,5604.00869885708,-14.570000240936425,-5.988624708934063,-7.399013610709048,-11.830442060283513,48878763.66044778,-25265800.31784672,-9618366.234712293,-28362.933802356238,AA,0,0,29186.183038751482,0.0,15837.112155768773,3573.8118910808307,Pipeline,996.9736011677296,25801.0,-2750775.9727309793,1576800.0,3573.8118910808307,720,1,1,1
24,VIC1,Cell 36,2023,3.622385313165209,70397384.84332515,60,0.6612184217220629,5522.608695651956,-2.9465802087010204,1.9189515284300818,2.6749890612577634,-6.656246105060624e-16,30510688.68583997,-30510688.68583988,9.44613987030607e-09,-5736.009472937986,AA,0,0,21319.488661508596,0.0,16070.54187192118,3482.068965517241,Pipeline,997.0512915138521,18847.0,-1144063.6323529622,1576800.0,3337.9541304700524,8760,1,1,1
