,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,Cell 1375,2021,5.743026195,99783149.74,60,1,5232.84377,0,0,0,0,0,0,-9767611.432,0,AA,0,0,19525.20176,20365.3793,16960.43646,64940.22469,Lined Rock,211.3266974,0,0,1576800,10858.78053,0,1,0,1,2.276664021,1.232949877,0.680842492,1.552569806,0.21669903,0.153696102,0.42228331,0,5.743026195
1,QLD1,Cell 1375,2021,3.340572289,98774609.65,60,0.421245817,6824.418125,-14.76960634,-8.822122806,-10.67579261,-10.80576358,52122635.48,-28782186.14,-1888913.713,-28751.50033,AA,0,0,37564.98595,0,13004.96433,1421.052017,Pipeline,998.7966154,33208,-5192440.129,1576800,0,0,1,1,1,4.380126413,0,0.070415057,1.195147568,0.416912262,0,0.328463766,-2.305116749,3.340572289
2,QLD1,Cell 1375,2021,5.245930904,99783149.74,60,0.91935053,5019.563724,-3.73854372,-2.926133678,-3.005596488,-3.369304834,7277698.442,0,-1388768.258,-7277.698442,AA,0,0,18690.58307,21085.38436,17681.0813,65824.35205,Lined Rock,209.0617116,32499,-1149620.293,1576800,10901.8947,1,1,1,1,2.179346391,1.276540038,0.682715235,1.617688325,0.207436075,0.15912993,0.439376231,-0.510359085,5.245930904
3,QLD1,Cell 1375,2021,4.134363992,99783149.74,60,0.660012783,6133.4232,-8.676146823,-3.849811335,-5.454635205,-6.341034203,30680314.4,-16983680.52,-1725053.69,-16889.56582,AA,0,0,21638.85709,19921.92285,14470.11096,49815.89718,Lined Rock,261.9175591,34454,-3535874.608,1576800,2544.46986,24,1,1,1,2.523118992,1.206102375,0.647308144,1.327540357,0.24015728,0.150349367,0.363215468,-1.569705876,4.134363992
4,QLD1,Cell 1375,2021,3.379666251,99783149.74,60,0.422539161,6985.885078,-16.13525855,-9.939136383,-11.93878264,-12.33397903,52006156.8,-25364762.1,-1859442.099,-31409.96997,AA,0,0,36576.51111,3200.264382,12704.37651,1517.179086,Pipeline,998.7152125,34796,-5230717.662,1576800,0,720,1,1,1,4.264868956,0.193748691,0.075172157,1.167986013,0.405941746,0.024152173,0.321334146,-2.322109566,3.379666251
6,QLD1,Cell 1375,2021,3.340572289,98774609.65,60,0.421245817,6824.418125,-14.76960634,-8.822122806,-10.67579261,-10.80576358,52122635.48,-28782186.14,-1888913.713,-28751.50033,AA,0,0,37564.98595,0,13004.96433,1421.052017,Pipeline,998.7966154,33208,-5192440.129,1576800,0,8760,1,1,1,4.380126413,0,0.070415057,1.195147568,0.416912262,0,0.328463766,-2.305116749,3.340572289
7,SA1,Cell 266,2021,5.216802032,90857274.23,60,1,5393.155055,0,0,0,0,0,0,-5260471.358,0,AA,0,0,18942.33448,11755.88413,16456.28827,112987.4285,Lined Rock,140.8222002,0,0,1576800,69675.67567,0,1,0,1,2.208700934,0.711718436,0.789368423,1.507014239,0.21023012,0.08872084,0.410325457,0,5.216802032
8,SA1,Cell 266,2021,3.052715705,20124090.29,60,1,6527.058824,37.5661476,29.00327984,14.48524217,14.27892857,0,-90060058.29,6.43E-11,73128.76733,AA,0,0,0,0,13597.44361,1861.578947,Pipeline,998.4235655,13798,3856000.274,1576800,0,0,1,1,1,0,0,0.092209312,1.248684861,0,0,0.342516737,1.711821532,3.052715705
9,SA1,Cell 266,2021,5.185296249,90857274.23,60,0.982030523,5393.155055,-0.832972553,-0.49323197,-0.161226081,-0.257090294,1621519.903,0,-3657002.592,-1621.519903,AA,0,0,18942.33448,11755.88413,16456.28827,112987.4285,Lined Rock,140.8222002,9043,-70969.02704,1576800,69675.67567,1,1,1,1,2.208700934,0.711718436,0.789368423,1.507014239,0.21023012,0.08872084,0.410325457,-0.031505783,5.185296249
10,SA1,Cell 266,2021,4.533483858,90857274.23,60,0.717741623,5307.950297,-3.897592539,-0.443239505,-1.542670272,-0.545865531,25487725.63,-22044842.55,-2358041.022,-7587.313475,AA,0,0,22623.64066,4299.209084,16720.44939,108159.5872,Lined Rock,145.0897292,23307,-1518605.927,1576800,62958.0633,24,1,1,1,2.637946042,0.260280412,0.778538673,1.530884223,0.251086829,0.032445832,0.416591075,-0.674165493,4.533483858
11,SA1,Cell 266,2021,4.146536605,90857274.23,60,0.428557651,7271.797536,-17.45711593,-9.39913319,-3.080886089,-4.746301553,51464131.23,-21528258.08,-13165389.51,-33983.18568,AA,0,0,32566.83624,3384.571263,12204.86597,1592.592658,Pipeline,998.6513502,31393,-2382002.129,1576800,0,720,1,1,1,3.79733563,0.204906899,0.078903652,1.122849512,0.361440661,0.025543124,0.309486293,-1.057459088,4.146536605
12,SA1,Cell 266,2021,3.685696268,68915908.6,60,0.647083446,6657.6,-3.069520304,1.52584047,1.627989714,2.22E-13,31783685.42,-31783685.42,1.77E-10,-5975.332859,AA,0,0,23109.7726,0,13330.82707,1866.315789,Pipeline,998.4195542,20430,-734270.6283,1576800,0,8760,1,1,1,2.694629662,0,0.09244357,1.224593001,0.256482129,0,0.336192879,-0.325969964,3.685696268
13,TAS1,Cell 20,2021,4.401316463,76258668.41,60,1,5415.777114,0,0,0,0,0,0,8.38E-09,0,AA,0,0,18862.86237,0,16387.54927,73933.84413,Lined Rock,191.1372325,0,0,1576800,27814.03284,0,1,0,1,2.199434384,0,0.701079197,1.500802882,0.209348105,0,0.408695042,0,4.401316463
14,TAS1,Cell 20,2021,2.656188038,14794259.34,60,1,8259.428571,37.5661476,14.36027117,5.807249645,6.853885714,0,-90060058.29,4.96E-11,73128.76733,AA,0,0,0,0,10745.45455,360,Pipeline,999.6951424,10904,3710792.775,1576800,349.0909091,0,1,1,1,0,0,0.017854537,0.990974964,0,0,0.274870624,1.647358538,2.656188038
