,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L,,,,,
0,QLD1,Cell 1375,2021,3.614913015,24479096.76,60,1,5232.84377,37.5661476,36.64599038,39.51885019,41.69447143,0,-90060058.29,0,73128.76733,AA,0,0,0,0,16960.43646,1698.585719,Pipeline,998.5615925,17211,4456027.306,1576800,0,0,0,0,1,0,0.953455523,0.930101279,1.003016502,1.058235315,-0.023354244,-0.055218813,,,,,
1,QLD1,Cell 1375,2021,3.618392777,30806755.98,60,0.980985899,5232.84377,33.22753375,32.81641127,35.17566239,37.06261725,1712411.009,-81767664.27,0,64682.93238,AA,0,0,1952.520176,2036.53793,16960.43646,1698.585719,Pipeline,998.5615925,17211,3673300.118,1576800,0,0,0.1,0,1,0.235197845,0.84333842,0.832903839,0.892783309,0.940675565,-0.010434581,-0.047892256,,,,,
2,QLD1,Cell 1375,2021,3.622167537,37129433.69,60,0.961310961,5232.84377,28.88317222,28.9771806,30.82878319,32.43076307,3484337.14,-73534785.37,0,56225.90858,AA,0,0,3905.040352,4073.075859,16960.43646,1693.589856,Pipeline,998.5658231,17211,2891794.134,1576800,0,0,0.2,0,1,0.47039569,0.733075437,0.735461437,0.782456426,0.823115814,0.002385999,-0.040659388,,,,,
3,QLD1,Cell 1375,2021,3.626309475,43434959.2,60,0.940105439,5232.84377,24.52549831,25.14781628,26.4825571,27.79890889,5394107.676,-65439750.88,0,47742.97004,AA,0,0,5857.560528,6109.613789,16960.43646,1671.392889,Pipeline,998.5846201,17211,2113032.041,1576800,0,0,0.3,0,1,0.705593535,0.622474576,0.638269449,0.672146119,0.705556063,0.015794872,-0.033409944,,,,,
4,QLD1,Cell 1375,2021,3.630989939,49753991.79,60,0.91840291,5232.84377,20.16350164,21.31865001,22.13066631,23.16705471,7348638.676,-57389476.85,0,39251.61652,AA,0,0,7810.080704,8146.151718,16960.43646,1662.741832,Pipeline,998.5919461,17211,1333973.568,1576800,0,0,0.4,0,1,0.94079138,0.511764001,0.541082488,0.561692038,0.587996312,0.029318487,-0.026304274,,,,,
5,QLD1,Cell 1375,2021,3.636563017,56075107.9,60,0.89390305,5232.84377,15.77717495,17.48384934,17.77303311,18.53520053,9555097.539,-49591130.68,0,30712.90058,AA,0,0,9762.60088,10182.68965,16960.43646,1656.18027,Pipeline,998.5975026,17211,556692.9372,1576800,0,0,0.5,0,1,1.175989225,0.400435912,0.443752521,0.451092211,0.470436562,0.043316609,-0.019344351,,,,,
6,QLD1,Cell 1375,2021,3.644524722,62409310.24,60,0.862231921,5232.84377,11.35519688,13.66317578,13.44591648,13.93300418,12407401.21,-42502690.23,-64060.91041,22104.78326,AA,0,0,11715.12106,12219.22758,16960.43646,1662.741832,Pipeline,998.5919461,19756,-216669.5634,1576800,0,0,0.6,0,1,1.41118707,0.288202966,0.346781111,0.341266916,0.353629548,0.058578145,-0.012362632,,,,,
7,QLD1,Cell 1375,2021,3.656749481,68750827.06,60,0.820394677,5232.84377,6.914912645,9.859856174,9.190809134,9.40862749,16175265.84,-36497901.22,-296212.2913,13461.02995,AA,0,0,13667.64123,14255.76551,16960.43646,1676.638734,Pipeline,998.5801778,23049,-981246.642,1576800,0,0,0.7,0,1,1.646384915,0.175505397,0.250250157,0.233269267,0.238797652,0.07474476,-0.005528385,,,,,
8,QLD1,Cell 1375,2021,3.672491741,75079641.02,60,0.769121585,5232.84377,2.428229547,6.062935438,4.978332634,4.923840965,20792923.55,-31428420.03,-613878.4256,4726.953518,AA,0,0,15620.16141,16292.30344,16960.43646,1677.796757,Pipeline,998.5791971,26341,-1736480.72,1576800,0,0,0.8,0,1,1.88158276,0.061630192,0.15388161,0.12635362,0.124970583,0.092251419,0.001383037,,,,,
9,QLD1,Cell 1375,2021,3.691355783,81403202.7,60,0.710637156,5232.84377,-2.077941474,2.272055281,0.813121193,0.487038804,26060034.59,-27112038.4,-1035190.786,-4045.059403,AA,0,0,17572.68158,18328.84137,16960.43646,1673.687551,Pipeline,998.5826769,29634,-2484095.806,1576800,0,0,0.9,0,1,2.116780605,-0.052739631,0.057666378,0.020637594,0.012361391,0.110406009,0.008276203,,,,,
