,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_Market,EI_AEF-EI_L,,,,,,
0,QLD1,Cell 1375,2023,4.057453483,24294768.26,60,1,5292.048056,37.5661476,27.65068466,35.14144592,41.69447143,0,-90060058.29,3.81E-11,73128.76733,AA,0,0,0,0,16770.69319,1769.34717,Pipeline,998.5016698,17018,5483618.194,1576800,1253.869434,0,0,0,1,,0,0.953455523,0.701794027,0.891914871,1.058235315,-0.251661496,-0.166320445,,,,,,
1,QLD1,Cell 1375,2023,4.033141206,30407041.63,60,0.976657954,5292.048056,33.18105559,24.85520535,31.25652841,37.05281076,2102185.988,-82136257.22,2.68E-10,64592.45488,AA,0,0,1930.583145,1878.576342,16770.69319,1769.34717,Pipeline,998.5016698,17018,4665591.125,1576800,1240.160555,0,0.1,0,1,,0.227131905,0.842158771,0.630842775,0.793312904,0.940426669,-0.211315996,-0.147113765,,,,,,
2,QLD1,Cell 1375,2023,4.009127011,36519314.99,60,0.952474571,5292.048056,28.78864597,22.06142115,27.37477542,32.41115008,4280142.942,-74288227.13,5.37E-10,56041.89748,AA,0,0,3861.166289,3757.152684,16770.69319,1769.34717,Pipeline,998.5016698,17018,3848235.508,1576800,1226.451677,0,0.2,0,1,,0.454263809,0.730676294,0.559934547,0.694791254,0.822618022,-0.170741747,-0.127826768,,,,,,
3,QLD1,Cell 1375,2023,3.985394454,42630367.87,60,0.927049821,5292.048056,24.38543947,19.27402793,23.4914593,27.76948941,6569897.355,-66551994.49,9.02E-11,47470.32217,AA,0,0,5791.749434,5635.729026,16770.69319,1768.123014,Pipeline,998.5027065,17018,3031650.693,1576800,1211.518642,0,0.3,0,1,,0.681395714,0.618919784,0.489188526,0.596229931,0.704809376,-0.129731258,-0.108579444,,,,,,
4,QLD1,Cell 1375,2023,3.961965732,48741843.59,60,0.90081222,5292.048056,19.97516312,16.47406131,19.60723343,23.12782874,8932857.291,-58888967.37,6.99E-10,38884.98422,AA,0,0,7722.332579,7514.305367,16770.69319,1767.322981,Pipeline,998.503384,17018,2215703.032,1576800,1197.00973,0,0.4,0,1,,0.908527619,0.506983836,0.418123384,0.497645518,0.587000729,-0.088860452,-0.089355211,,,,,,
5,QLD1,Cell 1375,2023,3.938886219,54839130.2,60,0.873099354,5292.048056,15.55205556,13.68020374,15.71980214,18.48616807,11428679.53,-51358802.56,-2.53E-10,30274.66815,AA,0,0,9652.915723,9392.881709,16770.69319,1752.291422,Pipeline,998.5161131,17018,1402127.659,1576800,1168.269293,0,0.5,0,1,,1.135659523,0.394722222,0.347213293,0.39897975,0.469192083,-0.047508929,-0.070212333,,,,,,
6,QLD1,Cell 1375,2023,3.917546186,60948732.87,60,0.84248142,5292.048056,11.15599009,10.8984597,11.87257069,13.90256509,14186132.5,-44215673.1,-125404.6138,21716.99405,AA,0,0,11583.49887,11271.45805,16770.69319,1749.612783,Pipeline,998.5183814,17891,591094.2407,1576800,1151.881775,0,0.6,0,1,,1.362791428,0.283146957,0.276610652,0.301334281,0.352856982,-0.006536305,-0.051522701,,,,,,
7,QLD1,Cell 1375,2023,3.900785244,67061788.74,60,0.803530172,5292.048056,6.851943316,8.130839404,8.159872655,9.501537968,17694084.14,-38217406.16,-645173.0844,13338.44965,AA,0,0,13514.08201,13150.03439,16770.69319,1750.397618,Pipeline,998.5177168,20873,-210010.3533,1576800,1138.957731,0,0.7,0,1,,1.589923333,0.173907191,0.206366482,0.207103367,0.241155786,0.032459291,-0.034052419,,,,,,
8,QLD1,Cell 1375,2023,3.887895711,73179747.7,60,0.758190511,5292.048056,2.617389125,5.374452789,4.551547394,5.239310217,21777376.66,-33094286.72,-1464748.192,5095.184164,AA,0,0,15444.66516,15028.61073,16770.69319,1756.100145,Pipeline,998.5128878,24047,-1002942.255,1576800,1130.95138,0,0.8,0,1,,1.817055237,0.066431196,0.136407431,0.115521507,0.132977417,0.069976235,-0.017455909,,,,,,
9,QLD1,Cell 1375,2023,3.878019965,79289418.15,60,0.706453192,5292.048056,-1.597875069,2.634333331,1.003244223,1.060251485,26436842.65,-28726985.85,-2463968.382,-3110.530134,AA,0,0,17375.2483,16907.18708,16770.69319,1753.489477,Pipeline,998.5150985,27053,-1788159.125,1576800,1114.631834,0,0.9,0,1,,2.044187142,-0.040555205,0.066861252,0.025463051,0.026909936,0.107416457,-0.001446885,,,,,,
