,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,Cell 1375,2021,3.6400345771461238,25315173.192580156,60,1.0,5066.751010049722,37.60315858285714,36.816543139270294,42.091443143763215,40.55215714285714,0.0,-90060058.2857143,0.0,73200.81537462857,AA,0,0,0.0,0.0,17516.415176052502,1788.0801865114531,Pipeline,998.4858062054219,17775.0,4389476.676980473,1576800.0,0.0,0,0.0,0,1,0.0,0.0,0.08857423012025305,1.6028088542009529,0.0,0.0,0.4354705273873437,1.9486514928249181,3.6400345771461238
1,QLD1,Cell 1375,2021,3.6499885625087765,31745408.52655239,60,0.9799100035941141,5066.751010049722,33.28581179272401,32.97289437323806,37.52050858762057,36.08386169284322,1809306.2472738838,-81945972.60963331,0.0,64796.380289836074,AA,0,0,2016.7992526080918,2023.6435720566224,17516.415176052502,1767.6727171629946,Pipeline,998.5030877925026,17775.0,3608482.2358334498,1576800.0,0.0,0,0.1,0,1,0.23516142633933668,0.12251434441095502,0.087564842502094,1.6028088542009529,0.022383299670625065,0.015272297379169082,0.4354705273873437,1.6019390950554382,3.649988562508777
2,QLD1,Cell 1375,2021,3.6603106246473853,38184942.242177226,60,0.9589832561411661,5066.751010049722,28.961218261584783,29.132112386886853,32.94448347053417,31.615566242829296,3693970.342616804,-73907244.78162137,0.0,56377.83821588504,AA,0,0,4033.5985052161836,4047.2871441132447,17516.415176052502,1756.592008800493,Pipeline,998.5124712306551,17775.0,2827277.796942114,1576800.0,0.0,0,0.2,0,1,0.47032285267867335,0.24502868882191003,0.08701675744694062,1.6028088542009529,0.04476659934125013,0.030544594758338164,0.4354705273873437,1.2551334714989089,3.6603106246473853
3,QLD1,Cell 1375,2021,3.670999475376498,44601464.31632503,60,0.9371983056995675,5066.751010049738,24.629192203397942,25.29554871736452,28.363416872740117,27.14727079281537,5655924.249138584,-65945806.76478828,0.0,47944.82748928133,AA,0,0,6050.397757824277,6070.930716169868,17516.415176052502,1722.4320891164662,Pipeline,998.5413987579545,17775.0,2049471.182969176,1576800.0,0.0,0,0.30000000000000004,0,1,0.70548427901801,0.36754303323286514,0.08532704048325442,1.6028088542009529,0.06714989901187522,0.045816892137507254,0.4354705273873437,0.909836268441415,3.6709994753764974
4,QLD1,Cell 1375,2021,3.6823138467746253,51035331.73838847,60,0.9139751643983036,5066.751010049744,20.28471059261405,21.48143481223578,23.780579366192878,22.67897534280145,7747401.708307796,-58113892.30060262,0.0,39487.56995362201,AA,0,0,8067.197010432367,8094.574288226489,17516.415176052502,1705.6694949765924,Pipeline,998.5555937678982,17775.0,1271135.2137780266,1576800.0,0.0,0,0.4,0,1,0.9406457053573467,0.49005737764382007,0.08449784460255448,1.6028088542009529,0.08953319868250026,0.06108918951667633,0.4354705273873437,0.5643040649699509,3.6823138467746253
5,QLD1,Cell 1375,2021,3.6945513046614855,57485913.092655726,60,0.8881669667583991,5066.751010049749,15.91784092048496,17.656998619648025,19.182593123139757,18.210679892787528,10071689.49200685,-50514788.16094681,0.0,30986.730325210716,AA,0,0,10083.996263040459,10118.217860283112,17516.415176052502,1705.6694949765924,Pipeline,998.5555937678982,17775.0,493010.7398879438,1576800.0,0.0,0,0.5,0,1,1.1758071316966832,0.6125717220547751,0.08449784460255448,1.6028088542009529,0.11191649835312534,0.0763614868958454,0.4354705273873437,0.21886575210651993,3.6945513046614855
6,QLD1,Cell 1375,2021,3.7089051206820716,63936494.44692299,60,0.8556571567198473,5066.751010049722,11.515417277385604,13.830881347412197,14.604357266770123,13.766633687411238,12999524.878936274,-43573085.43993633,-53853.81541497528,22416.678966643973,AA,0,0,12100.795515648553,12141.861432339736,17516.415176052502,1705.6694949765924,Pipeline,998.5555937678982,20037.0,-280346.48613748717,1576800.0,0.0,0,0.6000000000000001,0,1,1.41096855803602,0.7350860664657303,0.08449784460255448,1.6028088542009529,0.13429979802375044,0.09163378427501451,0.4354705273873437,-0.12445620262318684,3.7089051206820702
7,QLD1,Cell 1375,2021,3.72734825039442,70381833.62556207,60,0.8131807826180617,5066.751010049754,7.097728833779752,10.028498058799373,10.102239222408482,9.399210952232773,16824949.606308993,-37699140.91543665,-277876.48689744767,13816.912129757915,AA,0,0,14117.594768256644,14165.505004396358,17516.415176052502,1700.4121552859694,Pipeline,998.5600458227868,23377.0,-1043906.4149845669,1576800.0,0.0,0,0.7000000000000001,0,1,1.646129984375357,0.8576004108766853,0.08423777471691807,1.6028088542009529,0.1566830976943755,0.10690608165418358,0.4354705273873437,-0.4634287737754926,3.7273482503944204
8,QLD1,Cell 1375,2021,3.7490063029551832,76843265.3949735,60,0.7614748769542504,5066.7510100497575,2.6334075684558345,6.237021220442644,5.648705545706865,5.067699940374659,21481586.484107528,-32736162.915069167,-581653.5320862869,5126.366733260691,AA,0,0,16134.394020864735,16189.148576452979,17516.415176052502,1711.2940094496132,Pipeline,998.5508307796515,26716.0,-1802022.8869977007,1576800.0,0.0,0,0.8,0,1,1.8812914107146934,0.9801147552876401,0.08477607530541666,1.6028088542009529,0.17906639736500052,0.12217837903335266,0.4354705273873437,-0.79998479255352,3.7490063029551832
9,QLD1,Cell 1375,2021,3.7736100772979135,83291358.34755659,60,0.7027264841356604,5066.751010049759,-1.857043086502795,2.439411652110914,1.229340956667291,0.7737855612760882,26772470.165541828,-28490928.01486596,-968926.873803639,-3615.043875058774,AA,0,0,18151.193273472825,18212.7921485096,17516.415176052502,1708.7983798604778,Pipeline,998.5529441450733,30056.0,-2552013.2647664193,1576800.0,0.0,0,0.9,0,1,2.11645283705403,1.1026290996985952,0.08465262306205125,1.6028088542009529,0.2014496970356256,0.13745067641252173,0.4354705273873437,-1.1329333367177152,3.7736100772979135
