,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L
0,QLD1,Cell 1375,2023,4.05621893,25085566.31,60,1,5119.291196,37.60315858,27.60737324,36.50010443,40.55215714,0,-90060058.29,0,73200.81537,AA,0,0,0,0,17336.64113,1800,Pipeline,998.4757122,17593,5362225.862,1576800,1163.863313,0,0,0,1,0,0,0.089163788,1.586564209,0,0,0.43120648,2.380490933,4.05621893,0,0.954394888,0.700694752,0.92639859,1.029242567,-0.253700136,-0.102843978
1,QLD1,Cell 1375,2023,4.036625033,31314396.81,60,0.975219959,5119.291196,33.23521491,24.81974966,32.46232505,36.07310072,2231691.926,-82344459.83,0,64697.88502,AA,0,0,1996.014806,1857.428777,17336.64113,1800,Pipeline,998.4757122,17593,4540525.454,1576800,1149.689811,0,0.1,0,1,0.232737933,0.112451457,0.089163788,1.586564209,0.022152625,0.014017886,0.43120648,2.015707647,4.036625033,0.222271636,0.843533373,0.629942885,0.82391688,0.915560932,-0.213590488,-0.091644052
2,QLD1,Cell 1375,2023,4.017308187,37543227.32,60,0.949261117,5119.291196,28.85706214,22.03521289,28.42003109,31.59404429,4569546.773,-74735024.29,0,56175.08097,AA,0,0,3992.029612,3714.857554,17336.64113,1800,Pipeline,998.4757122,17593,3719449.119,1576800,1135.516308,0,0.2,0,1,0.465475865,0.224902915,0.089163788,1.586564209,0.04430525,0.028035772,0.43120648,1.65120141,4.017308187,0.444543272,0.732412745,0.559269363,0.721320586,0.801879297,-0.173143382,-0.080558711
3,QLD1,Cell 1375,2023,3.998310634,43772057.82,60,0.922584536,5119.291196,24.47269335,19.24809077,24.38233512,27.11498787,6972041.177,-67190228.31,0,47640.1764,AA,0,0,5988.044418,5572.286331,17336.64113,1800,Pipeline,998.4757122,17593,2899092.017,1576800,1121.342806,0,0.3,0,1,0.698213798,0.337354372,0.089163788,1.586564209,0.066457875,0.042053658,0.43120648,1.287014467,3.998310634,0.666814907,0.621134349,0.488530223,0.618840993,0.688197662,-0.132604126,-0.069356669
4,QLD1,Cell 1375,2023,3.979674515,49998707.98,60,0.894158406,5119.291196,20.07317247,16.46853934,20.33573448,22.63593144,9532100.135,-59802996.89,0,39075.77574,AA,0,0,7984.059224,7429.715108,17336.64113,1797.812988,Pipeline,998.4775642,17593,2079792.729,1576800,1104.982292,0,0.4,0,1,0.930951731,0.44980583,0.089055618,1.586564209,0.0886105,0.056071543,0.43120648,0.923297128,3.979674515,0.889086543,0.509471382,0.417983232,0.516135393,0.574516026,-0.091488151,-0.058380634
5,QLD1,Cell 1375,2023,3.961438608,56221902.15,60,0.864725681,5119.291196,15.6649339,13.68944236,16.28633038,18.15687502,12182813.09,-52506419.46,0,30494.40465,AA,0,0,9980.07403,9287.143885,17336.64113,1792.159468,Pipeline,998.4823518,17593,1261781.163,1576800,1085.155269,0,0.5,0,1,1.163689664,0.562257287,0.088775994,1.586564209,0.110763125,0.070089429,0.43120648,0.560151455,3.961438608,1.111358179,0.397587155,0.347447776,0.413358639,0.460834391,-0.050139379,-0.047475752
6,QLD1,Cell 1375,2023,3.944638361,62458549.34,60,0.832156243,5119.291196,11.26808148,10.92617667,12.26206313,13.71939387,15116018.56,-45584666.81,-92332.261,21935.19862,AA,0,0,11976.08884,11144.57266,17336.64113,1800,Pipeline,998.4757122,18233,445500.1154,1576800,1078.822299,0,0.6,0,1,1.396427596,0.674708744,0.089163788,1.586564209,0.13291575,0.084107315,0.43120648,0.197774024,3.944638361,1.333629815,0.285991916,0.277314129,0.311219876,0.348207966,-0.008677787,-0.03698809
7,QLD1,Cell 1375,2023,3.932270668,68687379.85,60,0.7913418,5119.291196,6.957587021,8.174300087,8.356367212,9.452049672,18791769.69,-39783307.61,-562512.3128,13544.10274,AA,0,0,13972.10364,13002.00144,17336.64113,1800,Pipeline,998.4757122,21271,-359922.7546,1576800,1064.648796,0,0.7,0,1,1.629165529,0.787160202,0.089163788,1.586564209,0.155068375,0.098125201,0.43120648,-0.159783059,3.932270668,1.555901451,0.176588503,0.207469545,0.212090538,0.239899738,0.030881042,-0.027809199
8,QLD1,Cell 1375,2023,3.923546822,74916210.35,60,0.744650168,5119.291196,2.718913922,5.429533175,4.542375111,5.317050951,22996820.76,-34805167.16,-1326611.171,5292.819102,AA,0,0,15968.11845,14859.43022,17336.64113,1800,Pipeline,998.4757122,24310,-1157137.597,1576800,1086.848429,0,0.8,0,1,1.861903462,0.899611659,0.089163788,1.586564209,0.177221,0.112143087,0.43120648,-0.513696295,3.923546822,1.778173087,0.069007968,0.137805411,0.115288708,0.134950532,0.068797443,-0.019661823
9,QLD1,Cell 1375,2023,3.917584432,81145040.86,60,0.692470394,5119.291196,-1.490545841,2.699589352,0.784927253,1.264814579,27696134.27,-30505091.49,-2274512.383,-2901.595905,AA,0,0,17964.13325,16716.85899,17336.64113,1800,Pipeline,998.4757122,27349,-1948132.065,1576800,1116.703058,0,0.9,0,1,2.094641394,1.012063116,0.089163788,1.586564209,0.199373625,0.126160973,0.43120648,-0.864848076,3.917584432,2.000444722,-0.037831113,0.068517496,0.019922012,0.032101893,0.106348609,-0.012179881
