,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,Cell 1375,2023,5.578410081006436,99931942.07460468,60,0.9371654276615652,5088.94211852872,-2.912638634,-2.108377127,-1.980429822,-2.553053618,5669936.54157757,0,-3211208.914,-5669.936542,AA,0,0,20079.682872494373,18188.972200622164,17440.03217536505,79194.98734212999,Lined Rock,181.4992796196726,13992,-389924.6856,1576800,52211.120394096244,1,1,1,1,2.341317242472673,1.1011870051817398,0.7131010880173533,1.59590677471817,0.222852898445365,0.13727090892148894,0.4336588047682984,-0.173102029,5.578410081006436
1,QLD1,Cell 1375,2023,4.450865332639252,99931942.07460468,60,0.6844280360102852,5169.440468068282,-5.358835757,-1.386238098,-3.949789901,-2.823370484,28501029.736399062,-22230761.31,-1742407.626,-10431.86694,AA,0,0,23410.929360262297,12213.823169284084,17168.456592918923,71873.70382530612,Lined Rock,195.30183223187908,28308,-2896993.503,1576800,50401.1722542276,24,1,1,1,2.7297449328034564,0.7394427353703488,0.6963937151857144,1.5713668085116037,0.25982449505618355,0.09217687450182688,0.4272173240583255,-1.286082859,4.450865332639256
2,QLD1,Cell 1375,2023,3.698513541573273,99931942.07460468,60,0.5173475790220579,5656.852763416808,-7.415438482,-1.469887009,-6.641221971,-3.477689613,43577988.25005727,-35854578.42,-1647542.549,-14435.38691,AA,0,0,31140.253320511012,0,15689.168164262192,39789.50637551402,Lined Rock,317.51637351116415,27528,-4498281.49,1576800,36795.695278977975,720,1,1,1,3.6309941993233426,0,0.6267771809482482,1.4376961459210091,0.3456078342902985,0,0.3921301936475177,-1.996953985,3.6985135415732744
3,QLD1,Cell 1375,2023,3.1314620170324434,99931942.07460468,60,0.36702985019008744,5880.382408421873,-15.31162851,-6.885251583,-13.7502218,-10.60063646,57005328.584995,-33462957.37,-4111046.184,-29806.63684,AA,0,0,36781.513933064685,0,15092.77936730854,1440,Pipeline,998.780569752609,32515,-5884772.867,1576800,1021.0682161082443,8760,1,1,1,4.288772552961909,0,0.07135280930014667,1.3838055833328926,0.40821695448289697,0,0.3779844928572675,-2.612468929,3.1314620170324443
4,QLD1,Cell 1375,2023,3.131456939040942,99931942.07460468,60,0.36702502431416273,5879.327380574586,-15.31000019,-6.884307376,-13.74966936,-10.59883536,57005763.20367055,-33467391.94,-4109571.075,-29803.46703,AA,0,0,36779.80315880243,0,15095.487721768544,1440,Pipeline,998.780569752609,32514,-5884886.239,1576800,1020.5029484742579,0,1,1,1,4.288573074449045,0,0.07135280930014667,1.3840503141968576,0.4081979675793015,0,0.37804873211196316,-2.612519259,3.131456939040942
5,SA1,Cell 266,2023,5.145091256446408,92121374.33817013,60,0.9848132161650193,5302.794648651867,-0.703995463,-0.346134457,-0.097351947,-0.199899946,1370444.5010545836,0,-3829646.546,-1370.444501,AA,0,0,19266.537245124608,12057.535117438298,16736.705862875275,110240.15085215835,Lined Rock,143.20445058000493,21096,-331015.3818,1576800,62621.23124746508,1,1,1,1,2.246503400536454,0.7299808279101867,0.7832038505392044,1.532353182067359,0.21382826090162396,0.09099737943779539,0.41697666113111065,-0.146950005,5.145091256446408
6,SA1,Cell 266,2023,3.971083162218321,92121374.33817013,60,0.6682258309323847,4858.059039497318,-3.862842278,-1.020713866,-2.669302383,-0.342426905,29976334.04791534,-27628774.29,-1522096.419,-7519.666302,AA,0,0,23512.84594764258,2971.297115150344,18268.88342939839,79896.99484806406,Lined Rock,180.28744991211616,23071,-3009106.202,1576800,53289.89553701726,24,1,1,1,2.7416285399720883,0.17988667724862603,0.7146188046587787,1.6708029843885772,0.2609556088811169,0.02242417279952378,0.4533182650047563,-1.335853844,3.97108316221832
7,SA1,Cell 266,2023,3.506358342834874,92121374.33817013,60,0.5612218997667938,4858.711340660672,-5.381500661,-0.397750197,-3.32299647,-0.548150854,39644984.810824916,-35887053.22,-1246152.377,-10475.98795,AA,0,0,25308.64856116163,0,18266.430759735744,65857.91680346937,Lined Rock,208.97572435401196,22373,-4050184.024,1576800,53502.0874590295,720,1,1,1,2.9510214696218453,0,0.6827824161456435,1.6705813575762731,0.2808861934426234,0,0.4532600903184404,-1.798026901,3.506358342834898
8,SA1,Cell 266,2023,3.381819370514816,79570944.37325352,60,0.567824041222821,4982.7398477347215,-3.753182538,-0.056578306,-1.592254161,-0.003595636,38921792.0371557,-38897141.6,1.4352963262354024e-10,-7306.195341,AA,0,0,23909.2732428299,0,17811.749559043692,4818.62328872573,Pipeline,995.9194618131565,21136,-2868898.25,1576800,4458.62328872573,8760,1,1,1,2.7878524802356215,0,0.2380815241938372,1.6294957003193022,0.26535532835459363,0,0.44247554129137123,-1.273610334,3.3818193705148163
9,SA1,Cell 266,2023,3.3818193706011352,79664958.4911738,60,0.5939217682112083,4979.584008547603,-2.550411589,0.13107376668984802,-1.548508459,0.3376306144530645,36571429.22345916,-38886107.28,-2462910.063,-4964.801227,AA,0,0,23942.072878529474,0,17823.03785484195,4827.797072841819,Pipeline,995.911693209105,21165,-2880827.667,1576800,4467.797072841819,0,1,1,1,2.791676960587123,0,0.23853292752697966,1.6305157272117194,0.2657193527234055,0,0.4427432875260584,-1.278906245,3.381819370601137
