,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,5062.8612532088,-50934.34300408107,69748.31673856825,-5645.60631148691,-1772.270655816263,0.0,-10.425509555806164,-8.60972499745839,65.16408441364088
1,2,4353.089472456795,96230.39236945141,0.0,-145529.00634432782,5702.937433528892,22.10622891588326,21.98836910162804,22.733216245677593,-118.1695531515942
2,3,4450.597652394987,68400.1354433802,0.0,-112560.0669776707,3894.8067257661633,15.368752869981911,16.63439677875946,17.19788026752483,-91.39877438586862
3,4,3931.1187302047065,163421.1933097054,0.0,-205617.1784821276,9339.331704608654,41.57116702023282,34.4020468250326,35.56740230040467,-166.96114892748764
4,5,3915.947540872686,90256.65896379604,37007.16101063879,-153456.64906400794,5144.25504457163,23.048485206132753,18.119677565432635,20.221326013638112,-87.59963802933568
5,6,4320.0,-105109.25155895998,131325.87638229647,0.0,-4816.117982329207,0.0,-24.62360182168059,-20.671665726842967,131.32587638229646
6,7,4686.987980620175,-211056.85326599726,253698.27046213858,0.0,-8914.489283701714,0.0,-43.8438502347389,-36.80718291311414,253.69827046213857
7,8,4684.155008480775,-72461.95690889194,98376.67987934411,0.0,-3767.5002219870407,0.0,-17.01162975136325,-14.281368186329644,98.37667987934411
8,9,4109.462326425755,97067.77603982633,10612.409308097704,-130298.96966907315,5244.969787916009,23.620553816891167,18.762597309961418,19.804746845373888,-95.1903540631897
9,10,4004.7797469345123,141729.88255457982,10233.09765865819,-178536.4924796131,6751.829172028484,35.390181610628645,27.25198878008676,28.577428900017065,-134.73853423478766
10,11,4595.2175672969215,97377.03372644442,60217.91524340477,-153241.92895573168,3912.651339708542,21.190951745017205,11.31910935747106,13.765687564950714,-64.21453106864936
11,12,4395.743099425317,6943.018264369387,85480.08924641105,-93799.59411135514,828.0269697931265,1.5794868142492429,-1.716434077245973,1.2869867915851563,9.314818827990676
12,13,4157.666053637609,-38744.88849463971,114910.73713528836,-54066.93007708722,-11367.771878974992,0.0,-13.833914289234315,-9.951205379609116,71.00838991269353
13,14,3812.3735680409372,30433.914983292416,74250.66238244183,-96114.90827799379,-3175.7102421387754,7.982930958922653,0.8062328856202966,3.8998505638615533,-3.7946431392891244
14,15,4361.020789137419,40873.02926318384,64275.24244314022,-103122.25978279972,1794.0300734889784,9.372353684942706,3.614435034261143,6.057290957375456,-19.460032500493167
15,16,4939.581840620731,31745.49801386131,33002.95932827093,-75670.0050788866,2507.317260396094,6.426758182808451,4.663811518444419,5.87369377541737,-28.441084795785
16,17,4007.8250058729855,134771.23970761825,12666.472318593012,-171354.9230075482,5729.81668208822,33.62702700595141,25.56092574709358,26.924365787019926,-126.47372516353614
17,18,4085.187013506834,112685.84012304462,47458.96554332252,-168039.93520784195,5900.230964165523,27.584010169050273,17.644593468178567,20.07131108093053,-88.98946184544515
18,19,5065.703477746771,-71683.90373390759,100503.36524353782,-5578.799041865332,-3358.088612785501,0.0,-15.346030118610122,-12.742298340338035,95.97338042154317
19,20,4234.899152011386,83894.87557569235,0.0,-127775.22004952715,5580.722509874983,19.81035971915555,19.844703430791178,20.516934763939066,-103.75347868021605
20,21,4232.911710705662,84673.88044689911,56494.09892555595,-167351.8818336979,4541.831152811744,20.003696328639766,15.192960303733432,17.808850628015936,-79.39562912340678
21,22,4150.904634409543,45228.05162775025,39600.92187051674,-100117.1365984734,2631.721932137814,10.895950548423967,8.136129191807706,9.913748842573487,-41.694193047443676
22,23,4341.053627112076,70322.92212179229,47506.56059171677,-131968.28793393142,3402.923179719689,16.19950550313179,11.130447216511048,13.23042273285954,-59.65168921063555
23,24,3932.3989477272144,-2730.891645760256,80944.37066207778,-58036.260688823124,-2186.7428945651736,0.0,-6.96606097706913,-3.9613261494784027,33.8189269827534
24,25,4462.569005746809,-4430.225076640211,95052.10310243128,-79828.49834115818,-269.8331555493211,0.0,-5.487288499626198,-2.3197515207797443,30.231362449410838
25,26,4139.559444540522,1561.7228333138828,102136.99744785015,-80876.22945363667,-1350.2951139954585,0.3772678842367075,-7.135313477734399,-3.492478470174472,36.46549913149717
26,27,4787.093321332952,-100939.62128149721,180121.03561306308,-12507.082220346316,-5691.885538289202,0.0,-28.758971569470177,-23.80933076844859,169.96528485014187
27,28,4636.4817061264675,-178693.42811482667,236301.02631640935,0.0,-8474.902805950744,0.0,-41.28212801171586,-34.65660129378615,236.30102631640935
28,29,4167.614812410991,-217864.3880237285,282694.6978809058,0.0,-10922.193728314776,0.0,-54.943346635978045,-46.12527865736429,282.69469788090584
29,30,3735.296358538886,-23767.42226599798,59614.94676748882,-23156.927294246343,-1141.6759719654524,0.0,-8.849989261528123,-6.637077988505955,40.81152180456079
30,31,5094.960378762777,11453.932072786216,69889.59138132412,-74006.40042857418,462.0671317005025,2.248090509305905,-1.5574369060977116,0.5494508188520665,9.79639423332188
31,32,3687.911171391206,30990.727470362723,57170.970461211014,-86433.25367143523,1601.5392860402253,8.403328071123784,2.8580931159519403,5.395561785032401,-13.012831519994398
32,33,4378.395971880647,-31921.068901997838,101159.34289803375,-58277.05130915288,-724.069830607361,0.0,-9.960059766275535,-6.6599637099323274,53.83837723500161
33,34,4095.168896009928,53931.618548880026,4173.38008124322,-70941.05205397213,2801.951132441894,13.169571248069294,10.568284725277085,11.086726358390859,-53.430754186582156
34,35,4624.609458409499,-36991.600649933316,79070.58153204789,-18315.888894617783,-2046.7972372186816,0.0,-11.244288856139397,-8.933336180058966,64.19807974961824
35,36,4454.809705571946,-148941.61662820782,203187.83671671935,0.0,-7912.494196970539,0.0,-36.94482112999981,-31.015405393086258,203.18783671671935
36,37,4362.071896489779,6981.211442280932,69721.66359003395,-68916.56397945355,662.634190869418,1.600434749344414,-2.5553785705208676,-0.12550635298680488,13.761413638717656
37,38,4261.7431175291,43838.68448220671,2346.9147920927007,-63525.015066354565,2386.285112193764,10.286561923897414,9.35783101609604,9.761524108618218,-49.23539744178721
38,39,4687.353651839996,5354.157657913354,15189.78544595764,-19222.77793590883,345.8842977008611,1.1422559626606386,0.07242451028780562,0.5850710436773385,-0.41911023800033215
39,40,4443.063772739051,72312.30001529364,0.0,-107356.10134551434,4593.933155456223,16.275323451122713,15.892244313531883,16.430587686556102,-87.17315429255765
40,41,3807.98080002881,119994.58790626534,3245.475911886309,-155347.28998100082,6681.867189710627,31.511342679395206,26.141461657822127,27.16117517352382,-122.89652355268638
