,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,5031.882026,80289.94267,25667.94648,-114831.9354,3361.439636,15.95624505,10.877883,12.93546065,-67.57558511
1,2,4289.244149,112141.3841,6492.214362,-178725.1861,6475.836071,26.14478921,26.18000558,29.31287308,-138.6326367
2,3,4543.265444,73374.63441,4785.584729,-113313.8642,4117.052999,16.15019754,15.55103307,17.43803989,-87.22527304
3,4,4498.518943,-59093.42054,82970.1928,-17882.20516,-5214.970696,0,-12.32502806,-10.56219426,68.44984221
4,5,3440.158159,-50762.55001,96410.58855,-49268.91153,-4143.686721,0,-13.28061854,-10.00344247,56.40423239
5,6,4266.931279,53061.91903,35282.63745,-112093.8562,1390.212316,12.43561603,10.58077382,13.14110447,-55.7375738
6,7,4330.139989,86175.32865,20177.7147,-117088.1509,4599.156113,19.90128007,14.01046383,16.33772085,-74.8978638
7,8,4657.369903,-208138.9112,304703.8428,0,-11281.03548,0,-52.99345291,-47.75953163,304.7038428
8,9,4600,-262976.1238,404140.0329,0,-14303.07554,0,-71.1637884,-64.13526609,404.1400329
9,10,4276.33295,-148618.6483,247815.8392,-4468.790296,-9151.634982,0,-46.25262329,-41.54104645,244.1871815
10,11,4661.551772,-147083.8116,213357.5061,-2974.489449,-8002.260964,0,-36.65371685,-32.9460252,210.9422207
11,12,4123.304759,-34438.98207,124831.1501,-43438.32723,-3600.341769,0,-17.59340608,-14.40998524,89.55922843
12,13,3910,-190864.5719,452804.937,0,-36059.42939,0,-93.8035803,-84.53902916,452.804937
13,14,3851.300626,-235074.0618,397486.5885,-8906.113257,-26954.12209,0,-82.07783254,-73.65401314,390.2548245
14,15,4370,-347671.1346,433678.4113,-3450.253141,-17537.1365,0,-79.86503723,-71.868777,430.8768058
15,16,4853.507997,-272582.2564,336973.077,0,-15155.49258,0,-56.23730146,-50.68300008,336.973077
16,17,4721.162433,-189609.3742,279124.2506,-16678.66311,-9289.113747,0,-45.56520893,-40.58010746,265.5811761
17,18,3802.162429,-108744.4777,158682.2465,-33165.31118,-6285.491752,0,-28.06800951,-24.09875025,131.7520138
18,19,3853.167141,70944.3891,30347.09527,-147437.1367,4401.671587,18.41196774,18.78745555,22.18323968,-89.37185972
19,20,4710.799216,122035.8683,0,-179568.7864,7661.705951,25.90555503,25.07132586,27.8265339,-145.8098546
20,21,4544.709501,79085.18557,19116.06465,-127484.2971,4187.050715,17.40159312,15.04275675,17.40679128,-84.40118463
21,22,3905.152984,71527.80794,32888.82471,-129933.268,3117.650348,18.3162627,15.0620888,18.14076015,-72.61698893
22,23,4529.338299,-40039.3685,130359.3181,-53509.51551,-3758.190068,0,-15.54239593,-12.38599376,86.9095915
23,24,4129.700816,-20545.18848,87913.31187,-41132.18455,-18506.83775,0,-10.69237801,-8.269418166,54.51397802
24,25,4295.142504,99337.23325,9568.173388,-178231.6925,7240.417279,23.12780848,25.48840422,28.66595668,-135.1559609
25,26,4175.15668,-279093.8136,485254.2576,0,-21801.00953,0,-94.14160444,-84.8436682,485.2542576
26,27,4420,-366097.542,518629.0277,0,-29946.85708,0,-95.04287612,-85.65592539,518.6290277
27,28,4820,-375531.7205,480537.8272,0,-18154.03112,0,-80.75428217,-72.7785506,480.5378272
28,29,3870,-413291.9938,539909.7608,0,-20740.55671,0,-113.0043685,-101.8434433,539.9097608
29,30,4600,-361516.3897,508348.1991,0,-17478.92894,0,-89.51348724,-80.67264899,508.3481991
30,31,4878.699374,-389722.3449,492430.0853,0,-15567.53405,0,-81.75711159,-73.68233514,492.4300853
31,32,4370,-369498.7039,521162.2886,0,-19020.76143,0,-96.599875,-87.0591466,521.1622886
32,33,4090,-435576.1115,529155.1155,0,-21543.5937,0,-104.7960009,-94.44577857,529.1551155
33,34,4600,-345362.725,437469.8814,-1823.592096,-15849.54878,0,-76.77199803,-69.135172,435.9891246
34,35,3860,-293200.8154,424570.6629,0,-16352.91476,0,-89.09384376,-80.29445179,424.5706629
35,36,3910,-396415.5149,514143.983,0,-30451.1928,0,-106.5106461,-95.99107611,514.143983
36,37,4423.497344,-186379.1812,262245.3959,-8779.522273,-9113.942491,0,-46.71514126,-41.82891349,255.1164238
37,38,4047.803282,-304703.4257,383567.394,-5834.675436,-18365.55355,0,-75.80704522,-68.12210608,378.8296376
38,39,4830,-376483.8533,489762.8512,0,-19128.16274,0,-82.13414274,-74.02212864,489.7628512
39,40,3815.733837,-41807.26499,54664.70705,-2282.034331,-17856.24857,0,-11.21081158,-10.0214933,52.81169517
40,41,4644.104271,-170769.1598,220542.8824,-4267.333939,-8349.638746,0,-37.86155814,-33.9960391,217.0778072
41,42,4531.851381,-206055.8383,290323.3791,0,-11655.65825,0,-51.8909199,-46.76589078,290.3233791
42,43,4621.239268,-15853.02462,51619.59668,-22498.42376,-1024.757767,0,-5.845663568,-4.600163504,33.35087658
43,44,4231.63292,4564.641692,23105.37019,-28561.01687,385.9171754,1.078695099,0.016495325,0.941154904,-0.086175508
44,45,3807.529074,98869.43968,4268.491025,-135792.9365,4593.924561,25.96682462,22.54907337,25.21657572,-105.9953734
45,46,4561.868449,41899.64672,16744.39396,-71652.29207,2100.499065,9.184755586,7.357552462,8.786479942,-41.4372672
46,47,4362.827577,-37429.6269,114663.4514,-29995.5405,-3252.149806,0,-16.76635794,-14.16686172,90.30707256
47,48,4756.486427,21179.43936,22918.59756,-64133.09846,1572.581942,4.452748827,4.965336885,6.325380324,-29.15747839
48,49,4435.426169,48553.09574,37855.35399,-113976.5335,2405.199754,10.94665854,9.988174127,12.52832511,-54.69359124
49,50,3191.300626,46125.03207,45970.34491,-122939.6089,2077.327834,14.45336478,13.66961791,17.60647751,-53.85661751
50,51,4320,105527.9786,14973.24464,-176431.1356,6727.210322,24.42777282,24.05415702,27.28339361,-128.2888374
51,52,4276.113677,144298.4276,7624.634054,-190823.9001,6682.148618,33.7452272,27.90682172,31.2750021,-147.3243729
52,53,4612.585697,-171988.0389,259204.7504,-24334.63597,-47088.93579,0,-42.04810139,-37.17116489,239.445026
53,54,4600,-335555.0128,508348.1991,0,-18385.01826,0,-89.51348724,-80.67264899,508.3481991
54,55,4600,-371472.9713,471765.3007,0,-16581.2435,0,-83.07171599,-74.86710206,471.7653007
