,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,134958.69937370642,-3653522.9926040713,6960686.706944181,-1673582.9380277689,-266379.5444419227,0.0,-33.620709770334166,-28.598273169642976,5601.737361265632
1,2,120701.30062629358,-4229346.739765695,6761320.805584016,-1114828.9364393328,-305085.66652449564,0.0,-39.29886869350658,-34.14991423528783,5856.079709195277
2,3,133347.63564449555,-4408192.46145835,7728464.841371224,-1781708.4765794205,-400343.3256198193,0.0,-38.157341130966735,-32.55499900929225,6281.717558388735
3,4,129463.4765886546,-664258.8587215579,4096446.1882738164,-2868160.8482419066,-209369.75448237912,0.0,-11.058521655068763,-6.92587841644499,1767.499579501388
4,5,134827.5871405563,-2957656.552261046,6976526.43421787,-2107637.275273652,-883463.3774340989,0.0,-31.63114695939438,-26.361734726617716,5265.124966695665
5,6,129680.0,-1653431.7439994863,5600682.18540109,-2217997.416705161,-1988067.6627176774,0.0,-23.733276598238472,-19.041948497440075,3799.6682830365
6,7,133121.16562737155,-329491.1510326914,4386431.50371346,-3289238.290477098,-526213.3727237317,0.0,-10.4386984822914,-6.016706974340506,1715.570011846056
7,8,133760.13499892203,-3226937.008736112,7680851.280871149,-1859111.4135391193,-441494.5567531653,0.0,-37.37073664461363,-31.77232217346844,6171.252813077384
8,9,130068.68826700508,195659.82576265166,3397944.6188409803,-3584044.510547236,-119190.48994103567,1.5042807640298566,-3.0371443815373373,1.0444706005390607,487.7004762766245
9,10,133550.910729952,-130999.60784396209,3504579.915529975,-3643214.7104733707,-337257.13328029175,0.0,-3.3133023937327177,0.7577889192632922,546.2895706255981
10,11,129533.16367214454,1280244.275630351,1916326.182059858,-3901374.6983614312,-82807.20821884263,9.88352510922005,7.826474166135155,11.186983902962968,-1251.5900730096246
11,12,133787.2373308984,818839.8111453443,2556629.5612748805,-3552271.2860693196,-272983.4965438873,6.120462814551532,1.9847179068667047,5.432644201347003,-327.8147230134071
