,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,5577.721518987106,-30834.176236482417,195145.37598352245,-53283.949962079,-4076.6795080766187,0.0,-22.055929927447313,-6.358394979855725,151.8788086143143
1,2,4780.253164556809,-142400.6338832563,233778.85966992384,-2590.9401487431733,-6824.863427804397,0.0,-39.25665790452024,-12.090778017539098,231.67501626914438
2,3,2602.025316456089,60067.12459164111,24895.76309185398,-99440.86874406418,500.4798777993344,23.084757942882522,17.385949244936032,7.162219481567081,-55.85022232832614
3,4,5039.500874946312,-104718.31557758347,144608.60422379733,-14749.309411545146,-2411.6427145086777,0.0,-21.317994837387317,-6.44207125044083,132.63216498162265
4,5,4418.473808597602,-123701.36136279901,238904.03315856683,0.0,-5900.985766414673,0.0,-43.79617832788711,-13.517338990088614,238.90403315856682
5,6,4525.063291139408,-134095.6899050721,218094.00105663907,-12304.127922832486,-4415.303044717449,0.0,-37.25107451392754,-11.369447226117627,208.1030491832991
6,7,4404.30379746817,-64820.34656019812,168027.37718262922,-76691.21634382868,-4018.418803723953,0.0,-19.449346058623185,-5.184483464293804,105.75410951144033
7,8,4374.683544303788,-72413.17293530575,232358.4384244181,-7900.405472892526,-8558.953846188793,0.0,-41.83481584043897,-12.82710113076574,225.94330918042937
8,9,4554.683544303789,-150604.6199876555,295111.829176427,0.0,-13554.06521999244,0.0,-52.48236882052026,-16.198261981642055,295.11182917642697
9,10,2958.7147719701343,-36531.39719689432,156913.62373667274,-98658.62952049077,-8200.863169140344,0.0,-21.02611647727823,-4.922322588178332,76.80281656603424
10,11,4557.994088789743,22312.733151511562,87732.23245123,-136720.58815755846,1781.8809270652237,4.89529664077211,4.13795116669426,2.686947084179746,-23.28488513270748
11,12,4928.354430379532,-210879.41414722984,371723.13865373924,0.0,-12870.83520792141,0.0,-61.094579653911275,-18.856351745034342,371.7231386537392
