,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,135262.02531645529,-2469670.595759046,5990387.248309599,-1610845.8715130612,-255225.3648353744,0,-28.039859048730367,-8.09455086627286,4682.380400640994
1,2,120156.31357855198,-1853954.5808274047,4720219.262250931,-2160089.2500138134,-138520.251839086,0,-19.995983809318886,-5.326665607470217,2966.226791239714
2,3,134517.75069002548,-1060189.7336754422,4114429.135361799,-2511586.274825535,-709643.0544169446,0,-12.4947604783986,-2.9788686852000628,2075.021080203465
3,4,128518.5939592711,-1015523.7953253457,4941794.853802972,-2626662.95591503,-306208.385687281,0,-17.703625616516025,-4.503496005063733,2808.944533599967
4,5,135145.82278480986,-1036280.4115407562,4832235.190559141,-2769399.5059110224,-432381.25219658564,0,-15.4841712322633,-3.815944218884096,2583.4827917593907
5,6,129536.20253164545,-2735453.949024765,7595404.2884738995,-902214.2665292976,-827136.5285988998,0,-42.91366427021965,-12.917605061622577,6862.80630405211
6,7,133612.40506329172,-827971.2602360726,5144930.962299496,-2828332.496853429,-495874.76145741285,0,-17.267432829603425,-4.3345497454908894,2848.3249748545118
7,8,133801.51898734167,-908104.6167884367,4741143.76140053,-2802683.6478217468,-271495.0308795903,0,-14.924683762955127,-3.6218948190008438,2465.3646393692716
8,9,129319.7468354432,-476543.46592568525,3044130.264377932,-2827451.6239746734,-113318.48986055037,0,-4.686631754674866,-0.4188815817103668,748.239545710497
9,10,134516.9620253167,-819358.108468086,3559930.8876287434,-3126221.2279117126,-196402.80387261556,0,-6.150642866893445,-0.8060501314982952,1021.4392505644327
10,11,128854.93670885981,-1295186.4439070765,4938766.215187078,-2581703.8108764766,-252455.7662075935,0,-17.86786337114821,-4.573092937906303,2842.422720755379
11,12,133557.72151898796,-2287277.052967898,5898393.591126715,-2245339.0459594405,-908873.4823937434,0,-24.715114738123965,-6.837969575289433,4075.1782858076485
