,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,133856.49666040088,92231.15685711145,2073390.2947869804,-2502160.519971904,12585.988726934818,0.6890301117853508,-0.25194983002652,0.3843849817220872,41.63595256979438
1,2,120727.00667919836,68984.59031473837,1915120.5326924222,-2102959.3084138837,-9228.068888021608,0.5714097633352871,-1.392308479887496,0.18670762828131318,207.51757426034845
2,3,133856.4966604011,370456.42444441654,1874969.9345677749,-2473678.4323076606,29229.02462918355,2.7675640233157917,0.8087925068901369,0.5367316605563027,-133.65695246604574
3,4,129631.75166979962,545318.2246287423,1567945.2196359932,-2815133.517225294,44240.23750161967,4.206671726675321,4.486045907375841,1.154521124515384,-717.9431963509456
4,5,133920.00000000003,-357049.8822704996,2579416.9998669773,-2197659.85891431,-70449.48020428437,0.0,-4.807966901785628,-0.342076291176225,794.9171944285573
5,6,129769.5638523383,-153144.52682086983,2036217.5279974332,-2192678.9719466465,3097.3704606105384,0.0,-1.5964250637761512,0.14468241023965867,255.76220277675614
6,7,133888.17445906473,-243397.5798459801,2678303.8561163563,-1588216.1270686742,-55997.68946660926,0.0,-8.401224506220649,-0.9770133024385671,1388.672360936593
7,8,134047.00667919836,196843.8874105592,2170005.700868238,-2342713.7050169334,15786.391462770376,1.4684691011537951,-1.6177530928274537,0.15460964784870168,267.7221723944882
8,9,129483.57721073492,675807.1276359155,1256788.1037707764,-3414821.2391099436,57482.79900530841,5.219249747294495,9.483811675472118,1.9999754549508264,-1516.0467423864977
9,10,134036.42278926517,557184.4312008985,1311529.6247686367,-3243432.932297772,41783.435922163706,4.1569628583487,7.989855965135953,1.7295925396933458,-1322.1379162571543
10,11,129600.00000000003,-68866.26489516164,2268892.1235841634,-1954152.8476364282,5826.510564341259,0.0,-4.263250070646147,-0.29142525550716214,682.1200113033836
11,12,133983.50333959918,101746.97882590772,1991712.8875340018,-2389501.907315228,29464.12884625973,0.7593993013305252,-0.3109654799633502,0.35627283347530625,51.437338794036535
