,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,4721.842941913512,91912.98342559203,55256.37136817984,-139935.6096461641,1662.7532962510138,19.465489334625047,10.013206485239216,14.167476356699392,-58.37134366450543
1,2,4896.181183107193,113990.58131118139,15064.004805450675,-203032.75630446075,5444.466610316809,23.281528409216506,24.781938422293564,30.32880282219877,-149.79859331377148
2,3,3341.9758749792923,59832.933016381765,54355.02250809714,-112078.54056039771,604.9746287146495,17.903460484062443,8.883585811645053,13.645095287110655,-36.65275242694581
3,4,4838.1629371296285,-162438.6383875045,208959.06887446885,0.0,-2177.3116687901543,0.0,-34.983701042680465,-34.119905955206875,208.95906887446884
4,5,4382.743975234014,-144276.15247413947,200954.39410522004,0.0,-2853.6098621833276,0.0,-37.1395317967523,-36.222506320289284,200.95439410522005
5,6,4531.9928668712455,2330.227140369601,41828.31822059377,-37412.0588318997,-559.0460122682878,0.5141727290445453,-2.046401813991947,-0.7698257741250394,11.449726449091209
6,7,4272.631578947368,50639.97000203914,99618.19323040653,-128440.99253233903,-1609.7357673251843,11.852173319028624,0.8864497258324001,5.329270972185353,-4.675892705852777
7,8,4410.872670645211,46996.20281412185,17041.11878653633,-98995.87735413703,2433.309178316633,10.65462694647392,11.632224747209342,14.678333314693925,-63.34353362502294
8,9,4396.920471398562,126497.85382271867,6307.206456209904,-210751.8383173346,8935.182858544777,28.769647903702595,30.363719957409586,36.7328133908493,-164.82328625746578
9,10,3612.206857956225,148029.00859807973,10914.36395888339,-199742.7825601353,8134.476945025008,40.98021359768805,33.92225112159997,41.29731672659285,-151.27677547994648
10,11,4351.310747080895,-16828.377936748235,159031.02486312267,-97229.74014281889,-3705.220871216295,0.0,-14.907045077373466,-11.22030067877667,80.08047586715372
11,12,4667.0196322588,37823.67384181316,54710.47511379689,-116083.64350285401,2534.266534911747,8.10445998134934,6.8641342198547735,10.388814885676595,-39.54944341052058
12,13,3878.2435256359336,44001.83944176074,16528.15763068678,-179798.01803194903,7787.8515987973215,11.345816514847545,27.040319682328715,33.25814608195529,-129.46783301125583
