,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,EI_MEF,EI_Market,EI_L,RECs
0,1,135026.18808260333,660330.2812816005,2352756.585930907,-3240555.889560094,46310.00670370378,4.8903867513288475,1.6711246039130574,5.1942623858861685,-278.57479639188944
1,2,120068.47850938451,1506040.06255543,1171757.2354571,-3420278.947099291,68201.04050187339,12.543176037978347,10.831006809703606,14.794325490336693,-1605.5092695875242
2,3,133705.33340801217,1370427.315763729,1532021.051188238,-3619722.9888111195,76195.29496253913,10.249608454898086,8.52491911642826,12.335218713296628,-1407.1940157263912
3,4,129647.36842105261,1197137.9797427657,1934264.0552755557,-3475728.1541643115,41062.92530363563,9.233800842411624,5.548142207157581,9.392837301311342,-888.0272059058655
4,5,134864.47872660332,504523.3310838769,2496259.475811167,-3037730.093605474,-54716.56513924751,3.7409652700815634,-0.1779144402396266,3.1717898745203277,29.6226398035218
5,6,129647.36842105261,331864.9156970461,2221252.788367457,-3118323.8660306586,76632.59440434491,2.5597504965874545,1.9419539143315268,5.466259438852212,-310.82619084943786
6,7,133446.31578947388,-1163214.1869138621,4103686.119790288,-1730354.9649574473,-45387.56123904986,0.0,-16.380344984021974,-14.05008149701078,2698.6378882448407
7,8,133907.87297957926,-700857.1747791047,3783271.0251005595,-1723269.045039988,-108493.33832193424,0.0,-14.420518906474081,-12.153143262129388,2383.976560528089
8,9,129578.72982235636,-149323.36828788294,3332224.409254778,-2253986.9796521706,-48778.708681827484,0.0,-9.388959568498885,-6.573668151816508,1501.9869817772155
9,10,133973.64198803343,803883.1927265071,2299213.351866678,-3152544.277733856,-7494.340943159335,6.000308574117215,1.575896603288285,5.031821345091778,-260.65260165321314
10,11,129194.22385184864,850230.7371782884,2031080.7841405424,-3514379.5029472318,83694.81548333232,6.581027478080418,5.157368740329174,9.070111286097697,-822.5953722526098
11,12,133740.0,1105460.8932530824,1978646.4890314406,-3718585.1071626027,58035.61734968636,8.265746173568733,6.303904146609244,10.277789055806926,-1040.844617984593
