,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,2010.2376628159157,96106616.61077058,60,0.9547572676807886,14.752631994059481,6.941903714336623,9.850412984375984,8.085271479221916,8.14244453040519,11186.589141061708,-59372.014307295176,-2.7966962079517543e-11,37.02348647646198,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,16431.0,1590.1143935728314,4320.0,610.1852854254471,0,1,0,1
1,QLD1,2021,2010.3905555732738,96106616.61077058,60,1.0,14.752631994059476,10.42559986402965,11.435963863970134,11.646454607943458,11.571318951440801,0.0,-68476.84639756748,-2.006572685786523e-11,55.6031992748248,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,14912.0,2533.681124696847,4320.0,610.1852854254471,0,1,0,1
2,QLD1,2021,2010.1508325151624,96106616.61077058,60,0.9421853133483254,14.752631994059483,2.856685993201512,3.354593886450967,3.9612873749563917,3.729968324247673,14296.861602528983,-36370.098809035764,-1.716671249596402e-11,15.23565863040806,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,15981.0,1054.2473946382913,4320.0,610.1852854254471,0,1,0,1
3,QLD1,2021,2009.2166963014074,96106616.61077058,60,0.599886566426733,14.75263199405948,-12.481656628984194,-12.804987027886229,-9.104570073496252,-9.982308984456525,98942.7795162427,-39869.38936165067,-2.1373125491663814e-11,-66.56883535458236,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,20919.0,-4710.7075245347005,4320.0,610.1852854254471,0,1,0,1
4,QLD1,2021,2009.6741315477836,96106616.61077058,60,0.683606595197285,14.75263199405948,-2.5698514099908487,-0.8746306239468333,1.105212973735431,0.20875704753163235,78239.394329965,-79474.77850165904,-2.5011104298755527e-11,-13.70587418661786,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,20980.0,-1887.6785754716846,4320.0,610.1852854254471,0,1,0,1
5,QLD1,2021,2009.7606198689361,96106616.61077058,60,0.6523915855676853,14.75263199405948,0.33526731002058574,-0.4057998013476189,4.836344004900031,3.7359511397241163,85979.38977185739,-108088.0321329645,-1.9262813566456316e-11,1.7880923201097902,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,19073.0,-1353.9220792151875,4320.0,610.1852854254471,0,1,0,1
6,QLD1,2021,2010.659634315472,96106616.61077058,60,1.0,14.75263199405948,14.69971995874244,18.40796541890806,16.031227794968046,16.315142568086692,0.0,-96549.88478648564,-1.830358087318018e-11,78.39850644662634,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,16260.0,4194.281362263551,4320.0,610.1852854254471,0,1,0,1
7,QLD1,2021,2009.659997910036,96106616.61077058,60,0.7837731427611525,14.75263199405948,-10.020175331273132,-9.94023532897969,-8.934916319953025,-9.03052838497455,53440.935100123366,0.0,-1981.1522044002681,-53.44093510012337,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,17856.0,-1974.9033112849295,4320.0,610.1852854254471,0,1,0,1
8,QLD1,2021,2009.268549105985,96106616.61077058,60,0.469269919666554,14.75263199405948,-24.602009488652783,-18.9178270957387,-21.76396967576181,-22.17218139100806,131210.71727281483,0.0,-6.366462912410498e-12,-131.21071727281483,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,21240.0,-4390.701644857224,4320.0,610.1852854254471,0,1,0,1
9,QLD1,2021,2009.5791133290513,96106616.61077058,60,0.7328670145717777,14.752631994059476,-9.475893700610355,-3.924397206587175,-8.316187211769506,-7.932525120446723,66065.16969689455,-19122.007340278313,-1.1766587704187259e-11,-50.538099736588556,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,14156.0,-2474.076725361931,4320.0,610.1852854254471,0,1,0,1
10,QLD1,2021,2009.2711857173522,96106616.61077058,60,0.5590309976333024,14.752631994059476,-20.434680047884694,-15.672854588167933,-17.699483303177526,-18.416440043155337,108984.96025538503,0.0,-8.071765478234738e-12,-108.98496025538503,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,26805.0,-4374.429986133349,4320.0,610.1852854254471,0,1,0,1
