,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtailment,CP_wind,CP_pv,CP_el,CP_bat,el_pin,el_pout,comp_pin,bat_pin,bat_pout,bat_e,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
0,-11314.773351728705,0.0,11314.773351728705,-11314.773351728705,0.0,0.0,-1658.5713364919998,0.0,1658.5713364919998,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,46.80543562517367,0.03794262454545455,9978.691864932236,8546.491104901037,180.0,180.0,2021-01-01 00:00:00
1,-11026.994326752436,0.0,11026.994326752436,-11026.994326752436,0.0,0.0,-1946.350361468267,0.0,1946.350361468267,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,93.61087125034734,0.034325,9614.233434745847,8437.43938179634,180.0,180.0,2021-01-01 01:00:00
2,-11577.984085836717,0.0,11577.984085836717,-11577.984085836717,0.0,0.0,-1395.3606023839857,0.0,1395.3606023839857,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,140.416306875521,0.02883583333333334,10481.247666223826,8774.656816024324,180.0,180.0,2021-01-01 02:00:00
3,-12398.609981588015,0.0,12398.609981588015,-12398.609981588015,0.0,0.0,-574.7347066326881,0.0,574.7347066326881,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,187.2217425006947,0.026915833333333337,11247.661800273168,9396.97895012368,180.0,180.0,2021-01-01 03:00:00
4,-12839.036075789376,0.0,12839.036075789376,-12839.036075789376,0.0,0.0,-134.3086124313288,0.0,134.3086124313288,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,234.02717812586837,0.03052790333333334,11568.873770756214,9790.268914277302,180.0,180.0,2021-01-01 04:00:00
5,-11315.880269351113,0.0,11315.880269351113,-11315.880269351113,0.0,0.0,-1657.46441886959,0.0,1657.46441886959,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,280.83261375104206,0.02849319416666667,10128.868646965939,8526.510373965295,180.0,180.0,2021-01-01 05:00:00
6,-10965.537908333372,0.0,10965.537908333372,-10965.537908333372,0.0,0.0,-2007.8067798873321,0.0,2007.8067798873321,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,327.63804937621575,0.015691041666666666,9586.273870429373,7910.82290098599,180.0,180.0,2021-01-01 06:00:00
7,-10987.640080611789,0.0,10987.640080611789,-10987.640080611789,0.0,0.0,-1985.7046076089134,0.0,1985.7046076089134,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,374.44348500138943,0.017331826666666668,7768.471710403272,7556.500122924408,180.0,180.0,2021-01-01 07:00:00
8,-9368.88159835666,0.0,9368.88159835666,-9368.88159835666,0.0,0.0,-3604.4630898640435,0.0,3604.4630898640435,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,421.2489206265631,0.02182701833333333,7090.937543046213,6276.986087755924,180.0,180.0,2021-01-01 08:00:00
9,-6801.343148126856,0.0,6801.343148126856,-6801.343148126856,0.0,0.0,-6172.001540093847,0.0,6172.001540093847,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,468.0543562517368,0.0316309,5045.043736643219,4627.138583773437,180.0,180.0,2021-01-01 09:00:00
