,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,5.527081838198077,96120763.63475846,60,1.0,5385.160469518154,-0.0,0.0,0.0,-0.0,0.0,0.0,-7768365.180658986,-0.0,18644.322392340688,18630.2717793913,16480.71859475256,80490.7012797191,Lined Rock,179.3044637786785,0.0,0.0,1576800.0,5542.276189403988,0,0,1,1
1,QLD1,2021,5.519103797504676,95993484.605061,60,1.0,5430.3520327568485,-0.0,0.0,0.0,-0.0,0.0,0.0,-8219046.160706576,-0.0,18554.74785923584,18972.618440130816,16343.56552767677,77911.78655415929,Lined Rock,183.72181988900851,0.0,0.0,1576800.0000000002,4983.210669145914,0,0,1,24
2,QLD1,2021,5.495356563491356,95420076.87784696,60,1.0,5341.060238302506,-0.0,0.0,0.0,-0.0,0.0,0.0,-7670859.542578788,-0.0,18257.726654872422,19173.473593635666,16616.79710130383,66473.4389565409,Lined Rock,207.46252264319202,0.0,0.0,1576799.999999999,0.0,0,0,1,720
3,QLD1,2021,4.8019134709167,81525982.92055269,60,1.0,5347.864888836886,-0.0,0.0,0.0,-0.0,0.0,0.0,-7238212.711644834,-0.0,19050.19496488456,17525.647400592647,16595.65380400218,0.0,Pipeline,1000.0,0.0,0.0,1576800.0000000226,0.0,0,0,1,8760
4,QLD1,2021,2.8768282089048873,95981008.42201574,60,0.6511723847868375,6879.183655451688,-18.550961623082017,-12.122417619652044,-13.882235710384451,-13.984461471762344,61621872.13677079,-31415435.357764125,-1462690.4224925053,-36112.53862626632,36410.58761454137,0.0,12901.431148066486,2040.816326530454,Pipeline,597.6825664699161,32187.0,-5890473.411045139,1576800.0,0.0,0,0,1,1
5,QLD1,2021,2.8628546655236735,95981008.42201574,60,0.6501755336308291,6792.860256616198,-18.872895943007894,-12.0225277748114,-14.154077166210175,-14.266785931249288,62321469.44247488,-31505211.830976427,-506636.976738096,-36739.237435722025,36307.025491376306,0.0,13065.382023613854,2040.8163265305338,Pipeline,597.6825664698797,32096.0,-5928120.423607397,1576799.9999999998,0.0,0,0,1,24
6,QLD1,2021,2.7224998994066945,95981008.42201574,60,0.6509408494014929,6705.749432552559,-19.927437916686298,-12.622219949522236,-15.069830361574109,-15.223174585299407,64318344.55231057,-31436287.44806366,0.0,-38792.07914448288,36773.38878106156,0.0,13235.107451954316,0.0,Pipeline,1000.0,32508.0,-6265006.829039759,1576800.000000009,0.0,0,0,1,720
7,QLD1,2021,2.588405067160447,95981008.42201574,60,0.6502257936802757,6492.760067903544,-18.58691475400457,-11.771063228907513,-13.907199782004902,-14.009443764394781,61761083.93907986,-31500685.407990396,-1704783.2829168916,-36182.527387791655,36499.14092543291,0.0,13669.27367675882,0.0,Pipeline,1000.0,32266.0,-6583405.701640519,1576799.9999998298,0.0,0,0,1,8760
8,TAS1,2021,4.598474644480693,79620578.03810373,60,1.0,5154.601583022748,-0.0,0.0,0.0,-0.0,0.0,0.0,-633.7945544420799,-0.0,19822.843866149517,2.8401407124899416,17217.880539599108,78325.35914882924,Lined Rock,182.99955034948422,0.0,0.0,1576800.0,20592.373489583748,0,0,1,1
9,TAS1,2021,4.593095999490851,79514803.42192203,60,1.0,5159.824779519773,-0.0,0.0,0.0,-0.0,0.0,0.0,-16474.032804060836,-0.0,19792.773155839233,84.47448177978818,17200.451193223224,76043.5138704151,Lined Rock,187.10195748799788,0.0,0.0,1576799.9999999953,19484.58381686497,0,0,1,24
10,TAS1,2021,4.558040907451309,78807296.7508507,60,1.0,5157.506307310396,-0.0,0.0,0.0,-0.0,0.0,0.0,-11511.1380883205,-0.0,19753.319280249387,124.16483014396441,17208.183373409734,61158.417313494465,Lined Rock,221.58033133766483,0.0,0.0,1576800.0000000054,19581.43521622294,0,0,1,720
11,TAS1,2021,3.8833099538598863,65209085.332192674,60,1.0,5150.71043417799,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,19779.381908597203,0.0,17230.887936700557,0.0,Pipeline,1000.0,0.0,0.0,1576800.0000000165,0.0,0,0,1,8760
12,TAS1,2021,2.6549201616112392,14780386.272126667,60,0.0,8254.615384615383,37.56614760000001,14.360965829661483,5.808708686953099,6.853885714285714,0.0,-90060058.2857143,0.0,73128.76732800002,0.0,0.0,10751.720116618077,363.6734693877547,Pipeline,928.3070333449335,10911.0,3709152.380746401,1576800.0,352.6530612244894,0,0,1,1
13,TAS1,2021,2.6441003683457294,15035541.986886278,60,0.0,8030.0,37.5661476,14.372771183168666,5.888547469738527,6.853885714285714,0.0,-90060058.28571427,0.0,73128.76732799999,0.0,0.0,11052.467532467532,196.36363636363612,Pipeline,961.2897480319751,11216.0,3640197.2413578336,1576799.9999999998,196.36363636363612,0,0,1,24
14,TAS1,2021,2.595307392843671,15499173.229328923,60,0.0,7692.000000000069,37.56614760000007,14.462422822914935,6.033370074882106,6.853885714285727,0.0,-90060058.28571366,0.0,73128.7673279995,0.0,0.0,11538.132382437969,0.0,Pipeline,1000.0,11709.0,3452527.270334279,1576799.9999999863,0.0,0,0,1,720
15,TAS1,2021,2.5133190715031333,16398850.134798283,60,0.0,7270.0,37.56614760000001,14.666984460699904,5.8078891220992075,6.853885714285714,0.0,-90060058.28570184,0.0,73128.7673279899,0.0,0.0,12207.883670660525,0.0,Pipeline,1000.0,12388.0,3131517.763142868,1576799.999999782,0.0,0,0,1,8760
16,SA1,2021,4.934441786057657,85707221.18783529,60,0.9999999999999999,5557.412156654035,-0.0,0.0,0.0,-0.0,0.0,0.0,-5293088.145704688,-0.0,18379.999754911543,10552.346752448924,15969.899619456888,68751.83549441778,Lined Rock,202.11723293389434,0.0,0.0,1576800.0,28226.47645020582,0,0,1,1
17,SA1,2021,4.92942256059165,85603024.34924671,60,1.0,5543.025640475933,-0.0,0.0,0.0,-0.0,0.0,0.0,-5149866.763329664,-0.0,18379.46915386352,10442.747262591389,16011.34832168917,67854.2873064936,Lined Rock,204.17661094333707,0.0,0.0,1576800.0000000002,27434.386641091467,0,0,1,24
18,SA1,2021,4.756577370795366,80829330.52194317,60,1.0,5193.625878402286,-0.0,0.0,0.0,-0.0,0.0,0.0,-16601100.771168742,-0.0,19615.942919928293,13717.038517121076,17088.50740573879,2532.561948641979,Pipeline,594.8655143910095,0.0,0.0,1576799.9999999965,923.1907433608042,0,0,1,720
19,SA1,2021,4.241368869998886,71738899.68989442,60,1.0,5549.0888269569,-0.0,0.0,0.0,-0.0,0.0,0.0,-5302804.011704897,-0.0,18359.386911107136,10495.491434333402,15993.853595309349,0.0,Pipeline,1000.0,0.0,0.0,1576800.0000000228,0.0,0,0,1,8760
20,SA1,2021,2.7093961902361134,85604140.2453099,60,0.6751839998837658,6540.611912398204,-21.786308057033484,-12.028115832030783,-9.473597941363062,-5.852220554076229,66164073.381270215,-29252947.902600624,-255.47576670574017,-42410.67968435851,30934.29845837054,0.0,13569.267749624423,2679.460474593074,Pipeline,594.0239801112787,27346.0,-5006759.829531876,1576800.0,0.0,0,0,1,1
21,SA1,2021,2.683867822787419,85604140.2453099,60,0.6689156960617272,6381.475483249515,-20.320812672625365,-11.26617376370157,-9.402663433895416,-5.383080287269498,63769635.69803215,-29817471.710165977,-2799708.3161740885,-39557.848669377374,30895.437055935694,0.0,13907.647928551027,2040.8163265306123,Pipeline,597.6825664698848,27312.0,-5081371.935163801,1576799.9999999998,0.0,0,0,1,24
