,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,5.807213559,98247255.23,60,1,4387.1934,0,0,0,0,0,0,-13567011.39,0,14367.48651,28989.46946,20229.63344,18524.04929,Pipeline,0,0,1576800,1666.499746,0,0,1,1
1,QLD1,2021,5.772144161,97580213.64,60,1,4419.157655,0,0,0,0,0,0,-14098866.5,0,14658.56234,28759.36071,20083.31026,16888.91506,Pipeline,0,0,1576800,790.6154941,0,0,1,24
2,QLD1,2021,5.586189506,93113636.29,60,1,4126.698061,0,0,0,0,0,0,-14473185.62,0,14462.02641,29297.18408,21506.61691,4224.907726,Pipeline,0,0,1576800,0,0,0,1,720
3,QLD1,2021,4.856666473,81521004.22,60,1,5347.864889,0,0,0,0,0,0,-7238212.712,0,19050.19496,17525.6474,16595.6538,0,Pipeline,0,0,1576800,0,0,0,1,8760
4,QLD1,2021,5.6218814,96936084.09,60,1,5347.428592,0,0,0,0,0,0,-7200938.445,0,19105.02639,17501.24387,16597.00784,100000,Lined Rock,0,0,1576800,5798.221954,0,0,1,1
5,QLD1,2021,5.617139684,96849071.89,60,1,5348.070697,0,0,0,0,0,0,-7131755.591,0,19049.46186,17532.91161,16595.01516,100000,Lined Rock,0,0,1576800,5330.172042,0,0,1,24
6,QLD1,2021,5.616843077,96843728.97,60,1,5347.864889,0,0,0,0,0,0,-7093806.032,0,19050.19496,17525.6474,16595.6538,100000,Lined Rock,0,0,1576800,0,0,0,1,720
7,QLD1,2021,5.616843077,96843728.97,60,1,5347.864889,0,0,0,0,0,0,-7238212.712,0,19050.19496,17525.6474,16595.6538,100000,Lined Rock,0,0,1576800,0,0,0,1,8760
8,TAS1,2021,5.184655467,88462699.23,60,1,5216.071195,0,0,0,0,0,0,-18180418.49,0,19531.5334,13327.41552,17014.97372,19068.77004,Pipeline,0,0,1576800,1796.626633,0,0,1,1
9,TAS1,2021,5.14187241,87705459.1,60,1,5330.558206,0,0,0,0,0,0,-17826897.41,0,19112.04509,14401.74714,16649.53479,18057.19478,Pipeline,0,0,1576800,1871.304025,0,0,1,24
10,TAS1,2021,5.001280827,85450617.3,60,1,5486.772406,0,0,0,0,0,0,-13152371.08,0,18567.905,12885.38016,16175.50496,20302.79899,Pipeline,0,0,1576800,839.1528197,0,0,1,720
11,TAS1,2021,3.938053501,65203916.07,60,1,5150.710434,0,0,0,0,0,0,-2.61E-06,0,19779.38191,0,17230.88794,0,Pipeline,0,0,1576800,0,0,0,1,8760
12,TAS1,2021,4.702255301,80603837.79,60,1,5154.425214,0,0,0,0,0,0,-7.72E-09,0,19823.525,0,17218.46968,100000,Lined Rock,0,0,1576800,20595.18286,0,0,1,1
13,TAS1,2021,4.701265023,80587389.15,60,1,5156.009377,0,0,0,0,0,0,-26211.09221,0,19819.13124,0,17213.17938,100000,Lined Rock,0,0,1576800,19575.28078,0,0,1,24
14,TAS1,2021,4.699355464,80547622.69,60,1,5151.159073,0,0,0,0,0,0,-3247.603317,0,19790.19605,0,17229.38722,100000,Lined Rock,0,0,1576800,19710.99719,0,0,1,720
15,TAS1,2021,4.698230106,80526640.81,60,1,5150.710434,0,0,0,0,0,0,-2.63E-06,0,19779.38191,0,17230.88794,100000,Lined Rock,0,0,1576800,0,0,0,1,8760
16,SA1,2021,5.166051234,88415415.16,60,1,5491.607269,0,0,0,0,0,0,-15244531.64,0,18551.55764,15297.33523,16161.2639,21159.84842,Pipeline,0,0,1576800,704.3728444,0,0,1,1
17,SA1,2021,5.149106592,88011843.04,60,1,5522.752976,0,0,0,0,0,0,-16431538.36,0,18446.93565,16145.35219,16070.12203,19290.60189,Pipeline,0,0,1576800,1528.449621,0,0,1,24
18,SA1,2021,4.801287986,80666481.44,60,1,5184.64949,0,0,0,0,0,0,-15909809.14,0,19649.90477,13281.24005,17118.09341,3299.174171,Pipeline,0,0,1576800,0,0,0,1,720
19,SA1,2021,4.296130828,71734101.53,60,1,5549.088827,0,0,0,0,0,0,-5302804.012,0,18359.38691,10495.49143,15993.8536,0,Pipeline,0,0,1576800,0,0,0,1,8760
20,SA1,2021,5.059988862,87129054.74,60,1,5557.067288,0,0,0,0,0,0,-5334123.026,0,18381.14559,10548.6609,15970.8907,100000,Lined Rock,0,0,1576800,28222.76927,0,0,1,1
21,SA1,2021,5.056977639,87069986.75,60,1,5551.790467,0,0,0,0,0,0,-5222824.44,0,18350.45277,10535.38321,15986.07059,100000,Lined Rock,0,0,1576800,27494.82946,0,0,1,24
22,SA1,2021,5.05637906,87059643.67,60,1,5552.232438,0,0,0,0,0,0,-5221084.038,0,18348.99203,10530.20846,15984.79806,100000,Lined Rock,0,0,1576800,24166.64795,0,0,1,720
23,SA1,2021,5.056307433,87056826.28,60,1,5549.088827,0,0,0,0,0,0,-5302687.508,0,18359.38691,10495.49143,15993.8536,100000,Lined Rock,0,0,1576800,0,0,0,1,8760
24,NSW1,2021,7.26090721,126177052.8,60,1,4473.044682,0,0,0,0,0,0,-26746963.31,0,22775.95598,26863.48224,19841.36547,43409.26207,Pipeline,0,0,1576800,3434.008983,0,0,1,1
25,NSW1,2021,7.20736262,125026111.9,60,1,4468.918121,0,0,0,0,0,0,-27405926.93,0,22796.98711,27245.99933,19859.68682,40252.52571,Pipeline,0,0,1576800,2524.493053,0,0,1,24
26,NSW1,2021,6.920694268,119591279.1,60,1,4514.096901,0,0,0,0,0,0,-24651065.14,0,22568.82628,25948.27132,19660.9236,33864.04908,Pipeline,0,0,1576800,0,0,0,1,720
27,NSW1,2021,5.22860304,87762241.85,60,1,4805.646919,0,0,0,0,0,0,-5922898.679,0,21199.61589,16735.1053,18468.13047,0,Pipeline,0,0,1576800,0,0,0,1,8760
