,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,2021,2.862854666,95981008.42,60,0.650175534,6792.860257,-18.87289594,-12.02252777,-14.15407717,-14.26678593,62321469.44,-31505211.83,-506636.9767,-36739.23744,36307.02549,0,13065.38202,2040.816327,Pipeline,597.6825665,32096,-5928120.424,1576800,0,0,0,1,24,4.233446581,0,0.060513602,1.200606999,0.402950879,0,0.329896809,-2.631712517,2.862854666
1,QLD1,2021,5.256009123,95981008.42,60,1,5307.045102,-3.834650081,-2.890248947,-3.113984108,-3.455919209,7464785.491,0,0,-7464.785491,18162.72711,19246.90703,16723.30131,78297.05643,Lined Rock,183.0489786,13892,-606396.431,1576800,4843.63639,1,0,1,24,2.117797697,1.165235929,0.711035435,1.531141927,0.201577704,0.14525507,0.416658719,-0.269201866,5.256009123
2,QLD1,2021,3.503212308,95981008.42,60,0.794795077,6346.274189,-16.44090415,-9.924456014,-11.64573266,-13.20859992,47011343.18,-18480767.35,-1973092.171,-32004.96009,18745.74829,30188.34919,13984.79039,8867.224536,Pipeline,573.2725667,39794,-4608961.777,1576800,0,24,0,1,24,2.185778728,1.827646855,0.252189712,1.283686081,0.208048323,0.227829373,0.351704186,-2.046089069,3.503212308
3,QLD1,2021,3.035686841,95981008.42,60,0.764807981,6919.469899,-19.11707971,-12.51543027,-14.42238903,-15.38540618,54413884.28,-21181406.94,-2234334.558,-37214.58184,28789.99969,15265.72096,12826.31698,2040.816327,Pipeline,597.6825665,37194,-5597622.31,1576800,0,720,0,1,24,3.356951557,0.924209096,0.060513602,1.179004733,0.319523716,0.115209335,0.324226443,-2.484992147,3.035686841
4,QLD1,2021,2.862854666,95981008.42,60,0.650175534,6792.860257,-18.22619844,-11.85446749,-13.6170036,-13.68395979,61062564.98,-31505211.83,-1765541.443,-35480.33297,36307.02549,0,13065.38202,2040.816327,Pipeline,597.6825665,32096,-5928120.424,1576800,0,8760,0,1,24,4.233446581,0,0.060513602,1.200606999,0.402950879,0,0.329896809,-2.631712517,2.862854666
5,TAS1,2021,2.644100368,15035541.99,60,0,8030,37.5661476,14.37277118,5.88854747,6.853885714,0,-90060058.29,0,73128.76733,0,0,11052.46753,196.3636364,Pipeline,961.289748,11216,3640197.241,1576800,196.3636364,0,0,1,24,0,0,0.0093647,1.018717106,0,0,0.282152642,1.616018562,2.644100368
6,TAS1,2021,4.589353095,79515052,60,1,5157.998662,-0.018126626,-0.006421084,-0.001882857,-0.002685426,35286.499,0,-241.2451243,-35.286499,19796.91734,68.79896724,17206.54077,76043.51387,Lined Rock,187.1019575,3144,-8621.417886,1576800,19468.21991,1,0,1,24,2.308346412,0.00416519,0.705860709,1.574808151,0.219714646,0.000519221,0.42812064,-0.003827367,4.589353095
7,TAS1,2021,4.244912782,79515052,60,0.826371601,5824.380445,-5.090080802,-0.774211708,0.05633375,-0.530034354,22624434.46,-15659783.05,-338398.9807,-9908.690628,21412.14865,0,15237.89785,60275.2051,Lined Rock,224.1536709,18929,-718527.2461,1576800,22494.32896,24,0,1,24,2.496684492,0,0.670290481,1.396918702,0.237641173,0,0.381426547,-0.318980893,4.244912782
8,TAS1,2021,3.527771475,70670825.65,60,0.734713658,8104.737067,-16.22534793,-4.00994783,-1.608162582,-2.061925703,50985407.13,-23891703.39,-2116788.938,-31585.34398,26194.71742,0,10950.54825,269.5963605,Pipeline,946.8529752,23157,-1236072.516,1576800,269.5963605,720,0,1,24,3.054338256,0,0.012664122,1.009507531,0.290720164,0,0.279735226,-0.548738433,3.527771475
9,TAS1,2021,3.257530665,56978419.55,60,0.690004455,8087.360258,-2.696211354,0.294252839,0.123063131,1.65E-13,27918216.86,-27918216.86,0,-5248.62477,19779.38191,0,10974.07701,180.5334352,Pipeline,964.4104433,17485,-155522.9723,1576800,180.5334352,8760,0,1,24,2.306301758,0,0.008637699,1.011633624,0.21952003,0,0.280293303,-0.069042415,3.257530665
10,SA1,2021,2.683867823,85604140.25,60,0.668915696,6381.475483,-20.32081267,-11.26617376,-9.402663434,-5.383080287,63769635.7,-29817471.71,-2799708.316,-39557.84867,30895.43706,0,13907.64793,2040.816327,Pipeline,597.6825665,27312,-5081371.935,1576800,0,0,0,1,24,3.602448303,0,0.060513602,1.276715376,0.342890759,0,0.34987445,-2.255809459,2.683867823
11,SA1,2021,4.722915253,85604140.25,60,1,5407.98028,-2.262397275,-1.261071708,-0.653416632,-0.698270764,4404133.362,0,0,-4404.133362,18838.432,9060.331327,16411.17565,67062.54149,Lined Rock,206.0606751,17078,-474632.3678,1576800,25308.47091,1,0,1,24,2.19658577,0.548525723,0.685572875,1.502937797,0.209076966,0.068377691,0.409255435,-0.210706911,4.722915253
12,SA1,2021,3.834422952,85604140.25,60,0.76505363,5488.07907,-5.074925781,-2.322962502,-2.766655,-0.934681221,27086537.67,-21191316.27,-1293739.371,-9879.188854,21722.34777,4314.940754,16171.65372,50489.92867,Lined Rock,258.9980551,22522,-2454653.679,1576800,5901.437746,24,0,1,24,2.532854114,0.26123283,0.648753568,1.481294245,0.241083895,0.032564558,0.403574232,-1.089711806,3.834422952
13,SA1,2021,2.683867823,85604140.25,60,0.668915696,6381.475483,-18.46951982,-10.54809684,-9.067041105,-4.811693603,60165785.6,-29817471.71,-6403558.412,-35953.99857,30895.43706,0,13907.64793,2040.816327,Pipeline,597.6825665,27312,-5081371.935,1576800,0,720,0,1,24,3.602448303,0,0.060513602,1.276715376,0.342890759,0,0.34987445,-2.255809459,2.683867823
14,SA1,2021,2.683867823,85604140.25,60,0.668915696,6381.475483,-21.64568258,-11.91959789,-9.655155974,-5.791990754,66348715.79,-29817471.71,-220628.2235,-42136.92876,30895.43706,0,13907.64793,2040.816327,Pipeline,597.6825665,27312,-5081371.935,1576800,0,8760,0,1,24,3.602448303,0,0.060513602,1.276715376,0.342890759,0,0.34987445,-2.255809459,2.683867823
15,NSW1,2021,3.595942801,18169116.79,60,0,7033.874165,37.5661476,35.98304105,40.09685398,38.83868571,0,-90060058.29,0,73128.76733,0,0,12617.70003,2040.816327,Pipeline,597.6825665,12804,5350477.498,1576800,0,0,0,1,24,0,0,0.060513602,1.1601538,0,0,0.319278273,2.375275399,3.595942801
16,NSW1,2021,5.711389476,104566297.1,60,1,4741.29881,-3.860977459,-2.533549037,-3.010945327,-3.24131441,7516036.12,0,0,-7516.03612,21499.17221,17205.11127,18718.77683,100000,Lined Rock,153.2272474,31356,-695362.7513,1576800,58331.47464,1,0,1,24,2.506831553,1.041622624,0.760176605,1.711456009,0.238606998,0.129845779,0.463989252,-0.308697315,5.711389476
17,NSW1,2021,4.963175209,104566297.1,60,0.777635058,5429.956672,-8.491016429,-3.725112345,-5.82262921,-5.502176944,32814967.19,-20056389.83,-873610.6287,-16529.17865,27761.59132,7723.143797,16344.75552,100000,Lined Rock,153.2272474,30086,-2249295.294,1576800,52775.72944,24,0,1,24,3.237037798,0.467570432,0.760176605,1.496935977,0.30811,0.058286029,0.407680021,-0.998545603,4.963175209
18,NSW1,2021,4.412522725,98308595.33,60,0.647371487,6960.179394,-10.15436443,-3.811614552,-6.09282632,-5.94796715,45573544.6,-31781258.42,-1128317.96,-19767.16276,31723.04649,0,12751.29695,64863.89245,Lined Rock,211.4820271,28044,-2566115.387,1576800,0,720,0,1,24,3.698948644,0,0.68054206,1.172225813,0.352075922,0,0.322447048,-1.139193792,4.412522725
19,NSW1,2021,3.823442076,75913870.8,60,0.613243164,7072.481653,-3.363848898,1.45844109,0.182071012,-6.35E-13,34831343.2,-34831343.2,0,-6548.292521,27197.06465,0,12548.82213,2040.816327,Pipeline,597.6825665,24043,-1266428.704,1576800,0,8760,0,1,24,3.171213252,0,0.060513602,1.153929893,0.301844642,0,0.317644563,-0.562214671,3.823442076
20,VIC1,2021,2.916598825,19365824.34,60,0,6570,37.5661476,31.59604058,43.43435365,45.12141429,0,-90060058.29,0,73128.76733,0,0,13508.57143,2040.816327,Pipeline,597.6825665,13708,3638873.675,1576800,0,0,0,1,24,0,0,0.060513602,1.240654241,0,0,0.340408785,1.615430982,2.916598825
21,VIC1,2021,5.700364341,99539843.92,60,1,4880.483916,-2.591022744,-1.388026464,-2.11952221,-2.527046873,5043857.608,0,1.82E-07,-5043.857608,20874.54247,14414.42174,18184.94146,100000,Lined Rock,153.2272474,11089,-66899.64261,1576800,85953.07956,1,0,1,24,2.433998909,0.872670194,0.760176605,1.663217865,0.23167459,0.108784639,0.451327252,-0.029699233,5.700364341
22,VIC1,2021,5.172872919,99539843.92,60,0.784538667,4901.555868,-5.803386174,-0.280293358,-2.924281404,-3.829160703,27081361.61,-19438550.73,-3220662.193,-11297.25842,25183.04261,7640.72092,18106.76379,60072.52303,Lined Rock,224.7442083,26227,-1243494.418,1576800,46842.86531,24,0,1,24,2.936375652,0.46258043,0.669796511,1.656153617,0.279492165,0.05766399,0.449472961,-0.552033291,5.172872919
23,VIC1,2021,4.563127838,92455092.44,60,0.70692563,6456.911378,-12.51232559,-5.043018527,-7.098295083,-9.717280431,45789494.57,-26394294.85,-11588995.55,-24357.32716,33775.10764,0,13745.16531,3680.269104,Pipeline,588.2906702,29858,-1677125.793,1576800,0,720,0,1,24,3.938221653,0,0.107411316,1.262033209,0.374850573,0,0.346020537,-0.744538341,4.563127838
24,VIC1,2021,4.080697091,72735929.08,60,0.640967294,6595.590547,-3.122716036,2.082019606,2.3362469,-9.38E-13,32334506.47,-32334506.47,0,-6078.887217,25129.55446,0,13456.15888,2040.816327,Pipeline,597.6825665,22215,-328590.572,1576800,0,8760,0,1,24,2.930138864,0,0.060513602,1.235918166,0.278898531,0,0.339165615,-0.145873542,4.080697091
