,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,2021,3.410362554,95985504.2,60,0.618880281,6939.335363,-9.997549782,-5.005839735,-6.157220002,-6.020799121,47350515.5,-34345589.4,-1280426.088,-19461.89691,31228.10972,0,12789.59866,33306.12064,Lined Rock,372.2851781,27606,-4677506.034,1576800,0,0,0,1,24,3.641238371,0,0.61514613,1.23049646,0.346582902,0,0.378355524,-2.076518407,3.410362554
1,QLD1,2021,2.904704886,95985504.2,60,0.649742551,6770.165897,-18.75872482,-12.22858202,-14.07950417,-14.15961986,62139063,-31554284.1,-1494449.69,-36516.98432,36541.8598,0,13109.17866,1298.36861,Pipeline,516,32304,-5966454.504,1576800,0,0,0,1,24,4.260828569,0,0.033237336,1.259369418,0.405557171,0,0.385935618,-2.648730437,2.904704886
2,TAS1,2021,3.777322572,67031221.19,60,0.673289758,7825.170653,-2.14E-13,1.249965503,0.473279223,0.421149274,23901744.58,-29435646.04,0,-4.17E-10,18572.13814,0,11341.77365,30204.08163,Lined Rock,407.3525681,16418,-221435.6748,1576800,435.9484446,0,0,1,24,2.165535558,0,0.610400097,1.099690426,0.206121523,0,0.344014672,-0.098303509,3.777322572
3,TAS1,2021,3.257204791,54434834.86,60,0.673936214,8084.320849,-1.83E-12,1.147461319,0.494940088,0.420197735,23847741.3,-29369139.54,0,-3.56E-09,18569.31872,0,10978.20286,390.6884445,Pipeline,516,16416,34134.51777,1576800,390.6884445,0,0,1,24,2.16520681,0,0.010001353,1.06684305,0.206090232,0,0.335391164,0.015153578,3.257204791
4,SA1,2021,3.174601753,85603661,60,0.627270134,6104.732381,-8.434126775,-3.380386675,-5.720356435,-1.601384195,43707607.1,-33607356.7,-3525962.318,-16418.43346,25286.96487,0,14538.11711,30204.08168,Lined Rock,407.3525675,22354,-3993269.84,1576800,1049.385844,0,0,1,24,2.948493123,0,0.610400097,1.388469117,0.280645539,0,0.419828501,-1.772760584,3.174601753
5,SA1,2021,2.730279787,85603661,60,0.669358034,6378.038893,-18.98477137,-10.71358368,-9.202483545,-4.971352582,61151626.63,-29796311.62,-5593946.549,-36957.02159,30957.28934,0,13915.14159,2096.616917,Pipeline,516,27367,-5102610.224,1576800,0,0,0,1,24,3.60966036,0,0.053671939,1.332185411,0.343577222,0,0.405052192,-2.265237923,2.730279787
6,NSW1,2021,4.279641417,82530193.14,60,0.586387845,7207.156661,1.37E-12,4.512490229,3.33587933,3.021709953,30263465.19,-37270277.33,0,2.67E-09,25095.94345,0,12314.33122,39510.20408,Lined Rock,319.4874148,22185,-1037032.249,1576800,0,0,0,1,24,2.926219776,0,0.626241044,1.187557673,0.278525501,0,0.367082691,-0.460377076,4.279641417
7,NSW1,2021,3.836797044,70770830.77,60,0.590033083,7097.989678,-3.46E-13,4.046825283,3.266485564,2.994281605,29988760.85,-36931971.49,0,-6.74E-10,25107.90482,0,12503.72546,1131.505983,Pipeline,516,22196,-730851.3208,1576800,0,0,0,1,24,2.927614487,0,0.028965769,1.204668795,0.278658254,0,0.371574919,-0.324452007,3.836797044
8,VIC1,2021,4.463865182,80693780.36,60,0.612175941,6388.505924,-1.48E-12,4.812764071,5.463861907,3.292526482,28384220.81,-34955936.96,0,-2.88E-09,23316.33197,0,13892.3428,34857.14286,Lined Rock,357.2252743,20612,-456652.0406,1576800,622.3042593,0,0,1,24,2.718714753,0,0.617749588,1.330125618,0.258774613,0,0.404511429,-0.202724777,4.463865182
9,VIC1,2021,4.030698345,68315565.04,60,0.599054119,6570,-6.89E-13,4.343146831,5.525249228,3.402409086,29331497.04,-36122533.3,0,-1.34E-09,23243.91687,0,13508.57143,1440,Pipeline,516,20548,-26780.60421,1576800,0,0,0,1,24,2.710271058,0,0.036863001,1.295453188,0.257970919,0,0.395408785,-0.011888903,4.030698345
