,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,2021,3.410362553,95985504.2,60,0.618874031,6939.335363,-10.17177074,-5.046425377,-6.299557645,-6.177813059,47689665.72,-34345589.51,-942753.3616,-19801.04704,31228.10971,0,12789.59866,33306.12245,Lined Rock,372.2851587,27606,-4677506.037,1576800,0,0,0,1,24,3.641238369,0,0.615146132,1.23049646,0.346582902,0,0.378355524,-2.076518408,3.410362553
1,QLD1,2021,5.283298708,95985504.2,60,1,5315.107722,-3.868643364,-2.914743366,-3.141998765,-3.486555131,7530959.082,0,0,-7530.959082,18190.96206,19232.5644,16697.93331,78295.15358,Lined Rock,183.038846,13931,-668425.207,1576800,4850.185796,1,0,1,24,2.121089929,1.164367604,0.710978797,1.583601117,0.201891068,0.145146827,0.471057018,-0.29673874,5.283298708
2,QLD1,2021,3.859611545,95985504.2,60,0.804975716,6215.268999,-9.419387486,-4.614929896,-5.997843267,-6.958997055,32611082.58,-17579648.94,-1022920.195,-18336.40764,18332.50921,23416.1841,14279.56124,44163.26531,Lined Rock,290.0367855,33550,-3820832.281,1576800,1018.875812,24,0,1,24,2.137594512,1.417650066,0.635466644,1.365109478,0.203462019,0.176720314,0.413695834,-1.696209156,3.859611545
3,QLD1,2021,3.558605376,95985504.2,60,0.715775555,7047.007178,-10.59312314,-5.31020982,-6.793651269,-7.317603629,41419086.97,-25613063.13,-870020.0868,-20621.27971,25638.02802,10991.11723,12594.18531,44163.26531,Lined Rock,290.0367855,31119,-4380234.783,1576800,0,720,0,1,24,2.989427545,0.665418328,0.635466644,1.212841533,0.284541787,0.082949198,0.373720529,-1.944548673,3.558605376
4,QLD1,2021,3.410362553,95985504.2,60,0.618880336,6939.335363,-9.997549772,-5.005845193,-6.157216551,-6.020799104,47350515.56,-34345589.5,-1280412.907,-19461.89689,31228.10971,0,12789.59866,33306.12216,Lined Rock,372.2851618,27606,-4677506.037,1576800,0,8760,0,1,24,3.641238369,0,0.615146132,1.23049646,0.346582902,0,0.378355524,-2.076518408,3.410362553
5,QLD1,2021,2.904704886,95985504.2,60,0.649736569,6770.165897,-19.52721185,-12.43954167,-14.71518766,-14.85220694,63635051.08,-31554284.1,0,-38012.97239,36541.8598,0,13109.17866,1298.36861,Pipeline,516,32304,-5966454.504,1576800,0,0,0,1,24,4.260828569,0,0.033237336,1.259369418,0.405557171,0,0.385935618,-2.648730437,2.904704886
6,QLD1,2021,3.524097206,95985504.2,60,0.797004572,6338.02114,-16.52171545,-10.18530939,-11.76303359,-13.29751544,47018587.53,-18295954.18,-2549477.757,-32162.27273,19067.17907,30065.10221,14003.00067,8751.296729,Pipeline,516,39983,-4693224.415,1576800,0,24,0,1,24,2.223257977,1.820185302,0.224027128,1.340123178,0.211615699,0.226899237,0.407136114,-2.083496379,3.524097206
7,QLD1,2021,3.077433969,95985504.2,60,0.766467944,6935,-19.61092511,-12.92145032,-14.86157218,-15.84286102,55259698.95,-21039119.15,-2101650.348,-38175.9342,29051.27125,15272.39224,12797.59398,1364.210526,Pipeline,516,37430,-5633088.337,1576800,0,720,0,1,24,3.387416163,0.924612985,0.034922843,1.23121881,0.322423419,0.115259683,0.378545164,-2.500736832,3.077433969
8,QLD1,2021,2.904704886,95985504.2,60,0.649742668,6770.165897,-18.76275262,-12.24429846,-14.0854212,-14.16324986,62146903.79,-31554284.1,-1486578.72,-36524.8251,36541.8598,0,13109.17866,1298.36861,Pipeline,516,32304,-5966454.504,1576800,0,8760,0,1,24,4.260828569,0,0.033237336,1.259369418,0.405557171,0,0.385935618,-2.648730437,2.904704886
9,TAS1,2021,3.212961871,27586093.04,60,0,7799.373728,37.58164858,14.46955235,5.884211597,6.856713845,0,-90097219.92,0,73158.94257,0,0,11379.28728,30204.08163,Lined Rock,407.3525681,11630,3377690.582,1576800,478.7685058,0,0,1,24,0,0,0.610400097,1.103079654,0,0,0.344904455,1.499482121,3.212961871
