,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Ratio,EI_market,EI_MEF,EI_AEF,EI_L,LGCs (per REC/MWh),EI_MEF-EI_Market
0,QLD1,2021,3.52795207,23254825.85,60,0,5409.543007,37.5661476,36.7329596,39.57303007,41.69447143,0,-90060058.29,0,73128.76733,0,0,16406.43473,2022.234722,Pipeline,601.3456611,16649,4426556.365,1576800,0,0,0,1,24,0,1.128112541,1.10309188,1.188379281,1.252086229,-1.392731532,-0.025020661
1,QLD1,2021,3.494317488,29213901.67,60,0.087945779,5409.543007,33.28865212,32.90206219,35.27782951,37.15007632,1895491.476,-82139656.33,-3.57E-11,64801.90947,1860.730333,1874.656396,16406.43473,2019.963972,Pipeline,601.7933067,16649,3606463.302,1576800,0,0,0.1,1,24,0.227678151,0.999659223,0.988049916,1.05939428,1.115617908,-1.234147189,-0.011609307
2,QLD1,2021,3.4609196,35173288.29,60,0.175280237,5409.543007,29.00583964,29.06056011,30.98014098,32.60568122,3846038.499,-74274309.93,-7.14E-11,56464.70117,3721.460667,3749.312792,16406.43473,2019.225442,Pipeline,601.9388972,16649,2786868.672,1576800,0,0,0.2,1,24,0.455356303,0.871046235,0.872689493,0.930334564,0.979149586,-1.075365723,0.001643258
3,QLD1,2021,3.42773184,41137135.39,60,0.261034179,5409.543007,24.70928048,25.22991701,26.68258,28.06128611,5938926.938,-66551304.94,-1.05E-10,48100.73268,5582.191,5623.969188,16406.43473,2040.816327,Pipeline,597.6825665,16649,1967248.904,1576800,0,0,0.3,1,24,0.683034454,0.742020435,0.757655165,0.801278679,0.842681265,-0.916074611,0.01563473
4,QLD1,2021,3.39519397,46352087.66,60,0.347934402,5409.543007,20.42269121,21.38413913,22.38781575,23.51689101,7928581.174,-58725065.75,-1.43E-10,39756.17222,7442.921333,7498.625584,16406.43473,530.6965461,Pipeline,895.3808485,16649,1232783.892,1576800,0,0,0.4,1,24,0.910712605,0.61329403,0.64216634,0.672306779,0.706212943,-0.757153124,0.02887231
5,QLD1,2021,3.362964471,53056209.56,60,0.42856478,5409.543007,16.08156944,17.58475183,18.08724708,18.9724959,10482898.05,-51463489.2,-1.35E-10,31305.45518,9303.651667,9373.28198,16406.43473,2040.816327,Pipeline,597.6825665,16649,332595.1487,1576800,0,0,0.5,1,24,1.138390757,0.482930013,0.528070626,0.543160573,0.569744622,-0.596209893,0.045140613
6,QLD1,2021,3.332023947,59015746.65,60,0.507652115,5409.543007,11.72702693,13.7519517,13.79183876,14.4281008,13176181.52,-44340879.25,-2.10E-10,22828.61243,11164.382,11247.93838,16406.43473,2040.816327,Pipeline,597.6825665,18522,-481480.9071,1576800,0,0,0.6,1,24,1.366068908,0.352162971,0.412971523,0.414169332,0.4332763,-0.4347691,0.060808552
7,QLD1,2021,3.304409568,64975283.74,60,0.576970217,5409.543007,7.287515734,9.943406946,9.490613106,9.883705694,16749282.6,-38098086.9,-2.62E-10,14186.36396,13025.11233,13122.59477,16406.43473,2040.816327,Pipeline,597.6825665,21609,-1288064.582,1576800,0,0,0.7,1,24,1.593747059,0.218844316,0.298600809,0.285003397,0.296807979,-0.270178168,0.079756493
8,QLD1,2021,3.280021901,70934820.83,60,0.637026882,5409.543007,2.76745243,6.120122695,5.194599402,5.339310589,21156469.31,-32689380.19,-2.86E-10,5387.307396,14885.84267,14997.25117,16406.43473,2040.816327,Pipeline,597.6825665,24696,-2087379.858,1576800,0,0,0.8,1,24,1.821425211,0.08310668,0.183787468,0.155993976,0.160339657,-0.102600839,0.100680788
9,QLD1,2021,3.258737303,76894357.91,60,0.688576358,5409.543008,-1.826602824,2.293266833,0.907227538,0.794915489,26329813.85,-28046831.31,-2.96E-10,-3555.78683,16746.573,16871.90756,16406.43473,2040.816327,Pipeline,597.6825665,27783,-2879705.25,1576800,0,0,0.9,1,24,2.049103362,-0.054852938,0.068866872,0.02724407,0.023871336,0.067719676,0.12371981
