,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,2021,2.899616306,96849071.89,60,0.651901766,6770.14569,-20.21807727,-12.99176926,-15.33273778,-15.49264102,64813851.83,-31349747.23,0,-39357.85708,36947.48583,0,13109.21779,1300.133814,Pipeline,32662,-6084565.446,1576800,0,0,0,1,24
1,QLD1,2021,3.500290391,96849071.89,60,0.609510467,6870.393037,-8.93013531,-3.544941509,-5.10773233,-4.98502535,45960963.16,-35193308.41,0,-17383.99674,30178.48012,0,12917.93844,100000,Lined Rock,26678,-4552059.237,1576800,0,0,0,1,24
2,TAS1,2021,2.693271297,15046111.17,60,0,8030,37.5661476,14.38459798,5.901273358,6.853885714,0,-90060058.29,0,73128.76733,0,0,11052.46753,392.7272727,Pipeline,11216,3625885.709,1576800,392.7272727,0,0,1,24
3,TAS1,2021,3.328968728,31704690.29,60,0,7275.867769,37.59682777,14.67617982,5.812780345,6.859483264,0,-90133610.08,0,73188.49139,0,0,12198.03838,100000,Lined Rock,12467,3134996.259,1576800,14312.23881,0,0,1,24
4,SA1,2021,2.727881654,87069986.75,60,0.672793091,6374.639129,-23.29528666,-12.96367874,-10.25818845,-6.311536443,69276395.92,-29468273.27,0,-45348.15803,31640.03727,0,13922.56291,2105.196731,Pipeline,27970,-5289342.901,1576800,0,0,0,1,24
5,SA1,2021,3.264399043,87069986.75,60,0.607506058,6001.425553,-8.546899069,-2.49998141,-5.350774374,-1.583124493,45372746.21,-35387663.41,0,-16637.96352,24398.79538,0,14788.37211,100000,Lined Rock,21569,-3946027.063,1576800,4595.912402,0,0,1,24
6,NSW1,2021,3.637485659,17514001.34,60,0,7026.25,37.5661476,35.91397567,40.08768974,38.83868571,0,-90060058.29,0,73128.76733,0,0,12631.39147,1065.974026,Pipeline,12818,5392643.569,1576800,0,0,0,1,24
7,NSW1,2021,4.150328286,32369664.61,60,0,6992.047605,37.59437142,36.62109195,40.11512653,38.8678656,0,-90127721.29,0,73183.70969,0,0,12693.17935,100000,Lined Rock,12973,4884400.145,1576800,0,0,0,1,24
8,VIC1,2021,2.961245274,18885051.43,60,0,6570,37.5661476,31.55917969,43.44424603,45.12141429,0,-90060058.29,0,73128.76733,0,0,13508.57143,1440,Pipeline,13708,3669279.115,1576800,0,0,0,1,24
9,VIC1,2021,3.462681118,33970084.68,60,0,6391.95122,37.60146469,32.69981378,43.75686447,45.16383431,0,-90144726.51,0,73197.51792,0,0,13884.85476,100000,Lined Rock,14191,3092905.397,1576800,1335.710306,0,0,1,24
