,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Connection_fee
0,VIC1,2021,2.537973435,13864534.22,60,0,6059,37.60396037,32.84273007,43.68381166,45.16683192,0,-73038769.34,0,59307.4807,0,0,11867.46988,68060.24096,12129,2410861.987,1277500,1644.578313,0,1,0,24,0
1,VIC1,2021,2.552781936,14016143.01,60,0,6102.54386,37.60326867,32.80499715,43.68757646,45.16600111,0,-73037425.84,0,59306.38979,0,0,11782.79119,68123.29486,12042.37146,2426097.212,1277500,1876.705142,0,1,0,24,20
2,VIC1,2021,2.567460141,14157284.26,60,0,6144.166667,37.60264329,32.75705015,43.69017337,45.16524995,0,-73036211.16,0,59305.40346,0,0,11702.9703,67539.60396,11936.63861,2442033.793,1277500,1698.019802,0,1,0,24,40
3,VIC1,2021,2.582034323,14330667.05,60,0,6176.434783,37.60227823,32.74779063,43.69731287,45.16481148,0,-73035502.1,0,59304.82771,0,0,11641.82939,67766.18705,11868.0704,2452973.404,1277500,1767.985612,0,1,0,24,60
4,VIC1,2021,2.596523706,14483711.08,60,0,6214.480519,37.60189646,32.70765312,43.69893317,45.16435292,0,-73034760.58,0,59304.22559,0,0,11570.55683,67655.9878,11789.02746,2466686.84,1277500,1607.170099,0,1,0,24,80
5,VIC1,2021,2.610917376,14638952.82,60,0,6250.271318,37.60168868,32.67417419,43.70314613,45.16410336,0,-73034357.01,0,59303.89789,0,0,11504.30059,67517.20235,11715.10299,2479682.39,1277500,1457.673155,0,1,0,24,100
6,VIC1,2021,2.625213774,14775318.83,60,0,6293.26053,37.60123353,32.6125121,43.69858533,45.16355666,0,-73033472.96,0,59303.18004,0,0,11425.7148,67272.07745,11633.80203,2495379.974,1277500,1280.356497,0,1,0,24,120
7,VIC1,2021,2.639417201,14921440.01,60,0,6331.956522,37.60069848,32.57918489,43.70636543,45.16291401,0,-73032433.73,0,59302.33619,0,0,11355.88972,67175.4386,11559.91019,2509275.35,1277500,1122.807018,0,1,0,24,140
8,VIC1,2021,2.653532087,15087948.59,60,0,6363.868955,37.60037502,32.55739895,43.71464863,45.16252549,0,-73031805.46,0,59301.82603,0,0,11298.94417,67501.83429,11499.32981,2519908.155,1277500,994.3181818,0,1,0,24,160
9,VIC1,2021,2.667577345,15247890.8,60,0,6394.573643,37.6000684,32.52516331,43.72095558,45.16215721,0,-73031209.91,0,59301.34245,0,0,11244.69027,67392.0354,11442.5719,2531023.792,1277500,871.9026549,0,1,0,24,180
10,VIC1,2021,2.681549508,15394644.3,60,0,6426.807692,37.59963252,32.48193696,43.72097218,45.16163366,0,-73030363.29,0,59300.65499,0,0,11188.29183,66814.98471,11383.92144,2543657.046,1277500,744.648318,0,1,0,24,200
11,VIC1,2021,2.695453546,15540338.32,60,0,6460.5,37.59914884,32.45378103,43.71564216,45.1610527,0,-73029423.83,0,59299.89215,0,0,11129.9435,66460.45198,11322.71375,2556392.779,1277500,612.9943503,0,1,0,24,220
12,VIC1,2021,2.709296086,15711275.31,60,0,6484.453125,37.59874681,32.43621715,43.71852447,45.16056981,0,-73028642.96,0,59299.25808,0,0,11088.83026,66376.86895,11280.32468,2565108.743,1277500,717.2383465,0,1,0,24,240
13,VIC1,2021,2.723078218,15869102.89,60,0,6512.368421,37.59827379,32.41145928,43.72073911,45.16000167,0,-73027724.22,0,59298.51207,0,0,11041.29794,66148.96755,11230.18165,2575595.436,1277500,609.1445428,0,1,0,24,260
