,Hour,MEF,AEF,Prices
0,0,0.662876068,0.754616667,0.059869432
1,1,0.703882017,0.756314769,0.053251711
2,2,0.748411375,0.756421327,0.047970682
3,3,0.767089394,0.756712031,0.04633134
4,4,0.735846657,0.757862426,0.048862452
5,5,0.676030449,0.756329144,0.054553322
6,6,0.585948326,0.730994767,0.066685748
7,7,0.533071508,0.687652684,0.088241551
8,8,0.568024948,0.662827467,0.071147311
9,9,0.591047546,0.651544362,0.055205895
10,10,0.606591358,0.646401365,0.043084824
11,11,0.602666942,0.644205799,0.03924054
12,12,0.591410241,0.645246048,0.040267073
13,13,0.587209226,0.646744005,0.043069488
14,14,0.597172857,0.651689504,0.051535574
15,15,0.608424926,0.662610652,0.055719514
16,16,0.517640582,0.681961452,0.081920159
17,17,0.479553629,0.696709262,0.225210789
18,18,0.463094613,0.709914254,0.189158449
19,19,0.509644386,0.726716274,0.099869733
20,20,0.523226835,0.737103225,0.087223742
21,21,0.554406359,0.741905906,0.071920557
22,22,0.610307022,0.750594015,0.072181911
23,23,0.657279434,0.753465879,0.062445084
