,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Time,,
0,0,0,0,0,0,0,-865.4387099,0,0,865.4387099,0,-852.8622388,852.8622388,-15.1523748,12.57647109,0,0,0,0.037942625,0,0,15.1523748,1/01/2021 0:00,,
1,0,0,0,0,0,0,-1015.601143,0,0,1015.601143,0,-1000.842527,1000.842527,-17.78146621,14.75861695,0,0,0,0.034325,0,0,17.78146621,1/01/2021 1:00,,
2,-13661.95552,0,13661.95552,-13661.95552,0,0,-728.095954,0,0,728.095954,0,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,0,0.028835833,12367.81277,10378.17765,251.945575,1/01/2021 2:00,,
3,-14090.15623,0,14090.15623,-14090.15623,0,0,-299.8952485,0,0,299.8952485,0,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,0,0.026915833,12782.18383,10691.49888,251.945575,1/01/2021 3:00,,
4,-14319.96955,0,14319.96955,-14319.96955,0,0,-70.08192516,0,0,70.08192516,0,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,0,0.030527903,12903.29891,10929.29924,251.945575,1/01/2021 4:00,,
5,-13525.19035,0,13525.19035,-13525.19035,0,0,-864.8611228,0,0,864.8611228,0,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,0,0.028493194,12106.42683,10213.09417,251.945575,1/01/2021 5:00,,
6,-11145.81618,0,11145.81618,-11145.81618,0,-2299.864021,-1047.668961,0,0,1047.668961,2299.864021,-14180.93665,14180.93665,-251.945575,312.412513,251.945575,0,251.945575,0.015691042,9743.876435,8084.558976,0,1/01/2021 6:00,,
7,-9464.066751,0,9464.066751,-9464.066751,0,-3941.798528,-1036.136099,0,0,1036.136099,3941.798528,-14180.93665,14180.93665,-251.945575,261.0647278,126.7070745,0,378.6526495,0.017331827,6691.276223,6536.292853,125.2385005,1/01/2021 7:00,,
8,-8951.903053,0,8951.903053,-8951.903053,0,-3557.347871,-1880.800553,-2.27E-13,0,1880.800553,3557.347871,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,378.6526495,0.021827018,6775.342903,5997.281432,251.945575,1/01/2021 8:00,,
9,-4939.056033,0,4939.056033,-4939.056033,0,-6230.459232,-3220.536213,0,0,3220.536213,6230.459232,-14180.93665,14180.93665,-251.945575,209.1148273,0,0,378.6526495,0.0316309,3663.651894,3357.897995,251.945575,1/01/2021 9:00,,
