,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Time
0,0,0,0,0,0,0,-1148.347251,0,0,1148.347251,0,-1131.65958,1131.65958,-20.10562706,16.68767046,0,0,0,0.037942625,0,0,20.10562706,1/01/2021 0:00
1,-10297.76289,0,10297.76289,-10297.76289,0,0,-1347.597198,0,0,1347.597198,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,0,0.034325,8978.429968,7892.986139,203.8906497,1/01/2021 1:00
2,-10679.25241,0,10679.25241,-10679.25241,0,0,-966.1076832,0,0,966.1076832,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,0,0.028835833,9667.64927,8112.394923,203.8906497,1/01/2021 2:00
3,-11247.43026,0,11247.43026,-11247.43026,0,0,-397.9298361,0,0,397.9298361,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,0,0.026915833,10203.34472,8534.460941,203.8906497,1/01/2021 3:00
4,-11552.36866,0,11552.36866,-11552.36866,0,0,-92.9914333,0,0,92.9914333,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,0,0.030527903,10409.49601,8817.008551,203.8906497,1/01/2021 4:00
5,-10497.77924,0,10497.77924,-10497.77924,0,0,-1147.580853,0,0,1147.580853,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,0,0.028493194,9396.584665,7927.046135,203.8906497,1/01/2021 5:00
6,-10338.8074,0,10338.8074,-10338.8074,0,0,-1390.147861,0,0,1390.147861,0,-11476.13085,11476.13085,-203.8906497,252.8244056,203.8906497,0,203.8906497,0.015691042,9038.374591,7499.199412,0,1/01/2021 6:00
7,-10343.34138,0,10343.34138,-10343.34138,0,0,-1374.84495,0,0,1374.84495,0,-11476.13085,11476.13085,-203.8906497,242.0554783,177.6249732,0,381.5156229,0.017331827,7312.940206,7143.557852,26.26567645,1/01/2021 7:00
8,-9149.733171,0,9149.733171,-9149.733171,0,0,-2495.626922,0,0,2495.626922,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.021827018,6925.072728,6129.816702,203.8906497,1/01/2021 8:00
9,-7372.043146,0,7372.043146,-7372.043146,0,0,-4273.316946,0,0,4273.316946,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.0316309,5468.372833,5012.004061,203.8906497,1/01/2021 9:00
10,-9226.623475,0,9226.623475,-9226.623475,0,0,-2418.736617,0,0,2418.736617,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.02705984,8329.425211,6162.729619,203.8906497,1/01/2021 10:00
11,-6210.206071,0,6210.206071,-6210.206071,0,0,-5435.154021,0,0,5435.154021,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.027918585,4631.026718,4060.72814,203.8906497,1/01/2021 11:00
12,-3972.960226,0,3972.960226,-3972.960226,0,0,-7672.399866,0,0,7672.399866,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.031453682,2015.626086,2688.860779,203.8906497,1/01/2021 12:00
13,-2469.08147,0,2469.08147,-2469.08147,0,0,-9176.278622,0,0,9176.278622,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.030285336,1559.801738,1680.651016,203.8906497,1/01/2021 13:00
14,-2131.576567,0,2131.576567,-2131.576567,0,0,-9513.783525,0,0,9513.783525,0,-11476.13085,11476.13085,-203.8906497,169.2292392,0,0,381.5156229,0.030889582,1570.563236,1415.75213,203.8906497,1/01/2021 14:00
15,0,0,0,0,0,0,-11728.95526,-77.00020675,0,11728.95526,0,-11476.13085,11476.13085,-203.8906497,252.8244056,203.8906497,0,585.4062726,0.032161335,0,0,0,1/01/2021 15:00
16,0,0,0,0,0,0,-11641.74453,0,0,11641.74453,0,-11472.56783,11472.56783,-203.8273473,169.1766983,0,0,585.4062726,0.035358961,0,0,203.8273473,1/01/2021 16:00
17,0,0,0,0,0,0,-10633.45381,0,0,10633.45381,0,-10478.9295,10478.9295,-186.1738743,154.5243157,0,0,585.4062726,0.036286703,0,0,186.1738743,1/01/2021 17:00
18,0,0,0,0,0,0,-9514.250676,0,0,9514.250676,0,-9375.990511,9375.990511,-166.5785116,138.2601646,0,0,585.4062726,0.041060705,0,0,166.5785116,1/01/2021 18:00
19,0,0,0,0,0,0,-6967.405076,0,0,6967.405076,0,-6866.155424,6866.155424,-121.9875329,101.2496523,0,0,585.4062726,0.041752065,0,0,121.9875329,1/01/2021 19:00
20,0,0,0,0,0,0,-5402.675535,0,0,5402.675535,0,-5324.16438,5324.16438,-94.59175294,78.51115494,0,0,585.4062726,0.039003963,0,0,94.59175294,1/01/2021 20:00
