,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,Marginal_cost,EI_MEF,EI_GCO,EI_L,RECs,New_EI_GCO,New_RECs,Time,Year,EI_MEF>0,EI_GCO>0
0,1,4085.406273,95506.70797,0,-115488.9664,4233.851563,0.770527183,23.37753007,18.59286394,20.63612278,-93.77704069,18.59286394,0,1/01/2015,2015,23.37753007,18.59286394
1,2,4134.778332,125780.7633,0,-193054.3692,7609.203249,1.310095913,30.42019504,30.70919636,34.08397698,-156.7601478,30.70919636,0,2/01/2015,2015,30.42019504,30.70919636
2,3,3892.049359,91524.93249,0,-132467.9723,4997.69324,0.936797019,23.51587147,22.38585041,24.84593869,-107.5639935,22.38585041,0,3/01/2015,2015,23.51587147,22.38585041
3,4,3685.101194,13531.51929,12433.37184,-31026.67894,-145.736882,0.048457991,3.671953245,2.804763163,3.683240559,-12.76029145,2.804763163,0,4/01/2015,2015,3.671953245,2.804763163
4,5,2935.868445,13655.54929,19148.30927,-41604.51698,771.8819716,0.25145259,4.651281058,4.03764427,5.583707834,-14.63455852,4.03764427,0,5/01/2015,2015,4.651281058,4.03764427
5,6,2997.958801,47119.63764,13515.99326,-85258.26536,2448.580197,0.623153768,15.71723988,15.05294593,17.46917223,-55.71371821,15.05294593,0,6/01/2015,2015,15.71723988,15.05294593
6,7,2768.837597,57238.34938,1727.915011,-70212.92421,3058.439518,0.8163378,20.67233898,16.17315273,18.05597294,-55.28497944,16.17315273,0,7/01/2015,2015,20.67233898,16.17315273
7,8,4608.474078,-32295.94245,67558.23978,-15296.29501,343.7524774,0.125061334,-7.007947078,-9.691167685,-8.278492844,55.13764823,0,55.13764823,8/01/2015,2015,0,0
8,9,4803.593603,-14727.42996,27595.63665,-2504.268297,-161.7194259,0.052405139,-3.065919222,-4.310389273,-3.813124175,25.56217079,0,25.56217079,9/01/2015,2015,0,0
9,10,4537.617297,-4582.823994,18397.74474,-11246.04187,365.5025005,0.129060022,-1.009962651,-1.654045743,-1.150547247,9.265958736,0,9.265958736,10/01/2015,2015,0,0
10,11,4737.804189,11625.04851,12044.00401,-27595.28295,1030.681053,0.22100271,2.453678549,1.771775683,2.396138205,-10.36336575,1.771775683,0,11/01/2015,2015,2.453678549,1.771775683
11,12,4227.597652,45368.2476,17985.83737,-70842.14376,2827.181596,0.52382164,10.73144876,7.575405504,9.126957397,-39.53798336,7.575405504,0,12/01/2015,2015,10.73144876,7.575405504
12,13,3808.561167,-74918.97831,176612.2001,-728.8237607,-11197.33287,-1.898183094,-19.67120259,-37.43579632,-33.71217084,176.0203952,0,176.0203952,13/01/2015,2015,0,0
13,14,3942.953117,-62058.79544,114272.9256,-2642.635639,-6549.393724,-1.039790394,-15.73916646,-23.03424684,-20.66727887,112.1271054,0,112.1271054,14/01/2015,2015,0,0
