,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,Marginal_cost,EI_MEF,EI_GCO,EI_L,RECs
0,1,20.105627057747185,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
1,2,203.89064967650236,8978.429967982473,0.0,-10297.762894156727,456.448340283497,1.5774777666928292,44.03551600933078,33.219005488927685,36.86960105655478,-8.361783470055263
2,3,203.89064967650236,9667.649269666084,0.0,-10679.252409266996,414.7376666908911,1.4401799518563276,47.41585396390173,34.449632220837316,38.2354672523433,-8.6715529563248
3,4,203.89064967650236,10203.34471629921,0.0,-11247.430256306096,415.20826077008604,1.4417289927416306,50.0432203854766,36.282486911071906,40.269743120298145,-9.13291336812055
4,5,203.89064967650236,10409.496007490228,0.0,-11552.368659150514,468.19328028908126,1.616138245156989,51.05430790478218,37.26617148237056,41.36152949907331,-9.380523351230218
5,6,203.89064967650236,9396.584664648162,0.0,-10497.779239918398,404.0930546009806,1.4051413908874635,46.08639326794535,33.86422757803816,37.58572969039691,-8.52419674281374
6,7,203.89064967650236,9038.374591368629,0.0,-10338.8073980543,265.61473164705393,0.9493163104896268,44.329519797544044,33.35140877052173,37.016554768717484,-8.395111607220091
7,8,203.8906496765024,7312.940205692776,0.0,-10343.341381237544,282.70241378614446,1.005563338318344,35.86697191507141,33.3660347056689,37.03278801790776,-8.398793201564885
8,9,203.89064967650236,6925.072728028655,0.0,-9149.73317069116,291.2087253686953,1.0335633175085555,33.96464104173554,29.515637478105194,32.75925220309066,-7.4295833346012214
9,10,203.89064967650236,5468.372833161866,0.0,-7372.043146047102,306.90479100877235,1.0852296016583012,26.82012560084591,23.781081799048778,26.394498743090683,-5.986099034590247
10,11,203.89064967650236,8329.425211243492,0.0,-9226.6234750189,341.9371897244435,1.2005447327233474,40.852413901565136,29.76367382034394,33.03454644658985,-7.492018261715347
11,12,203.89064967650236,4631.026717673984,0.0,-6210.2060714636345,235.48222678830987,0.8501300179577981,22.7132863867062,20.03317338879319,22.23471473243786,-5.042687330028471
12,13,203.89064967650236,2015.6260856769256,0.0,-3972.960226161019,164.69383180040668,0.6171179107319587,9.885819133319576,12.816161035813185,14.22459033653169,-3.2260437036427474
13,14,203.89064967650236,1559.8017377684614,0.0,-2469.0814701554064,99.46777622507086,0.4024151948667956,7.650187687582923,7.964878561754713,8.840177203188194,-2.00489415376619
14,15,203.89064967650236,1570.5632360936006,0.0,-2131.576567189715,87.1592741228567,0.3618996553900112,7.702968422463181,6.876139450222139,7.631791337745788,-1.730840172558049
15,16,203.89064967650236,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
16,17,203.8273472956223,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
17,18,186.17387432518623,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
18,19,166.5785116231254,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
19,20,121.98753290586868,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
20,21,94.59175294121196,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
21,22,86.01538346388365,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
22,23,92.294312779852,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
23,24,55.47218503766376,0.0,0.0,0.0,0.0,0.075,0.0,-0.0,-0.0,0.0
