,Batch,Total_production,Total_CO2,Total_sell,Total_purchase,Total_grid_cost,Marginal_cost,EI_MEF,EI_GCO,EI_L,RECs,Time,,,,,
0,1,116528.2728,16622.73837,1409174.311,-1341162.27,5517.121954,0.106775691,0.142649831,-2.225399363,-0.426066474,320.1505482,1/01/2021,,2015,1/01/2015,,0.142649831
1,2,120194.7429,-640477.894,1774457.917,-1026790.058,-25926.94325,-0.069770334,-5.328668116,-6.33946658,-4.540943504,940.7043895,1/02/2021,,2015,1/02/2015,,0
2,3,115784.439,-434548.2976,1792635.614,-1284458.869,-62246.42648,-0.285809497,-3.753080306,-5.2444056,-3.203962702,749.6550124,1/03/2021,,2015,1/03/2015,,0
3,4,101170.2832,770457.5481,1039106.117,-2022866.337,-43392.99158,-0.212859362,7.615453115,4.831494755,7.098378478,-603.4613487,1/04/2021,,2015,1/04/2015,,7.615453115
4,5,108447.9753,-294730.3574,2233444.455,-1592519.509,-355502.0324,-2.12505922,-2.71771194,-7.023257696,-4.31428258,940.318614,1/05/2021,,2015,1/05/2015,,0
5,6,88270.18853,-580488.5879,2848254.471,-1474180.462,-1140748.419,-8.598403541,-6.576269945,-15.15220677,-11.3636783,1651.219936,1/06/2021,,2015,1/06/2015,,0
6,7,85524.45802,187525.2725,2462840.619,-2016896.386,-325862.5102,-2.482159394,2.192650814,-7.814698,-3.806388235,825.1207544,1/07/2021,,2015,1/07/2015,,2.192650814
7,8,125018.535,58145.17706,2023614.335,-1753001.139,-31098.73339,-0.09194831,0.465092453,-3.888573021,-1.580146761,600.1774103,1/08/2021,,2015,1/08/2015,,0.465092453
8,9,121963.2612,1557888.467,947803.0578,-3538246.672,80722.23766,0.519199326,12.77342416,12.78626948,15.5048645,-1925.25324,1/09/2021,,2015,1/09/2015,,12.77342416
9,10,102228.4215,758807.288,1286247.591,-2921014.532,-80714.31128,-0.454898417,7.422664628,8.601806786,11.67366032,-1085.616209,1/10/2021,,2015,1/10/2015,,7.422664628
10,11,91330.51917,1367560.98,684128.1284,-3181168.36,-4787.739067,0.039817372,14.97375677,16.84184305,19.95871025,-1898.98058,1/11/2021,,2015,1/11/2015,,14.97375677
11,12,101038.9035,740625.3316,1411111.455,-2370870.371,-143591.2112,-0.878790442,7.330100643,4.120873916,6.934200436,-514.0352864,1/12/2021,,2015,1/12/2015,,7.330100643
