,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,h2_storage_p,h2_storage_level,price,CO2,Mean_CO2,Load
0,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-2393.0282408792546,0.0,0.0,2393.0282408792546,0.0,-3839.5574645505985,3839.5574645505985,-66.13410987168845,-3433.8658901283115,4330.491143581106,0.03794262454545455,1275.7188277598761,992.0490056809958,3500.0
1,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-867.3416298915204,0.0,0.0,867.3416298915204,0.0,-2313.8708535628693,2313.8708535628693,-39.85505899345493,39.85505899345493,4370.346202574561,0.034325,1261.202211088275,1108.7296561118303,0.0
2,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-1017.8342046339593,0.0,0.0,1017.8342046339593,0.0,-2464.363428305308,2464.363428305308,-42.44720471982568,42.44720471982568,4412.793407294387,0.02883583333333334,1309.505259061185,1098.8424920504808,0.0
3,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-729.6970295219497,0.0,0.0,729.6970295219497,0.0,-2176.2262531932984,2176.2262531932984,-37.48421203827039,37.48421203827039,4450.277619332657,0.026915833333333337,1312.2496405829484,1097.6149109366336,0.0
4,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-300.5550853294506,0.0,0.0,300.5550853294506,0.0,-1747.0843090007993,1747.0843090007993,-30.092495479836604,30.092495479836604,4480.370114812494,0.03052790333333334,1303.424485730711,1104.021254117303,0.0
5,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-70.23604486952664,0.0,0.0,70.23604486952664,0.0,-1516.7652685408755,1516.7652685408755,-26.12538602309579,26.12538602309579,4506.495500835589,0.02849319416666667,1294.791403921851,1092.2980594532528,0.0
6,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-866.7630674402823,0.0,0.0,866.7630674402823,0.0,-2313.292291111631,2313.292291111631,-39.8450935969031,39.8450935969031,4546.340594432493,0.015691041666666666,1264.5823137554341,1049.2323424305343,0.0
7,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1480.4748832534813,-1049.97290125992,0.0,0.0,1049.97290125992,1480.4748832534813,-3976.97700818475,3976.97700818475,-68.50108035751292,68.50108035751292,4614.841674790006,0.017331826666666668,1022.7238305877223,999.0354965898324,0.0
8,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2537.351024129561,-1038.4146611767735,0.0,0.0,1038.4146611767735,2537.351024129561,-5022.294908977683,5022.294908977683,-86.50606388495025,86.50606388495025,4701.347738674956,0.02182701833333333,1094.8210062814567,969.0948172740576,0.0
9,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2289.9065039627176,-1884.9358645521393,0.0,0.0,1884.9358645521393,2289.9065039627176,-5621.371592186206,5621.371592186206,-96.82480596777421,96.82480596777421,4798.172544642731,0.0316309,1072.9944131350567,983.4465426219648,0.0
10,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4010.567849727618,-3227.617430279142,0.0,0.0,3227.617430279142,4010.567849727618,-8684.71450367811,8684.71450367811,-149.58907855744775,149.58907855744775,4947.761623200178,0.027059839999999998,1305.8685029329135,966.1788536391784,0.0
11,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4160.768469630575,-1826.8613964781384,0.0,0.0,1826.8613964781384,4160.768469630575,-7434.159089780062,7434.159089780062,-128.0490000700306,128.0490000700306,5075.810623270208,0.027918585000000003,1078.694556288598,945.8562013764406,0.0
12,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3989.205935429085,-4105.147499610213,0.0,0.0,4105.147499610213,3989.205935429085,-9540.882658710647,9540.882658710647,-164.33606941676803,164.33606941676803,5240.146692686977,0.031453682499999996,733.876472693335,978.9968875779687,0.0
13,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4685.019772063893,-5794.929311280031,0.0,0.0,5794.929311280031,4685.019772063893,-11926.478307015272,11926.478307015272,-205.42654564248747,205.42654564248747,5445.573238329464,0.030285335833333336,913.8211209666644,984.621544206693,0.0
14,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-5381.756008280118,-6930.802164466273,0.0,0.0,6930.802164466273,5381.756008280118,-13759.08739641774,13759.08739641774,-236.99215495798273,236.99215495798273,5682.5653932874475,0.03088958166666667,1065.8146902170538,960.7568693761742,0.0
15,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-5123.62227757712,-7185.71818446569,0.0,0.0,7185.71818446569,5123.62227757712,-13755.869685714159,13755.869685714159,-236.9367317913364,236.9367317913364,5919.502125078784,0.032161335,832.514181806218,975.0564390280248,0.0
16,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3228.9886735674795,-8916.98554572283,0.0,0.0,8916.98554572283,3228.9886735674795,-13592.503442961657,13592.503442961657,-234.12284473605217,234.12284473605217,6153.624969814836,0.035358960833333335,1149.857875257277,967.2581655075995,0.0
17,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1219.6521106662594,-8792.957641813246,0.0,0.0,8792.957641813246,1219.6521106662594,-11459.138976150854,11459.138976150854,-197.37690165614168,197.37690165614168,6351.001871470978,0.0362867025,849.0979023489706,984.9671936906744,0.0
18,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1137.983362211611,-8031.4001576994615,0.0,0.0,8031.4001576994615,1137.983362211611,-10615.912743582421,10615.912743582421,-182.85282776839801,182.85282776839801,6533.854699239376,0.041060704999999996,1179.0648281796944,1034.272029570777,0.0
19,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-283.7549766167746,-7186.0710008712595,0.0,0.0,7186.0710008712595,283.7549766167746,-8916.355201159384,8916.355201159384,-153.57895277587522,153.57895277587522,6687.433652015251,0.041752065000000005,1410.0651008973814,1027.3296946349649,0.0
20,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-5262.449798232507,0.0,0.0,5262.449798232507,0.0,-6708.979021903856,6708.979021903856,-115.55820165680855,115.55820165680855,6802.99185367206,0.039003963333333336,1223.6687675026906,1023.9006648044327,0.0
21,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-4080.616693856755,0.0,0.0,4080.616693856755,0.0,-5527.145917528103,5527.145917528103,-95.20182436687186,95.20182436687186,6898.1936780389315,0.037024769166666666,602.9161376314626,1043.002981618205,0.0
